Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000171.85811,SP1000171.36.85811,SY1000171.2026.85811,iPad1(1000171),171,01.06.26 17:26,Prod,A1000171.6783,Tisch 20,112,S1000171.85811,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000171.85812,SP1000171.36.85812,SY1000171.2026.85812,iPad1(1000171),171,01.06.26 17:26,Prod,A1000171.6783,Tisch 20,112,S1000171.85812,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000171.85813,SP1000171.36.85813,SY1000171.2026.85813,iPad1(1000171),171,01.06.26 17:26,Prod,A1000171.6783,Tisch 20,112,S1000171.85813,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000171.85814,SP1000171.36.85814,SY1000171.2026.85814,iPad1(1000171),171,01.06.26 11:24,Prod,A1000171.6784,Tisch 24,108,S1000171.85814,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000171.85815,SP1000171.36.85815,SY1000171.2026.85815,iPad1(1000171),171,01.06.26 11:24,Prod,A1000171.6784,Tisch 24,108,S1000171.85815,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000171.85816,SP1000171.36.85816,SY1000171.2026.85816,iPad1(1000171),171,01.06.26 18:42,Prod,A1000171.6785,Tisch 24,112,S1000171.85816,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000171.85817,SP1000171.36.85817,SY1000171.2026.85817,iPad1(1000171),171,01.06.26 13:53,Prod,A1000171.6786,Tisch 10,104,S1000171.85817,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000171.85818,SP1000171.36.85818,SY1000171.2026.85818,iPad1(1000171),171,01.06.26 14:15,Prod,A1000171.6787,Tisch 1,112,S1000171.85818,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000171.85819,SP1000171.36.85819,SY1000171.2026.85819,iPad1(1000171),171,01.06.26 12:47,Prod,A1000171.6788,Tisch 23,108,S1000171.85819,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000171.85820,SP1000171.36.85820,SY1000171.2026.85820,iPad1(1000171),171,01.06.26 12:47,Prod,A1000171.6788,Tisch 23,108,S1000171.85820,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000171.85821,SP1000171.36.85821,SY1000171.2026.85821,iPad1(1000171),171,01.06.26 19:05,Prod,A1000171.6789,Tisch 4,119,S1000171.85821,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000171.85822,SP1000171.36.85822,SY1000171.2026.85822,iPad1(1000171),171,01.06.26 09:51,Prod,A1000171.6790,Tisch 2,112,S1000171.85822,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000171.85823,SP1000171.36.85823,SY1000171.2026.85823,iPad1(1000171),171,01.06.26 09:51,Prod,A1000171.6790,Tisch 2,112,S1000171.85823,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000171.85824,SP1000171.36.85824,SY1000171.2026.85824,iPad1(1000171),171,01.06.26 09:51,Prod,A1000171.6790,Tisch 2,112,S1000171.85824,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000171.85825,SP1000171.36.85825,SY1000171.2026.85825,iPad1(1000171),171,01.06.26 10:22,Prod,A1000171.6791,Tisch 6,112,S1000171.85825,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000171.85826,SP1000171.36.85826,SY1000171.2026.85826,iPad1(1000171),171,01.06.26 10:22,Prod,A1000171.6791,Tisch 6,112,S1000171.85826,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000171.85827,SP1000171.36.85827,SY1000171.2026.85827,iPad1(1000171),171,01.06.26 11:13,Prod,A1000171.6792,Tisch 5,106,S1000171.85827,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000171.85828,SP1000171.36.85828,SY1000171.2026.85828,iPad1(1000171),171,01.06.26 15:57,Prod,A1000171.6793,,108,S1000171.85828,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000171.85829,SP1000171.36.85829,SY1000171.2026.85829,iPad1(1000171),171,01.06.26 15:57,Prod,A1000171.6793,,108,S1000171.85829,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000171.85830,SP1000171.36.85830,SY1000171.2026.85830,iPad1(1000171),171,01.06.26 15:57,Prod,A1000171.6793,,108,S1000171.85830,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000171.85831,SP1000171.36.85831,SY1000171.2026.85831,iPad1(1000171),171,01.06.26 12:42,Prod,A1000171.6794,Tisch 20,112,S1000171.85831,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000171.85832,SP1000171.36.85832,SY1000171.2026.85832,iPad1(1000171),171,01.06.26 12:42,Prod,A1000171.6794,Tisch 20,112,S1000171.85832,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000171.85833,SP1000171.36.85833,SY1000171.2026.85833,iPad1(1000171),171,01.06.26 13:17,Prod,A1000171.6795,Tisch 24,112,S1000171.85833,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000171.85834,SP1000171.36.85834,SY1000171.2026.85834,iPad1(1000171),171,01.06.26 13:17,Prod,A1000171.6795,Tisch 24,112,S1000171.85834,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000171.85835,SP1000171.36.85835,SY1000171.2026.85835,iPad1(1000171),171,01.06.26 13:17,Prod,A1000171.6795,Tisch 24,112,S1000171.85835,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000171.85836,SP1000171.36.85836,SY1000171.2026.85836,iPad1(1000171),171,01.06.26 13:03,Prod,A1000171.6796,Tisch 8,112,S1000171.85836,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000171.85837,SP1000171.36.85837,SY1000171.2026.85837,iPad1(1000171),171,01.06.26 15:30,Prod,A1000171.6797,Tisch 6,106,S1000171.85837,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000171.85838,SP1000171.36.85838,SY1000171.2026.85838,iPad1(1000171),171,01.06.26 15:30,Prod,A1000171.6797,Tisch 6,106,S1000171.85838,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000171.85839,SP1000171.36.85839,SY1000171.2026.85839,iPad1(1000171),171,01.06.26 15:30,Prod,A1000171.6797,Tisch 6,106,S1000171.85839,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000171.85840,SP1000171.36.85840,SY1000171.2026.85840,iPad1(1000171),171,01.06.26 17:52,Prod,A1000171.6798,Tisch 14,112,S1000171.85840,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000171.85841,SP1000171.36.85841,SY1000171.2026.85841,iPad1(1000171),171,01.06.26 19:24,Prod,A1000171.6799,Tisch 13,106,S1000171.85841,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000171.85842,SP1000171.36.85842,SY1000171.2026.85842,iPad1(1000171),171,01.06.26 19:24,Prod,A1000171.6799,Tisch 13,106,S1000171.85842,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000171.85843,SP1000171.36.85843,SY1000171.2026.85843,iPad1(1000171),171,01.06.26 13:43,Prod,A1000171.6800,Tisch 2,108,S1000171.85843,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000171.85844,SP1000171.36.85844,SY1000171.2026.85844,iPad1(1000171),171,01.06.26 12:32,Prod,A1000171.6801,Tisch 1,104,S1000171.85844,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000171.85845,SP1000171.36.85845,SY1000171.2026.85845,iPad1(1000171),171,01.06.26 17:14,Prod,A1000171.6802,Tisch 15,106,S1000171.85845,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000171.85846,SP1000171.36.85846,SY1000171.2026.85846,iPad1(1000171),171,01.06.26 17:14,Prod,A1000171.6802,Tisch 15,106,S1000171.85846,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
