Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000372.33225,SP1000372.6.33225,SY1000372.2026.33225,iPad1(1000372),372,01.06.26 12:21,Prod,A1000372.6610,Tisch 3,115,S1000372.33225,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000372.33226,SP1000372.6.33226,SY1000372.2026.33226,iPad1(1000372),372,01.06.26 20:44,Prod,A1000372.6611,Tisch 10,106,S1000372.33226,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000372.33227,SP1000372.6.33227,SY1000372.2026.33227,iPad1(1000372),372,01.06.26 16:05,Prod,A1000372.6612,Tisch 9,115,S1000372.33227,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000372.33228,SP1000372.6.33228,SY1000372.2026.33228,iPad1(1000372),372,01.06.26 11:02,Prod,A1000372.6613,Tisch 24,108,S1000372.33228,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000372.33229,SP1000372.6.33229,SY1000372.2026.33229,iPad1(1000372),372,01.06.26 11:02,Prod,A1000372.6613,Tisch 24,108,S1000372.33229,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000372.33230,SP1000372.6.33230,SY1000372.2026.33230,iPad1(1000372),372,01.06.26 11:02,Prod,A1000372.6613,Tisch 24,108,S1000372.33230,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000372.33231,SP1000372.6.33231,SY1000372.2026.33231,iPad1(1000372),372,01.06.26 18:17,Prod,A1000372.6614,Tisch 8,108,S1000372.33231,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000372.33232,SP1000372.6.33232,SY1000372.2026.33232,iPad1(1000372),372,01.06.26 18:17,Prod,A1000372.6614,Tisch 8,108,S1000372.33232,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000372.33233,SP1000372.6.33233,SY1000372.2026.33233,iPad1(1000372),372,01.06.26 19:06,Prod,A1000372.6615,Tisch 5,106,S1000372.33233,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000372.33234,SP1000372.6.33234,SY1000372.2026.33234,iPad1(1000372),372,01.06.26 11:14,Prod,A1000372.6616,Tisch 20,115,S1000372.33234,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000372.33235,SP1000372.6.33235,SY1000372.2026.33235,iPad1(1000372),372,01.06.26 11:52,Prod,A1000372.6617,,115,S1000372.33235,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000372.33236,SP1000372.6.33236,SY1000372.2026.33236,iPad1(1000372),372,01.06.26 11:52,Prod,A1000372.6617,,115,S1000372.33236,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000372.33237,SP1000372.6.33237,SY1000372.2026.33237,iPad1(1000372),372,01.06.26 18:20,Prod,A1000372.6618,Tisch 10,106,S1000372.33237,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000372.33238,SP1000372.6.33238,SY1000372.2026.33238,iPad1(1000372),372,01.06.26 18:49,Prod,A1000372.6619,Tisch 22,106,S1000372.33238,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000372.33239,SP1000372.6.33239,SY1000372.2026.33239,iPad1(1000372),372,01.06.26 12:23,Prod,A1000372.6620,Tisch 5,108,S1000372.33239,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000372.33240,SP1000372.6.33240,SY1000372.2026.33240,iPad1(1000372),372,01.06.26 17:26,Prod,A1000372.6621,Tisch 2,106,S1000372.33240,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
