Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000069.70710,SP1000069.19.70710,SY1000069.2026.70710,iPad1(1000069),69,01.06.26 19:53,Prod,A1000069.6956,Tisch 2,118,S1000069.70710,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000069.70711,SP1000069.19.70711,SY1000069.2026.70711,iPad1(1000069),69,01.06.26 20:08,Prod,A1000069.6957,Tisch 7,109,S1000069.70711,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000069.70712,SP1000069.19.70712,SY1000069.2026.70712,iPad1(1000069),69,01.06.26 11:38,Prod,A1000069.6958,Tisch 12,109,S1000069.70712,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000069.70713,SP1000069.19.70713,SY1000069.2026.70713,iPad1(1000069),69,01.06.26 11:27,Prod,A1000069.6959,Tisch 18,118,S1000069.70713,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000069.70714,SP1000069.19.70714,SY1000069.2026.70714,iPad1(1000069),69,01.06.26 11:27,Prod,A1000069.6959,Tisch 18,118,S1000069.70714,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000069.70715,SP1000069.19.70715,SY1000069.2026.70715,iPad1(1000069),69,01.06.26 11:27,Prod,A1000069.6959,Tisch 18,118,S1000069.70715,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000069.70716,SP1000069.19.70716,SY1000069.2026.70716,iPad1(1000069),69,01.06.26 18:50,Prod,A1000069.6960,Tisch 24,109,S1000069.70716,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000069.70717,SP1000069.19.70717,SY1000069.2026.70717,iPad1(1000069),69,01.06.26 16:24,Prod,A1000069.6961,Tisch 8,101,S1000069.70717,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000069.70718,SP1000069.19.70718,SY1000069.2026.70718,iPad1(1000069),69,01.06.26 19:39,Prod,A1000069.6962,Tisch 4,115,S1000069.70718,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000069.70719,SP1000069.19.70719,SY1000069.2026.70719,iPad1(1000069),69,01.06.26 19:39,Prod,A1000069.6962,Tisch 4,115,S1000069.70719,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000069.70720,SP1000069.19.70720,SY1000069.2026.70720,iPad1(1000069),69,01.06.26 10:35,Prod,A1000069.6963,Tisch 13,115,S1000069.70720,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000069.70721,SP1000069.19.70721,SY1000069.2026.70721,iPad1(1000069),69,01.06.26 10:35,Prod,A1000069.6963,Tisch 13,115,S1000069.70721,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000069.70722,SP1000069.19.70722,SY1000069.2026.70722,iPad1(1000069),69,01.06.26 10:35,Prod,A1000069.6963,Tisch 13,115,S1000069.70722,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000069.70723,SP1000069.19.70723,SY1000069.2026.70723,iPad1(1000069),69,01.06.26 13:31,Prod,A1000069.6964,Tisch 3,118,S1000069.70723,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000069.70724,SP1000069.19.70724,SY1000069.2026.70724,iPad1(1000069),69,01.06.26 13:31,Prod,A1000069.6964,Tisch 3,118,S1000069.70724,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000069.70725,SP1000069.19.70725,SY1000069.2026.70725,iPad1(1000069),69,01.06.26 16:27,Prod,A1000069.6965,Tisch 12,109,S1000069.70725,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000069.70726,SP1000069.19.70726,SY1000069.2026.70726,iPad1(1000069),69,01.06.26 16:27,Prod,A1000069.6965,Tisch 12,109,S1000069.70726,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000069.70727,SP1000069.19.70727,SY1000069.2026.70727,iPad1(1000069),69,01.06.26 18:01,Prod,A1000069.6966,,114,S1000069.70727,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000069.70728,SP1000069.19.70728,SY1000069.2026.70728,iPad1(1000069),69,01.06.26 18:01,Prod,A1000069.6966,,114,S1000069.70728,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000069.70729,SP1000069.19.70729,SY1000069.2026.70729,iPad1(1000069),69,01.06.26 11:19,Prod,A1000069.6967,Tisch 21,101,S1000069.70729,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000069.70730,SP1000069.19.70730,SY1000069.2026.70730,iPad1(1000069),69,01.06.26 11:19,Prod,A1000069.6967,Tisch 21,101,S1000069.70730,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000069.70731,SP1000069.19.70731,SY1000069.2026.70731,iPad1(1000069),69,01.06.26 12:32,Prod,A1000069.6968,,114,S1000069.70731,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000069.70732,SP1000069.19.70732,SY1000069.2026.70732,iPad1(1000069),69,01.06.26 12:32,Prod,A1000069.6968,,114,S1000069.70732,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000069.70733,SP1000069.19.70733,SY1000069.2026.70733,iPad1(1000069),69,01.06.26 12:32,Prod,A1000069.6968,,114,S1000069.70733,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000069.70734,SP1000069.19.70734,SY1000069.2026.70734,iPad1(1000069),69,01.06.26 20:13,Prod,A1000069.6969,Tisch 7,115,S1000069.70734,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000069.70735,SP1000069.19.70735,SY1000069.2026.70735,iPad1(1000069),69,01.06.26 18:46,Prod,A1000069.6970,,109,S1000069.70735,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000069.70736,SP1000069.19.70736,SY1000069.2026.70736,iPad1(1000069),69,01.06.26 18:46,Prod,A1000069.6970,,109,S1000069.70736,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000069.70737,SP1000069.19.70737,SY1000069.2026.70737,iPad1(1000069),69,01.06.26 19:38,Prod,A1000069.6971,Tisch 3,118,S1000069.70737,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000069.70738,SP1000069.19.70738,SY1000069.2026.70738,iPad1(1000069),69,01.06.26 19:38,Prod,A1000069.6971,Tisch 3,118,S1000069.70738,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000069.70739,SP1000069.19.70739,SY1000069.2026.70739,iPad1(1000069),69,01.06.26 14:35,Prod,A1000069.6972,Tisch 11,114,S1000069.70739,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000069.70740,SP1000069.19.70740,SY1000069.2026.70740,iPad1(1000069),69,01.06.26 14:35,Prod,A1000069.6972,Tisch 11,114,S1000069.70740,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000069.70741,SP1000069.19.70741,SY1000069.2026.70741,iPad1(1000069),69,01.06.26 14:58,Prod,A1000069.6973,Tisch 19,109,S1000069.70741,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000069.70742,SP1000069.19.70742,SY1000069.2026.70742,iPad1(1000069),69,01.06.26 14:58,Prod,A1000069.6973,Tisch 19,109,S1000069.70742,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000069.70743,SP1000069.19.70743,SY1000069.2026.70743,iPad1(1000069),69,01.06.26 14:58,Prod,A1000069.6973,Tisch 19,109,S1000069.70743,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000069.70744,SP1000069.19.70744,SY1000069.2026.70744,iPad1(1000069),69,01.06.26 19:15,Prod,A1000069.6974,Tisch 16,114,S1000069.70744,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000069.70745,SP1000069.19.70745,SY1000069.2026.70745,iPad1(1000069),69,01.06.26 16:17,Prod,A1000069.6975,Tisch 3,118,S1000069.70745,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000069.70746,SP1000069.19.70746,SY1000069.2026.70746,iPad1(1000069),69,01.06.26 16:17,Prod,A1000069.6975,Tisch 3,118,S1000069.70746,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000069.70747,SP1000069.19.70747,SY1000069.2026.70747,iPad1(1000069),69,01.06.26 16:17,Prod,A1000069.6975,Tisch 3,118,S1000069.70747,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000069.70748,SP1000069.19.70748,SY1000069.2026.70748,iPad1(1000069),69,01.06.26 15:07,Prod,A1000069.6976,Tisch 18,109,S1000069.70748,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000069.70749,SP1000069.19.70749,SY1000069.2026.70749,iPad1(1000069),69,01.06.26 15:07,Prod,A1000069.6976,Tisch 18,109,S1000069.70749,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000069.70750,SP1000069.19.70750,SY1000069.2026.70750,iPad1(1000069),69,01.06.26 11:17,Prod,A1000069.6977,Tisch 2,109,S1000069.70750,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000069.70751,SP1000069.19.70751,SY1000069.2026.70751,iPad1(1000069),69,01.06.26 11:17,Prod,A1000069.6977,Tisch 2,109,S1000069.70751,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000069.70752,SP1000069.19.70752,SY1000069.2026.70752,iPad1(1000069),69,01.06.26 19:35,Prod,A1000069.6978,Tisch 14,115,S1000069.70752,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000069.70753,SP1000069.19.70753,SY1000069.2026.70753,iPad1(1000069),69,01.06.26 19:35,Prod,A1000069.6978,Tisch 14,115,S1000069.70753,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000069.70754,SP1000069.19.70754,SY1000069.2026.70754,iPad1(1000069),69,01.06.26 19:35,Prod,A1000069.6978,Tisch 14,115,S1000069.70754,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000069.70755,SP1000069.19.70755,SY1000069.2026.70755,iPad1(1000069),69,01.06.26 10:29,Prod,A1000069.6979,Tisch 6,109,S1000069.70755,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000069.70756,SP1000069.19.70756,SY1000069.2026.70756,iPad1(1000069),69,01.06.26 10:29,Prod,A1000069.6979,Tisch 6,109,S1000069.70756,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000069.70757,SP1000069.19.70757,SY1000069.2026.70757,iPad1(1000069),69,01.06.26 10:29,Prod,A1000069.6979,Tisch 6,109,S1000069.70757,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000069.70758,SP1000069.19.70758,SY1000069.2026.70758,iPad1(1000069),69,01.06.26 11:57,Prod,A1000069.6980,Tisch 7,118,S1000069.70758,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000069.70759,SP1000069.19.70759,SY1000069.2026.70759,iPad1(1000069),69,01.06.26 11:57,Prod,A1000069.6980,Tisch 7,118,S1000069.70759,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000069.70760,SP1000069.19.70760,SY1000069.2026.70760,iPad1(1000069),69,01.06.26 14:55,Prod,A1000069.6981,Tisch 14,118,S1000069.70760,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000069.70761,SP1000069.19.70761,SY1000069.2026.70761,iPad1(1000069),69,01.06.26 14:55,Prod,A1000069.6981,Tisch 14,118,S1000069.70761,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
