Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000020.37023,SP1000020.25.37023,SY1000020.2026.37023,iPad1(1000020),20,01.06.26 15:14,Prod,A1000020.6426,Tisch 8,104,S1000020.37023,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000020.37024,SP1000020.25.37024,SY1000020.2026.37024,iPad1(1000020),20,01.06.26 15:14,Prod,A1000020.6426,Tisch 8,104,S1000020.37024,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000020.37025,SP1000020.25.37025,SY1000020.2026.37025,iPad1(1000020),20,01.06.26 19:14,Prod,A1000020.6427,Tisch 22,110,S1000020.37025,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000020.37026,SP1000020.25.37026,SY1000020.2026.37026,iPad1(1000020),20,01.06.26 19:14,Prod,A1000020.6427,Tisch 22,110,S1000020.37026,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000020.37027,SP1000020.25.37027,SY1000020.2026.37027,iPad1(1000020),20,01.06.26 18:52,Prod,A1000020.6428,,112,S1000020.37027,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000020.37028,SP1000020.25.37028,SY1000020.2026.37028,iPad1(1000020),20,01.06.26 18:52,Prod,A1000020.6428,,112,S1000020.37028,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000020.37029,SP1000020.25.37029,SY1000020.2026.37029,iPad1(1000020),20,01.06.26 18:34,Prod,A1000020.6429,,113,S1000020.37029,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000020.37030,SP1000020.25.37030,SY1000020.2026.37030,iPad1(1000020),20,01.06.26 18:34,Prod,A1000020.6429,,113,S1000020.37030,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000020.37031,SP1000020.25.37031,SY1000020.2026.37031,iPad1(1000020),20,01.06.26 17:37,Prod,A1000020.6430,Tisch 14,110,S1000020.37031,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000020.37032,SP1000020.25.37032,SY1000020.2026.37032,iPad1(1000020),20,01.06.26 17:37,Prod,A1000020.6430,Tisch 14,110,S1000020.37032,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
