Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000293.32307,SP1000293.11.32307,SY1000293.2026.32307,iPad1(1000293),293,01.06.26 11:08,Prod,A1000293.6507,,108,S1000293.32307,VOID,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000293.32308,SP1000293.11.32308,SY1000293.2026.32308,iPad1(1000293),293,01.06.26 11:08,Prod,A1000293.6507,,108,S1000293.32308,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000293.32309,SP1000293.11.32309,SY1000293.2026.32309,iPad1(1000293),293,01.06.26 11:08,Prod,A1000293.6507,,108,S1000293.32309,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000293.32310,SP1000293.11.32310,SY1000293.2026.32310,iPad1(1000293),293,01.06.26 20:35,Prod,A1000293.6508,Tisch 9,118,S1000293.32310,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000293.32311,SP1000293.11.32311,SY1000293.2026.32311,iPad1(1000293),293,01.06.26 12:11,Prod,A1000293.6509,Tisch 12,105,S1000293.32311,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000293.32312,SP1000293.11.32312,SY1000293.2026.32312,iPad1(1000293),293,01.06.26 12:11,Prod,A1000293.6509,Tisch 12,105,S1000293.32312,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000293.32313,SP1000293.11.32313,SY1000293.2026.32313,iPad1(1000293),293,01.06.26 12:11,Prod,A1000293.6509,Tisch 12,105,S1000293.32313,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000293.32314,SP1000293.11.32314,SY1000293.2026.32314,iPad1(1000293),293,01.06.26 15:17,Prod,A1000293.6510,Tisch 17,111,S1000293.32314,VOID,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000293.32315,SP1000293.11.32315,SY1000293.2026.32315,iPad1(1000293),293,01.06.26 15:17,Prod,A1000293.6510,Tisch 17,111,S1000293.32315,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000293.32316,SP1000293.11.32316,SY1000293.2026.32316,iPad1(1000293),293,01.06.26 15:17,Prod,A1000293.6510,Tisch 17,111,S1000293.32316,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
