Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000347.79113,SP1000347.33.79113,SY1000347.2026.79113,iPad1(1000347),347,01.06.26 19:30,Prod,A1000347.6115,Tisch 21,110,S1000347.79113,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000347.79114,SP1000347.33.79114,SY1000347.2026.79114,iPad1(1000347),347,01.06.26 19:30,Prod,A1000347.6115,Tisch 21,110,S1000347.79114,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000347.79115,SP1000347.33.79115,SY1000347.2026.79115,iPad1(1000347),347,01.06.26 19:30,Prod,A1000347.6115,Tisch 21,110,S1000347.79115,VOID,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000347.79116,SP1000347.33.79116,SY1000347.2026.79116,iPad1(1000347),347,01.06.26 20:16,Prod,A1000347.6116,Tisch 19,108,S1000347.79116,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000347.79117,SP1000347.33.79117,SY1000347.2026.79117,iPad1(1000347),347,01.06.26 20:16,Prod,A1000347.6116,Tisch 19,108,S1000347.79117,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000347.79118,SP1000347.33.79118,SY1000347.2026.79118,iPad1(1000347),347,01.06.26 20:16,Prod,A1000347.6116,Tisch 19,108,S1000347.79118,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000347.79119,SP1000347.33.79119,SY1000347.2026.79119,iPad1(1000347),347,01.06.26 16:29,Prod,A1000347.6117,Tisch 22,105,S1000347.79119,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000347.79120,SP1000347.33.79120,SY1000347.2026.79120,iPad1(1000347),347,01.06.26 12:47,Prod,A1000347.6118,Tisch 6,105,S1000347.79120,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000347.79121,SP1000347.33.79121,SY1000347.2026.79121,iPad1(1000347),347,01.06.26 17:57,Prod,A1000347.6119,,108,S1000347.79121,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000347.79122,SP1000347.33.79122,SY1000347.2026.79122,iPad1(1000347),347,01.06.26 17:57,Prod,A1000347.6119,,108,S1000347.79122,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
