Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000147.18255,SP1000147.19.18255,SY1000147.2026.18255,iPad1(1000147),147,01.06.26 16:27,Prod,A1000147.6964,Tisch 20,104,S1000147.18255,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000147.18256,SP1000147.19.18256,SY1000147.2026.18256,iPad1(1000147),147,01.06.26 16:27,Prod,A1000147.6964,Tisch 20,104,S1000147.18256,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000147.18257,SP1000147.19.18257,SY1000147.2026.18257,iPad1(1000147),147,01.06.26 16:27,Prod,A1000147.6964,Tisch 20,104,S1000147.18257,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000147.18258,SP1000147.19.18258,SY1000147.2026.18258,iPad1(1000147),147,01.06.26 18:40,Prod,A1000147.6965,Tisch 11,104,S1000147.18258,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000147.18259,SP1000147.19.18259,SY1000147.2026.18259,iPad1(1000147),147,01.06.26 18:40,Prod,A1000147.6965,Tisch 11,104,S1000147.18259,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000147.18260,SP1000147.19.18260,SY1000147.2026.18260,iPad1(1000147),147,01.06.26 18:26,Prod,A1000147.6966,Tisch 15,104,S1000147.18260,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000147.18261,SP1000147.19.18261,SY1000147.2026.18261,iPad1(1000147),147,01.06.26 18:26,Prod,A1000147.6966,Tisch 15,104,S1000147.18261,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000147.18262,SP1000147.19.18262,SY1000147.2026.18262,iPad1(1000147),147,01.06.26 17:34,Prod,A1000147.6967,Tisch 3,118,S1000147.18262,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000147.18263,SP1000147.19.18263,SY1000147.2026.18263,iPad1(1000147),147,01.06.26 17:34,Prod,A1000147.6967,Tisch 3,118,S1000147.18263,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000147.18264,SP1000147.19.18264,SY1000147.2026.18264,iPad1(1000147),147,01.06.26 17:34,Prod,A1000147.6967,Tisch 3,118,S1000147.18264,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000147.18265,SP1000147.19.18265,SY1000147.2026.18265,iPad1(1000147),147,01.06.26 15:58,Prod,A1000147.6968,Tisch 10,105,S1000147.18265,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000147.18266,SP1000147.19.18266,SY1000147.2026.18266,iPad1(1000147),147,01.06.26 15:58,Prod,A1000147.6968,Tisch 10,105,S1000147.18266,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000147.18267,SP1000147.19.18267,SY1000147.2026.18267,iPad1(1000147),147,01.06.26 15:58,Prod,A1000147.6968,Tisch 10,105,S1000147.18267,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000147.18268,SP1000147.19.18268,SY1000147.2026.18268,iPad1(1000147),147,01.06.26 13:50,Prod,A1000147.6969,Tisch 15,118,S1000147.18268,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000147.18269,SP1000147.19.18269,SY1000147.2026.18269,iPad1(1000147),147,01.06.26 13:50,Prod,A1000147.6969,Tisch 15,118,S1000147.18269,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000147.18270,SP1000147.19.18270,SY1000147.2026.18270,iPad1(1000147),147,01.06.26 13:50,Prod,A1000147.6969,Tisch 15,118,S1000147.18270,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000147.18271,SP1000147.19.18271,SY1000147.2026.18271,iPad1(1000147),147,01.06.26 19:05,Prod,A1000147.6970,Tisch 24,104,S1000147.18271,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000147.18272,SP1000147.19.18272,SY1000147.2026.18272,iPad1(1000147),147,01.06.26 19:05,Prod,A1000147.6970,Tisch 24,104,S1000147.18272,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000147.18273,SP1000147.19.18273,SY1000147.2026.18273,iPad1(1000147),147,01.06.26 19:05,Prod,A1000147.6970,Tisch 24,104,S1000147.18273,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000147.18274,SP1000147.19.18274,SY1000147.2026.18274,iPad1(1000147),147,01.06.26 17:42,Prod,A1000147.6971,Tisch 11,111,S1000147.18274,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000147.18275,SP1000147.19.18275,SY1000147.2026.18275,iPad1(1000147),147,01.06.26 17:42,Prod,A1000147.6971,Tisch 11,111,S1000147.18275,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000147.18276,SP1000147.19.18276,SY1000147.2026.18276,iPad1(1000147),147,01.06.26 16:37,Prod,A1000147.6972,Tisch 9,111,S1000147.18276,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000147.18277,SP1000147.19.18277,SY1000147.2026.18277,iPad1(1000147),147,01.06.26 16:37,Prod,A1000147.6972,Tisch 9,111,S1000147.18277,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000147.18278,SP1000147.19.18278,SY1000147.2026.18278,iPad1(1000147),147,01.06.26 16:52,Prod,A1000147.6973,Tisch 15,105,S1000147.18278,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000147.18279,SP1000147.19.18279,SY1000147.2026.18279,iPad1(1000147),147,01.06.26 16:52,Prod,A1000147.6973,Tisch 15,105,S1000147.18279,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000147.18280,SP1000147.19.18280,SY1000147.2026.18280,iPad1(1000147),147,01.06.26 16:52,Prod,A1000147.6973,Tisch 15,105,S1000147.18280,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000147.18281,SP1000147.19.18281,SY1000147.2026.18281,iPad1(1000147),147,01.06.26 12:49,Prod,A1000147.6974,Tisch 9,104,S1000147.18281,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
