Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000105.59738,SP1000105.26.59738,SY1000105.2026.59738,iPad1(1000105),105,01.06.26 18:40,Prod,A1000105.6826,Tisch 6,107,S1000105.59738,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000105.59739,SP1000105.26.59739,SY1000105.2026.59739,iPad1(1000105),105,01.06.26 16:08,Prod,A1000105.6827,Tisch 8,112,S1000105.59739,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000105.59740,SP1000105.26.59740,SY1000105.2026.59740,iPad1(1000105),105,01.06.26 16:38,Prod,A1000105.6828,Tisch 12,112,S1000105.59740,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000105.59741,SP1000105.26.59741,SY1000105.2026.59741,iPad1(1000105),105,01.06.26 16:38,Prod,A1000105.6828,Tisch 12,112,S1000105.59741,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000105.59742,SP1000105.26.59742,SY1000105.2026.59742,iPad1(1000105),105,01.06.26 16:38,Prod,A1000105.6828,Tisch 12,112,S1000105.59742,VOID,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000105.59743,SP1000105.26.59743,SY1000105.2026.59743,iPad1(1000105),105,01.06.26 11:54,Prod,A1000105.6829,Tisch 21,107,S1000105.59743,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000105.59744,SP1000105.26.59744,SY1000105.2026.59744,iPad1(1000105),105,01.06.26 11:54,Prod,A1000105.6829,Tisch 21,107,S1000105.59744,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000105.59745,SP1000105.26.59745,SY1000105.2026.59745,iPad1(1000105),105,01.06.26 11:51,Prod,A1000105.6830,Tisch 13,110,S1000105.59745,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000105.59746,SP1000105.26.59746,SY1000105.2026.59746,iPad1(1000105),105,01.06.26 11:51,Prod,A1000105.6830,Tisch 13,110,S1000105.59746,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000105.59747,SP1000105.26.59747,SY1000105.2026.59747,iPad1(1000105),105,01.06.26 11:51,Prod,A1000105.6830,Tisch 13,110,S1000105.59747,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
