Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000309.86887,SP1000309.39.86887,SY1000309.2026.86887,iPad1(1000309),309,01.06.26 12:26,Prod,A1000309.6572,Tisch 11,113,S1000309.86887,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000309.86888,SP1000309.39.86888,SY1000309.2026.86888,iPad1(1000309),309,01.06.26 12:26,Prod,A1000309.6572,Tisch 11,113,S1000309.86888,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000309.86889,SP1000309.39.86889,SY1000309.2026.86889,iPad1(1000309),309,01.06.26 12:26,Prod,A1000309.6572,Tisch 11,113,S1000309.86889,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000309.86890,SP1000309.39.86890,SY1000309.2026.86890,iPad1(1000309),309,01.06.26 18:53,Prod,A1000309.6573,Tisch 11,116,S1000309.86890,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000309.86891,SP1000309.39.86891,SY1000309.2026.86891,iPad1(1000309),309,01.06.26 18:53,Prod,A1000309.6573,Tisch 11,116,S1000309.86891,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000309.86892,SP1000309.39.86892,SY1000309.2026.86892,iPad1(1000309),309,01.06.26 12:47,Prod,A1000309.6574,,116,S1000309.86892,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000309.86893,SP1000309.39.86893,SY1000309.2026.86893,iPad1(1000309),309,01.06.26 12:47,Prod,A1000309.6574,,116,S1000309.86893,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000309.86894,SP1000309.39.86894,SY1000309.2026.86894,iPad1(1000309),309,01.06.26 17:50,Prod,A1000309.6575,Tisch 18,113,S1000309.86894,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000309.86895,SP1000309.39.86895,SY1000309.2026.86895,iPad1(1000309),309,01.06.26 17:50,Prod,A1000309.6575,Tisch 18,113,S1000309.86895,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000309.86896,SP1000309.39.86896,SY1000309.2026.86896,iPad1(1000309),309,01.06.26 17:50,Prod,A1000309.6575,Tisch 18,113,S1000309.86896,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000309.86897,SP1000309.39.86897,SY1000309.2026.86897,iPad1(1000309),309,01.06.26 13:21,Prod,A1000309.6576,Tisch 6,115,S1000309.86897,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000309.86898,SP1000309.39.86898,SY1000309.2026.86898,iPad1(1000309),309,01.06.26 13:21,Prod,A1000309.6576,Tisch 6,115,S1000309.86898,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000309.86899,SP1000309.39.86899,SY1000309.2026.86899,iPad1(1000309),309,01.06.26 18:05,Prod,A1000309.6577,Tisch 12,108,S1000309.86899,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
