Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000265.86246,SP1000265.21.86246,SY1000265.2026.86246,iPad1(1000265),265,01.06.26 20:51,Prod,A1000265.6533,Tisch 2,101,S1000265.86246,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000265.86247,SP1000265.21.86247,SY1000265.2026.86247,iPad1(1000265),265,01.06.26 20:51,Prod,A1000265.6533,Tisch 2,101,S1000265.86247,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000265.86248,SP1000265.21.86248,SY1000265.2026.86248,iPad1(1000265),265,01.06.26 20:51,Prod,A1000265.6533,Tisch 2,101,S1000265.86248,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000265.86249,SP1000265.21.86249,SY1000265.2026.86249,iPad1(1000265),265,01.06.26 16:48,Prod,A1000265.6534,Tisch 20,119,S1000265.86249,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000265.86250,SP1000265.21.86250,SY1000265.2026.86250,iPad1(1000265),265,01.06.26 16:48,Prod,A1000265.6534,Tisch 20,119,S1000265.86250,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000265.86251,SP1000265.21.86251,SY1000265.2026.86251,iPad1(1000265),265,01.06.26 16:48,Prod,A1000265.6534,Tisch 20,119,S1000265.86251,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000265.86252,SP1000265.21.86252,SY1000265.2026.86252,iPad1(1000265),265,01.06.26 17:28,Prod,A1000265.6535,Tisch 9,108,S1000265.86252,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000265.86253,SP1000265.21.86253,SY1000265.2026.86253,iPad1(1000265),265,01.06.26 11:44,Prod,A1000265.6536,Tisch 24,108,S1000265.86253,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000265.86254,SP1000265.21.86254,SY1000265.2026.86254,iPad1(1000265),265,01.06.26 12:34,Prod,A1000265.6537,Tisch 11,108,S1000265.86254,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000265.86255,SP1000265.21.86255,SY1000265.2026.86255,iPad1(1000265),265,01.06.26 17:15,Prod,A1000265.6538,Tisch 18,105,S1000265.86255,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
