Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000085.74717,SP1000085.25.74717,SY1000085.2026.74717,iPad1(1000085),85,01.06.26 11:47,Prod,A1000085.6459,Tisch 9,105,S1000085.74717,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000085.74718,SP1000085.25.74718,SY1000085.2026.74718,iPad1(1000085),85,01.06.26 15:01,Prod,A1000085.6460,Tisch 24,105,S1000085.74718,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000085.74719,SP1000085.25.74719,SY1000085.2026.74719,iPad1(1000085),85,01.06.26 15:01,Prod,A1000085.6460,Tisch 24,105,S1000085.74719,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000085.74720,SP1000085.25.74720,SY1000085.2026.74720,iPad1(1000085),85,01.06.26 15:01,Prod,A1000085.6460,Tisch 24,105,S1000085.74720,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000085.74721,SP1000085.25.74721,SY1000085.2026.74721,iPad1(1000085),85,01.06.26 19:34,Prod,A1000085.6461,,116,S1000085.74721,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000085.74722,SP1000085.25.74722,SY1000085.2026.74722,iPad1(1000085),85,01.06.26 19:34,Prod,A1000085.6461,,116,S1000085.74722,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000085.74723,SP1000085.25.74723,SY1000085.2026.74723,iPad1(1000085),85,01.06.26 11:58,Prod,A1000085.6462,Tisch 18,116,S1000085.74723,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000085.74724,SP1000085.25.74724,SY1000085.2026.74724,iPad1(1000085),85,01.06.26 11:58,Prod,A1000085.6462,Tisch 18,116,S1000085.74724,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000085.74725,SP1000085.25.74725,SY1000085.2026.74725,iPad1(1000085),85,01.06.26 11:58,Prod,A1000085.6462,Tisch 18,116,S1000085.74725,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000085.74726,SP1000085.25.74726,SY1000085.2026.74726,iPad1(1000085),85,01.06.26 12:29,Prod,A1000085.6463,Tisch 1,105,S1000085.74726,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000085.74727,SP1000085.25.74727,SY1000085.2026.74727,iPad1(1000085),85,01.06.26 20:42,Prod,A1000085.6464,Tisch 11,113,S1000085.74727,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000085.74728,SP1000085.25.74728,SY1000085.2026.74728,iPad1(1000085),85,01.06.26 20:42,Prod,A1000085.6464,Tisch 11,113,S1000085.74728,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000085.74729,SP1000085.25.74729,SY1000085.2026.74729,iPad1(1000085),85,01.06.26 20:42,Prod,A1000085.6464,Tisch 11,113,S1000085.74729,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000085.74730,SP1000085.25.74730,SY1000085.2026.74730,iPad1(1000085),85,01.06.26 09:38,Prod,A1000085.6465,Tisch 9,103,S1000085.74730,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000085.74731,SP1000085.25.74731,SY1000085.2026.74731,iPad1(1000085),85,01.06.26 19:30,Prod,A1000085.6466,Tisch 4,116,S1000085.74731,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000085.74732,SP1000085.25.74732,SY1000085.2026.74732,iPad1(1000085),85,01.06.26 19:30,Prod,A1000085.6466,Tisch 4,116,S1000085.74732,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000085.74733,SP1000085.25.74733,SY1000085.2026.74733,iPad1(1000085),85,01.06.26 19:35,Prod,A1000085.6467,Tisch 20,112,S1000085.74733,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000085.74734,SP1000085.25.74734,SY1000085.2026.74734,iPad1(1000085),85,01.06.26 19:41,Prod,A1000085.6468,Tisch 14,113,S1000085.74734,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000085.74735,SP1000085.25.74735,SY1000085.2026.74735,iPad1(1000085),85,01.06.26 19:41,Prod,A1000085.6468,Tisch 14,113,S1000085.74735,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000085.74736,SP1000085.25.74736,SY1000085.2026.74736,iPad1(1000085),85,01.06.26 19:46,Prod,A1000085.6469,Tisch 9,116,S1000085.74736,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000085.74737,SP1000085.25.74737,SY1000085.2026.74737,iPad1(1000085),85,01.06.26 19:46,Prod,A1000085.6469,Tisch 9,116,S1000085.74737,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000085.74738,SP1000085.25.74738,SY1000085.2026.74738,iPad1(1000085),85,01.06.26 19:46,Prod,A1000085.6469,Tisch 9,116,S1000085.74738,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000085.74739,SP1000085.25.74739,SY1000085.2026.74739,iPad1(1000085),85,01.06.26 19:03,Prod,A1000085.6470,Tisch 12,105,S1000085.74739,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000085.74740,SP1000085.25.74740,SY1000085.2026.74740,iPad1(1000085),85,01.06.26 19:03,Prod,A1000085.6470,Tisch 12,105,S1000085.74740,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000085.74741,SP1000085.25.74741,SY1000085.2026.74741,iPad1(1000085),85,01.06.26 19:03,Prod,A1000085.6470,Tisch 12,105,S1000085.74741,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000085.74742,SP1000085.25.74742,SY1000085.2026.74742,iPad1(1000085),85,01.06.26 08:47,Prod,A1000085.6471,Tisch 8,103,S1000085.74742,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000085.74743,SP1000085.25.74743,SY1000085.2026.74743,iPad1(1000085),85,01.06.26 08:47,Prod,A1000085.6471,Tisch 8,103,S1000085.74743,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000085.74744,SP1000085.25.74744,SY1000085.2026.74744,iPad1(1000085),85,01.06.26 08:47,Prod,A1000085.6471,Tisch 8,103,S1000085.74744,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000085.74745,SP1000085.25.74745,SY1000085.2026.74745,iPad1(1000085),85,01.06.26 15:34,Prod,A1000085.6472,Tisch 8,116,S1000085.74745,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000085.74746,SP1000085.25.74746,SY1000085.2026.74746,iPad1(1000085),85,01.06.26 15:34,Prod,A1000085.6472,Tisch 8,116,S1000085.74746,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000085.74747,SP1000085.25.74747,SY1000085.2026.74747,iPad1(1000085),85,01.06.26 15:34,Prod,A1000085.6472,Tisch 8,116,S1000085.74747,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000085.74748,SP1000085.25.74748,SY1000085.2026.74748,iPad1(1000085),85,01.06.26 20:12,Prod,A1000085.6473,Tisch 8,112,S1000085.74748,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000085.74749,SP1000085.25.74749,SY1000085.2026.74749,iPad1(1000085),85,01.06.26 11:57,Prod,A1000085.6474,Tisch 22,113,S1000085.74749,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000085.74750,SP1000085.25.74750,SY1000085.2026.74750,iPad1(1000085),85,01.06.26 11:57,Prod,A1000085.6474,Tisch 22,113,S1000085.74750,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000085.74751,SP1000085.25.74751,SY1000085.2026.74751,iPad1(1000085),85,01.06.26 17:50,Prod,A1000085.6475,Tisch 6,113,S1000085.74751,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000085.74752,SP1000085.25.74752,SY1000085.2026.74752,iPad1(1000085),85,01.06.26 17:50,Prod,A1000085.6475,Tisch 6,113,S1000085.74752,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000085.74753,SP1000085.25.74753,SY1000085.2026.74753,iPad1(1000085),85,01.06.26 17:50,Prod,A1000085.6475,Tisch 6,113,S1000085.74753,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000085.74754,SP1000085.25.74754,SY1000085.2026.74754,iPad1(1000085),85,01.06.26 19:00,Prod,A1000085.6476,Tisch 5,103,S1000085.74754,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000085.74755,SP1000085.25.74755,SY1000085.2026.74755,iPad1(1000085),85,01.06.26 19:00,Prod,A1000085.6476,Tisch 5,103,S1000085.74755,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000085.74756,SP1000085.25.74756,SY1000085.2026.74756,iPad1(1000085),85,01.06.26 08:20,Prod,A1000085.6477,Tisch 11,116,S1000085.74756,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000085.74757,SP1000085.25.74757,SY1000085.2026.74757,iPad1(1000085),85,01.06.26 08:20,Prod,A1000085.6477,Tisch 11,116,S1000085.74757,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000085.74758,SP1000085.25.74758,SY1000085.2026.74758,iPad1(1000085),85,01.06.26 08:20,Prod,A1000085.6477,Tisch 11,116,S1000085.74758,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000085.74759,SP1000085.25.74759,SY1000085.2026.74759,iPad1(1000085),85,01.06.26 11:56,Prod,A1000085.6478,Tisch 21,116,S1000085.74759,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000085.74760,SP1000085.25.74760,SY1000085.2026.74760,iPad1(1000085),85,01.06.26 11:56,Prod,A1000085.6478,Tisch 21,116,S1000085.74760,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000085.74761,SP1000085.25.74761,SY1000085.2026.74761,iPad1(1000085),85,01.06.26 19:19,Prod,A1000085.6479,Tisch 15,116,S1000085.74761,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000085.74762,SP1000085.25.74762,SY1000085.2026.74762,iPad1(1000085),85,01.06.26 19:19,Prod,A1000085.6479,Tisch 15,116,S1000085.74762,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000085.74763,SP1000085.25.74763,SY1000085.2026.74763,iPad1(1000085),85,01.06.26 18:52,Prod,A1000085.6480,Tisch 21,103,S1000085.74763,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000085.74764,SP1000085.25.74764,SY1000085.2026.74764,iPad1(1000085),85,01.06.26 18:52,Prod,A1000085.6480,Tisch 21,103,S1000085.74764,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000085.74765,SP1000085.25.74765,SY1000085.2026.74765,iPad1(1000085),85,01.06.26 18:52,Prod,A1000085.6480,Tisch 21,103,S1000085.74765,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000085.74766,SP1000085.25.74766,SY1000085.2026.74766,iPad1(1000085),85,01.06.26 11:46,Prod,A1000085.6481,Tisch 18,113,S1000085.74766,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000085.74767,SP1000085.25.74767,SY1000085.2026.74767,iPad1(1000085),85,01.06.26 11:46,Prod,A1000085.6481,Tisch 18,113,S1000085.74767,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000085.74768,SP1000085.25.74768,SY1000085.2026.74768,iPad1(1000085),85,01.06.26 11:46,Prod,A1000085.6481,Tisch 18,113,S1000085.74768,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000085.74769,SP1000085.25.74769,SY1000085.2026.74769,iPad1(1000085),85,01.06.26 17:37,Prod,A1000085.6482,,113,S1000085.74769,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000085.74770,SP1000085.25.74770,SY1000085.2026.74770,iPad1(1000085),85,01.06.26 17:37,Prod,A1000085.6482,,113,S1000085.74770,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000085.74771,SP1000085.25.74771,SY1000085.2026.74771,iPad1(1000085),85,01.06.26 11:03,Prod,A1000085.6483,,116,S1000085.74771,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000085.74772,SP1000085.25.74772,SY1000085.2026.74772,iPad1(1000085),85,01.06.26 11:03,Prod,A1000085.6483,,116,S1000085.74772,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000085.74773,SP1000085.25.74773,SY1000085.2026.74773,iPad1(1000085),85,01.06.26 16:43,Prod,A1000085.6484,Tisch 4,116,S1000085.74773,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000085.74774,SP1000085.25.74774,SY1000085.2026.74774,iPad1(1000085),85,01.06.26 17:11,Prod,A1000085.6485,Tisch 20,112,S1000085.74774,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000085.74775,SP1000085.25.74775,SY1000085.2026.74775,iPad1(1000085),85,01.06.26 20:51,Prod,A1000085.6486,Tisch 3,116,S1000085.74775,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
