Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000045.70429,SP1000045.33.70429,SY1000045.2026.70429,iPad1(1000045),45,01.06.26 12:29,Prod,A1000045.6188,Tisch 13,106,S1000045.70429,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000045.70430,SP1000045.33.70430,SY1000045.2026.70430,iPad1(1000045),45,01.06.26 12:29,Prod,A1000045.6188,Tisch 13,106,S1000045.70430,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000045.70431,SP1000045.33.70431,SY1000045.2026.70431,iPad1(1000045),45,01.06.26 12:34,Prod,A1000045.6189,,111,S1000045.70431,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000045.70432,SP1000045.33.70432,SY1000045.2026.70432,iPad1(1000045),45,01.06.26 12:34,Prod,A1000045.6189,,111,S1000045.70432,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000045.70433,SP1000045.33.70433,SY1000045.2026.70433,iPad1(1000045),45,01.06.26 12:34,Prod,A1000045.6189,,111,S1000045.70433,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000045.70434,SP1000045.33.70434,SY1000045.2026.70434,iPad1(1000045),45,01.06.26 11:28,Prod,A1000045.6190,Tisch 13,102,S1000045.70434,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000045.70435,SP1000045.33.70435,SY1000045.2026.70435,iPad1(1000045),45,01.06.26 11:28,Prod,A1000045.6190,Tisch 13,102,S1000045.70435,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000045.70436,SP1000045.33.70436,SY1000045.2026.70436,iPad1(1000045),45,01.06.26 11:28,Prod,A1000045.6190,Tisch 13,102,S1000045.70436,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000045.70437,SP1000045.33.70437,SY1000045.2026.70437,iPad1(1000045),45,01.06.26 19:21,Prod,A1000045.6191,Tisch 22,109,S1000045.70437,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000045.70438,SP1000045.33.70438,SY1000045.2026.70438,iPad1(1000045),45,01.06.26 19:21,Prod,A1000045.6191,Tisch 22,109,S1000045.70438,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
