Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000288.71854,SP1000288.7.71854,SY1000288.2026.71854,iPad1(1000288),288,01.06.26 15:10,Prod,A1000288.6359,Tisch 18,107,S1000288.71854,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000288.71855,SP1000288.7.71855,SY1000288.2026.71855,iPad1(1000288),288,01.06.26 15:10,Prod,A1000288.6359,Tisch 18,107,S1000288.71855,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000288.71856,SP1000288.7.71856,SY1000288.2026.71856,iPad1(1000288),288,01.06.26 08:07,Prod,A1000288.6360,,107,S1000288.71856,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000288.71857,SP1000288.7.71857,SY1000288.2026.71857,iPad1(1000288),288,01.06.26 11:41,Prod,A1000288.6361,Tisch 20,116,S1000288.71857,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000288.71858,SP1000288.7.71858,SY1000288.2026.71858,iPad1(1000288),288,01.06.26 11:41,Prod,A1000288.6361,Tisch 20,116,S1000288.71858,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000288.71859,SP1000288.7.71859,SY1000288.2026.71859,iPad1(1000288),288,01.06.26 18:08,Prod,A1000288.6362,Tisch 6,110,S1000288.71859,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000288.71860,SP1000288.7.71860,SY1000288.2026.71860,iPad1(1000288),288,01.06.26 13:25,Prod,A1000288.6363,Tisch 5,110,S1000288.71860,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000288.71861,SP1000288.7.71861,SY1000288.2026.71861,iPad1(1000288),288,01.06.26 13:25,Prod,A1000288.6363,Tisch 5,110,S1000288.71861,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000288.71862,SP1000288.7.71862,SY1000288.2026.71862,iPad1(1000288),288,01.06.26 13:25,Prod,A1000288.6363,Tisch 5,110,S1000288.71862,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000288.71863,SP1000288.7.71863,SY1000288.2026.71863,iPad1(1000288),288,01.06.26 19:04,Prod,A1000288.6364,Tisch 19,116,S1000288.71863,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
