Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000226.83629,SP1000226.9.83629,SY1000226.2026.83629,iPad1(1000226),226,01.06.26 19:10,Prod,A1000226.6955,Tisch 6,108,S1000226.83629,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000226.83630,SP1000226.9.83630,SY1000226.2026.83630,iPad1(1000226),226,01.06.26 19:10,Prod,A1000226.6955,Tisch 6,108,S1000226.83630,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000226.83631,SP1000226.9.83631,SY1000226.2026.83631,iPad1(1000226),226,01.06.26 10:02,Prod,A1000226.6956,Tisch 20,108,S1000226.83631,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000226.83632,SP1000226.9.83632,SY1000226.2026.83632,iPad1(1000226),226,01.06.26 09:28,Prod,A1000226.6957,Tisch 14,101,S1000226.83632,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000226.83633,SP1000226.9.83633,SY1000226.2026.83633,iPad1(1000226),226,01.06.26 09:28,Prod,A1000226.6957,Tisch 14,101,S1000226.83633,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000226.83634,SP1000226.9.83634,SY1000226.2026.83634,iPad1(1000226),226,01.06.26 09:28,Prod,A1000226.6957,Tisch 14,101,S1000226.83634,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000226.83635,SP1000226.9.83635,SY1000226.2026.83635,iPad1(1000226),226,01.06.26 20:44,Prod,A1000226.6958,Tisch 1,108,S1000226.83635,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000226.83636,SP1000226.9.83636,SY1000226.2026.83636,iPad1(1000226),226,01.06.26 20:44,Prod,A1000226.6958,Tisch 1,108,S1000226.83636,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000226.83637,SP1000226.9.83637,SY1000226.2026.83637,iPad1(1000226),226,01.06.26 12:42,Prod,A1000226.6959,Tisch 4,108,S1000226.83637,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000226.83638,SP1000226.9.83638,SY1000226.2026.83638,iPad1(1000226),226,01.06.26 10:47,Prod,A1000226.6960,,117,S1000226.83638,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000226.83639,SP1000226.9.83639,SY1000226.2026.83639,iPad1(1000226),226,01.06.26 10:47,Prod,A1000226.6960,,117,S1000226.83639,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000226.83640,SP1000226.9.83640,SY1000226.2026.83640,iPad1(1000226),226,01.06.26 10:47,Prod,A1000226.6960,,117,S1000226.83640,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000226.83641,SP1000226.9.83641,SY1000226.2026.83641,iPad1(1000226),226,01.06.26 19:49,Prod,A1000226.6961,Tisch 3,114,S1000226.83641,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000226.83642,SP1000226.9.83642,SY1000226.2026.83642,iPad1(1000226),226,01.06.26 12:51,Prod,A1000226.6962,Tisch 23,117,S1000226.83642,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000226.83643,SP1000226.9.83643,SY1000226.2026.83643,iPad1(1000226),226,01.06.26 10:43,Prod,A1000226.6963,Tisch 14,109,S1000226.83643,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000226.83644,SP1000226.9.83644,SY1000226.2026.83644,iPad1(1000226),226,01.06.26 12:09,Prod,A1000226.6964,Tisch 7,108,S1000226.83644,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000226.83645,SP1000226.9.83645,SY1000226.2026.83645,iPad1(1000226),226,01.06.26 12:09,Prod,A1000226.6964,Tisch 7,108,S1000226.83645,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000226.83646,SP1000226.9.83646,SY1000226.2026.83646,iPad1(1000226),226,01.06.26 09:29,Prod,A1000226.6965,Tisch 19,116,S1000226.83646,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000226.83647,SP1000226.9.83647,SY1000226.2026.83647,iPad1(1000226),226,01.06.26 15:49,Prod,A1000226.6966,Tisch 7,114,S1000226.83647,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000226.83648,SP1000226.9.83648,SY1000226.2026.83648,iPad1(1000226),226,01.06.26 15:49,Prod,A1000226.6966,Tisch 7,114,S1000226.83648,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000226.83649,SP1000226.9.83649,SY1000226.2026.83649,iPad1(1000226),226,01.06.26 10:34,Prod,A1000226.6967,,109,S1000226.83649,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
