Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000360.25537,SP1000360.13.25537,SY1000360.2026.25537,iPad1(1000360),360,01.06.26 19:41,Prod,A1000360.6061,Tisch 15,118,S1000360.25537,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000360.25538,SP1000360.13.25538,SY1000360.2026.25538,iPad1(1000360),360,01.06.26 13:03,Prod,A1000360.6062,Tisch 23,108,S1000360.25538,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000360.25539,SP1000360.13.25539,SY1000360.2026.25539,iPad1(1000360),360,01.06.26 13:03,Prod,A1000360.6062,Tisch 23,108,S1000360.25539,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000360.25540,SP1000360.13.25540,SY1000360.2026.25540,iPad1(1000360),360,01.06.26 13:03,Prod,A1000360.6062,Tisch 23,108,S1000360.25540,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000360.25541,SP1000360.13.25541,SY1000360.2026.25541,iPad1(1000360),360,01.06.26 18:52,Prod,A1000360.6063,,108,S1000360.25541,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000360.25542,SP1000360.13.25542,SY1000360.2026.25542,iPad1(1000360),360,01.06.26 10:10,Prod,A1000360.6064,Tisch 23,111,S1000360.25542,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000360.25543,SP1000360.13.25543,SY1000360.2026.25543,iPad1(1000360),360,01.06.26 10:10,Prod,A1000360.6064,Tisch 23,111,S1000360.25543,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000360.25544,SP1000360.13.25544,SY1000360.2026.25544,iPad1(1000360),360,01.06.26 17:14,Prod,A1000360.6065,Tisch 18,108,S1000360.25544,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000360.25545,SP1000360.13.25545,SY1000360.2026.25545,iPad1(1000360),360,01.06.26 17:14,Prod,A1000360.6065,Tisch 18,108,S1000360.25545,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000360.25546,SP1000360.13.25546,SY1000360.2026.25546,iPad1(1000360),360,01.06.26 12:00,Prod,A1000360.6066,Tisch 14,111,S1000360.25546,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000360.25547,SP1000360.13.25547,SY1000360.2026.25547,iPad1(1000360),360,01.06.26 12:00,Prod,A1000360.6066,Tisch 14,111,S1000360.25547,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000360.25548,SP1000360.13.25548,SY1000360.2026.25548,iPad1(1000360),360,01.06.26 20:02,Prod,A1000360.6067,Tisch 21,108,S1000360.25548,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000360.25549,SP1000360.13.25549,SY1000360.2026.25549,iPad1(1000360),360,01.06.26 13:07,Prod,A1000360.6068,Tisch 15,118,S1000360.25549,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000360.25550,SP1000360.13.25550,SY1000360.2026.25550,iPad1(1000360),360,01.06.26 13:07,Prod,A1000360.6068,Tisch 15,118,S1000360.25550,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000360.25551,SP1000360.13.25551,SY1000360.2026.25551,iPad1(1000360),360,01.06.26 11:34,Prod,A1000360.6069,Tisch 8,108,S1000360.25551,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
