Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000394.42942,SP1000394.1.42942,SY1000394.2026.42942,iPad1(1000394),394,01.06.26 17:34,Prod,A1000394.6926,,102,S1000394.42942,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000394.42943,SP1000394.1.42943,SY1000394.2026.42943,iPad1(1000394),394,01.06.26 17:11,Prod,A1000394.6927,Tisch 19,109,S1000394.42943,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000394.42944,SP1000394.1.42944,SY1000394.2026.42944,iPad1(1000394),394,01.06.26 17:16,Prod,A1000394.6928,Tisch 20,104,S1000394.42944,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000394.42945,SP1000394.1.42945,SY1000394.2026.42945,iPad1(1000394),394,01.06.26 17:16,Prod,A1000394.6928,Tisch 20,104,S1000394.42945,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000394.42946,SP1000394.1.42946,SY1000394.2026.42946,iPad1(1000394),394,01.06.26 09:51,Prod,A1000394.6929,Tisch 12,113,S1000394.42946,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000394.42947,SP1000394.1.42947,SY1000394.2026.42947,iPad1(1000394),394,01.06.26 16:20,Prod,A1000394.6930,Tisch 23,104,S1000394.42947,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000394.42948,SP1000394.1.42948,SY1000394.2026.42948,iPad1(1000394),394,01.06.26 16:20,Prod,A1000394.6930,Tisch 23,104,S1000394.42948,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000394.42949,SP1000394.1.42949,SY1000394.2026.42949,iPad1(1000394),394,01.06.26 16:20,Prod,A1000394.6930,Tisch 23,104,S1000394.42949,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000394.42950,SP1000394.1.42950,SY1000394.2026.42950,iPad1(1000394),394,01.06.26 11:39,Prod,A1000394.6931,Tisch 18,111,S1000394.42950,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000394.42951,SP1000394.1.42951,SY1000394.2026.42951,iPad1(1000394),394,01.06.26 11:39,Prod,A1000394.6931,Tisch 18,111,S1000394.42951,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000394.42952,SP1000394.1.42952,SY1000394.2026.42952,iPad1(1000394),394,01.06.26 12:54,Prod,A1000394.6932,Tisch 18,105,S1000394.42952,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000394.42953,SP1000394.1.42953,SY1000394.2026.42953,iPad1(1000394),394,01.06.26 12:54,Prod,A1000394.6932,Tisch 18,105,S1000394.42953,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000394.42954,SP1000394.1.42954,SY1000394.2026.42954,iPad1(1000394),394,01.06.26 12:54,Prod,A1000394.6932,Tisch 18,105,S1000394.42954,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000394.42955,SP1000394.1.42955,SY1000394.2026.42955,iPad1(1000394),394,01.06.26 16:36,Prod,A1000394.6933,Tisch 16,102,S1000394.42955,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000394.42956,SP1000394.1.42956,SY1000394.2026.42956,iPad1(1000394),394,01.06.26 19:29,Prod,A1000394.6934,,113,S1000394.42956,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000394.42957,SP1000394.1.42957,SY1000394.2026.42957,iPad1(1000394),394,01.06.26 19:29,Prod,A1000394.6934,,113,S1000394.42957,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000394.42958,SP1000394.1.42958,SY1000394.2026.42958,iPad1(1000394),394,01.06.26 12:39,Prod,A1000394.6935,Tisch 2,105,S1000394.42958,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000394.42959,SP1000394.1.42959,SY1000394.2026.42959,iPad1(1000394),394,01.06.26 12:39,Prod,A1000394.6935,Tisch 2,105,S1000394.42959,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000394.42960,SP1000394.1.42960,SY1000394.2026.42960,iPad1(1000394),394,01.06.26 12:39,Prod,A1000394.6935,Tisch 2,105,S1000394.42960,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000394.42961,SP1000394.1.42961,SY1000394.2026.42961,iPad1(1000394),394,01.06.26 20:39,Prod,A1000394.6936,Tisch 17,102,S1000394.42961,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000394.42962,SP1000394.1.42962,SY1000394.2026.42962,iPad1(1000394),394,01.06.26 20:39,Prod,A1000394.6936,Tisch 17,102,S1000394.42962,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000394.42963,SP1000394.1.42963,SY1000394.2026.42963,iPad1(1000394),394,01.06.26 19:15,Prod,A1000394.6937,Tisch 23,113,S1000394.42963,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
