Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000220.10304,SP1000220.14.10304,SY1000220.2026.10304,iPad1(1000220),220,01.06.26 12:46,Prod,A1000220.6835,Tisch 6,108,S1000220.10304,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000220.10305,SP1000220.14.10305,SY1000220.2026.10305,iPad1(1000220),220,01.06.26 12:46,Prod,A1000220.6835,Tisch 6,108,S1000220.10305,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000220.10306,SP1000220.14.10306,SY1000220.2026.10306,iPad1(1000220),220,01.06.26 12:46,Prod,A1000220.6835,Tisch 6,108,S1000220.10306,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000220.10307,SP1000220.14.10307,SY1000220.2026.10307,iPad1(1000220),220,01.06.26 11:51,Prod,A1000220.6836,Tisch 12,108,S1000220.10307,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000220.10308,SP1000220.14.10308,SY1000220.2026.10308,iPad1(1000220),220,01.06.26 11:51,Prod,A1000220.6836,Tisch 12,108,S1000220.10308,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000220.10309,SP1000220.14.10309,SY1000220.2026.10309,iPad1(1000220),220,01.06.26 11:51,Prod,A1000220.6836,Tisch 12,108,S1000220.10309,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000220.10310,SP1000220.14.10310,SY1000220.2026.10310,iPad1(1000220),220,01.06.26 18:53,Prod,A1000220.6837,Tisch 4,103,S1000220.10310,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000220.10311,SP1000220.14.10311,SY1000220.2026.10311,iPad1(1000220),220,01.06.26 18:53,Prod,A1000220.6837,Tisch 4,103,S1000220.10311,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000220.10312,SP1000220.14.10312,SY1000220.2026.10312,iPad1(1000220),220,01.06.26 18:53,Prod,A1000220.6837,Tisch 4,103,S1000220.10312,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000220.10313,SP1000220.14.10313,SY1000220.2026.10313,iPad1(1000220),220,01.06.26 11:46,Prod,A1000220.6838,Tisch 16,108,S1000220.10313,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000220.10314,SP1000220.14.10314,SY1000220.2026.10314,iPad1(1000220),220,01.06.26 11:46,Prod,A1000220.6838,Tisch 16,108,S1000220.10314,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000220.10315,SP1000220.14.10315,SY1000220.2026.10315,iPad1(1000220),220,01.06.26 13:38,Prod,A1000220.6839,Tisch 3,101,S1000220.10315,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000220.10316,SP1000220.14.10316,SY1000220.2026.10316,iPad1(1000220),220,01.06.26 13:38,Prod,A1000220.6839,Tisch 3,101,S1000220.10316,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
