Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000176.79990,SP1000176.22.79990,SY1000176.2026.79990,iPad1(1000176),176,01.06.26 12:52,Prod,A1000176.6967,Tisch 4,112,S1000176.79990,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000176.79991,SP1000176.22.79991,SY1000176.2026.79991,iPad1(1000176),176,01.06.26 18:26,Prod,A1000176.6968,Tisch 18,118,S1000176.79991,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000176.79992,SP1000176.22.79992,SY1000176.2026.79992,iPad1(1000176),176,01.06.26 18:26,Prod,A1000176.6968,Tisch 18,118,S1000176.79992,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000176.79993,SP1000176.22.79993,SY1000176.2026.79993,iPad1(1000176),176,01.06.26 18:36,Prod,A1000176.6969,Tisch 24,103,S1000176.79993,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000176.79994,SP1000176.22.79994,SY1000176.2026.79994,iPad1(1000176),176,01.06.26 19:34,Prod,A1000176.6970,Tisch 15,112,S1000176.79994,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000176.79995,SP1000176.22.79995,SY1000176.2026.79995,iPad1(1000176),176,01.06.26 19:34,Prod,A1000176.6970,Tisch 15,112,S1000176.79995,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000176.79996,SP1000176.22.79996,SY1000176.2026.79996,iPad1(1000176),176,01.06.26 19:34,Prod,A1000176.6970,Tisch 15,112,S1000176.79996,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000176.79997,SP1000176.22.79997,SY1000176.2026.79997,iPad1(1000176),176,01.06.26 14:57,Prod,A1000176.6971,Tisch 22,109,S1000176.79997,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000176.79998,SP1000176.22.79998,SY1000176.2026.79998,iPad1(1000176),176,01.06.26 18:36,Prod,A1000176.6972,Tisch 22,120,S1000176.79998,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000176.79999,SP1000176.22.79999,SY1000176.2026.79999,iPad1(1000176),176,01.06.26 16:20,Prod,A1000176.6973,Tisch 4,109,S1000176.79999,VOID,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000176.80000,SP1000176.22.80000,SY1000176.2026.80000,iPad1(1000176),176,01.06.26 08:56,Prod,A1000176.6974,Tisch 13,112,S1000176.80000,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000176.80001,SP1000176.22.80001,SY1000176.2026.80001,iPad1(1000176),176,01.06.26 08:56,Prod,A1000176.6974,Tisch 13,112,S1000176.80001,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000176.80002,SP1000176.22.80002,SY1000176.2026.80002,iPad1(1000176),176,01.06.26 08:56,Prod,A1000176.6974,Tisch 13,112,S1000176.80002,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000176.80003,SP1000176.22.80003,SY1000176.2026.80003,iPad1(1000176),176,01.06.26 12:02,Prod,A1000176.6975,Tisch 15,118,S1000176.80003,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000176.80004,SP1000176.22.80004,SY1000176.2026.80004,iPad1(1000176),176,01.06.26 12:02,Prod,A1000176.6975,Tisch 15,118,S1000176.80004,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000176.80005,SP1000176.22.80005,SY1000176.2026.80005,iPad1(1000176),176,01.06.26 10:03,Prod,A1000176.6976,Tisch 20,111,S1000176.80005,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000176.80006,SP1000176.22.80006,SY1000176.2026.80006,iPad1(1000176),176,01.06.26 10:03,Prod,A1000176.6976,Tisch 20,111,S1000176.80006,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000176.80007,SP1000176.22.80007,SY1000176.2026.80007,iPad1(1000176),176,01.06.26 14:58,Prod,A1000176.6977,Tisch 2,120,S1000176.80007,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000176.80008,SP1000176.22.80008,SY1000176.2026.80008,iPad1(1000176),176,01.06.26 14:58,Prod,A1000176.6977,Tisch 2,120,S1000176.80008,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
