Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000228.13547,SP1000228.37.13547,SY1000228.2026.13547,iPad1(1000228),228,01.06.26 18:17,Prod,A1000228.6033,Tisch 16,117,S1000228.13547,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000228.13548,SP1000228.37.13548,SY1000228.2026.13548,iPad1(1000228),228,01.06.26 18:17,Prod,A1000228.6033,Tisch 16,117,S1000228.13548,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000228.13549,SP1000228.37.13549,SY1000228.2026.13549,iPad1(1000228),228,01.06.26 18:17,Prod,A1000228.6033,Tisch 16,117,S1000228.13549,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000228.13550,SP1000228.37.13550,SY1000228.2026.13550,iPad1(1000228),228,01.06.26 08:53,Prod,A1000228.6034,Tisch 3,119,S1000228.13550,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000228.13551,SP1000228.37.13551,SY1000228.2026.13551,iPad1(1000228),228,01.06.26 20:01,Prod,A1000228.6035,Tisch 15,117,S1000228.13551,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000228.13552,SP1000228.37.13552,SY1000228.2026.13552,iPad1(1000228),228,01.06.26 17:12,Prod,A1000228.6036,Tisch 8,107,S1000228.13552,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000228.13553,SP1000228.37.13553,SY1000228.2026.13553,iPad1(1000228),228,01.06.26 17:12,Prod,A1000228.6036,Tisch 8,107,S1000228.13553,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000228.13554,SP1000228.37.13554,SY1000228.2026.13554,iPad1(1000228),228,01.06.26 17:12,Prod,A1000228.6036,Tisch 8,107,S1000228.13554,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000228.13555,SP1000228.37.13555,SY1000228.2026.13555,iPad1(1000228),228,01.06.26 20:44,Prod,A1000228.6037,Tisch 6,119,S1000228.13555,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000228.13556,SP1000228.37.13556,SY1000228.2026.13556,iPad1(1000228),228,01.06.26 20:44,Prod,A1000228.6037,Tisch 6,119,S1000228.13556,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000228.13557,SP1000228.37.13557,SY1000228.2026.13557,iPad1(1000228),228,01.06.26 10:06,Prod,A1000228.6038,Tisch 1,117,S1000228.13557,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000228.13558,SP1000228.37.13558,SY1000228.2026.13558,iPad1(1000228),228,01.06.26 10:06,Prod,A1000228.6038,Tisch 1,117,S1000228.13558,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000228.13559,SP1000228.37.13559,SY1000228.2026.13559,iPad1(1000228),228,01.06.26 20:25,Prod,A1000228.6039,Tisch 17,117,S1000228.13559,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000228.13560,SP1000228.37.13560,SY1000228.2026.13560,iPad1(1000228),228,01.06.26 20:25,Prod,A1000228.6039,Tisch 17,117,S1000228.13560,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000228.13561,SP1000228.37.13561,SY1000228.2026.13561,iPad1(1000228),228,01.06.26 20:25,Prod,A1000228.6039,Tisch 17,117,S1000228.13561,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000228.13562,SP1000228.37.13562,SY1000228.2026.13562,iPad1(1000228),228,01.06.26 12:26,Prod,A1000228.6040,Tisch 16,110,S1000228.13562,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000228.13563,SP1000228.37.13563,SY1000228.2026.13563,iPad1(1000228),228,01.06.26 12:26,Prod,A1000228.6040,Tisch 16,110,S1000228.13563,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000228.13564,SP1000228.37.13564,SY1000228.2026.13564,iPad1(1000228),228,01.06.26 12:26,Prod,A1000228.6040,Tisch 16,110,S1000228.13564,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000228.13565,SP1000228.37.13565,SY1000228.2026.13565,iPad1(1000228),228,01.06.26 12:32,Prod,A1000228.6041,Tisch 19,117,S1000228.13565,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000228.13566,SP1000228.37.13566,SY1000228.2026.13566,iPad1(1000228),228,01.06.26 10:54,Prod,A1000228.6042,Tisch 23,119,S1000228.13566,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000228.13567,SP1000228.37.13567,SY1000228.2026.13567,iPad1(1000228),228,01.06.26 16:31,Prod,A1000228.6043,Tisch 8,107,S1000228.13567,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000228.13568,SP1000228.37.13568,SY1000228.2026.13568,iPad1(1000228),228,01.06.26 12:30,Prod,A1000228.6044,Tisch 7,110,S1000228.13568,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000228.13569,SP1000228.37.13569,SY1000228.2026.13569,iPad1(1000228),228,01.06.26 12:30,Prod,A1000228.6044,Tisch 7,110,S1000228.13569,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000228.13570,SP1000228.37.13570,SY1000228.2026.13570,iPad1(1000228),228,01.06.26 14:48,Prod,A1000228.6045,Tisch 19,117,S1000228.13570,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000228.13571,SP1000228.37.13571,SY1000228.2026.13571,iPad1(1000228),228,01.06.26 14:48,Prod,A1000228.6045,Tisch 19,117,S1000228.13571,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000228.13572,SP1000228.37.13572,SY1000228.2026.13572,iPad1(1000228),228,01.06.26 15:43,Prod,A1000228.6046,Tisch 18,103,S1000228.13572,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000228.13573,SP1000228.37.13573,SY1000228.2026.13573,iPad1(1000228),228,01.06.26 13:01,Prod,A1000228.6047,,117,S1000228.13573,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000228.13574,SP1000228.37.13574,SY1000228.2026.13574,iPad1(1000228),228,01.06.26 13:01,Prod,A1000228.6047,,117,S1000228.13574,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000228.13575,SP1000228.37.13575,SY1000228.2026.13575,iPad1(1000228),228,01.06.26 13:01,Prod,A1000228.6047,,117,S1000228.13575,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000228.13576,SP1000228.37.13576,SY1000228.2026.13576,iPad1(1000228),228,01.06.26 12:58,Prod,A1000228.6048,Tisch 19,117,S1000228.13576,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000228.13577,SP1000228.37.13577,SY1000228.2026.13577,iPad1(1000228),228,01.06.26 12:43,Prod,A1000228.6049,Tisch 19,103,S1000228.13577,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000228.13578,SP1000228.37.13578,SY1000228.2026.13578,iPad1(1000228),228,01.06.26 11:54,Prod,A1000228.6050,,110,S1000228.13578,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000228.13579,SP1000228.37.13579,SY1000228.2026.13579,iPad1(1000228),228,01.06.26 11:54,Prod,A1000228.6050,,110,S1000228.13579,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000228.13580,SP1000228.37.13580,SY1000228.2026.13580,iPad1(1000228),228,01.06.26 19:55,Prod,A1000228.6051,,119,S1000228.13580,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000228.13581,SP1000228.37.13581,SY1000228.2026.13581,iPad1(1000228),228,01.06.26 19:55,Prod,A1000228.6051,,119,S1000228.13581,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000228.13582,SP1000228.37.13582,SY1000228.2026.13582,iPad1(1000228),228,01.06.26 19:55,Prod,A1000228.6051,,119,S1000228.13582,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000228.13583,SP1000228.37.13583,SY1000228.2026.13583,iPad1(1000228),228,01.06.26 13:50,Prod,A1000228.6052,Tisch 4,103,S1000228.13583,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000228.13584,SP1000228.37.13584,SY1000228.2026.13584,iPad1(1000228),228,01.06.26 18:51,Prod,A1000228.6053,Tisch 8,117,S1000228.13584,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000228.13585,SP1000228.37.13585,SY1000228.2026.13585,iPad1(1000228),228,01.06.26 18:51,Prod,A1000228.6053,Tisch 8,117,S1000228.13585,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000228.13586,SP1000228.37.13586,SY1000228.2026.13586,iPad1(1000228),228,01.06.26 11:47,Prod,A1000228.6054,Tisch 1,107,S1000228.13586,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000228.13587,SP1000228.37.13587,SY1000228.2026.13587,iPad1(1000228),228,01.06.26 11:47,Prod,A1000228.6054,Tisch 1,107,S1000228.13587,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000228.13588,SP1000228.37.13588,SY1000228.2026.13588,iPad1(1000228),228,01.06.26 17:15,Prod,A1000228.6055,Tisch 12,110,S1000228.13588,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000228.13589,SP1000228.37.13589,SY1000228.2026.13589,iPad1(1000228),228,01.06.26 17:15,Prod,A1000228.6055,Tisch 12,110,S1000228.13589,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000228.13590,SP1000228.37.13590,SY1000228.2026.13590,iPad1(1000228),228,01.06.26 17:15,Prod,A1000228.6055,Tisch 12,110,S1000228.13590,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000228.13591,SP1000228.37.13591,SY1000228.2026.13591,iPad1(1000228),228,01.06.26 10:51,Prod,A1000228.6056,Tisch 7,119,S1000228.13591,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000228.13592,SP1000228.37.13592,SY1000228.2026.13592,iPad1(1000228),228,01.06.26 11:48,Prod,A1000228.6057,Tisch 2,103,S1000228.13592,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000228.13593,SP1000228.37.13593,SY1000228.2026.13593,iPad1(1000228),228,01.06.26 11:48,Prod,A1000228.6057,Tisch 2,103,S1000228.13593,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000228.13594,SP1000228.37.13594,SY1000228.2026.13594,iPad1(1000228),228,01.06.26 13:41,Prod,A1000228.6058,Tisch 1,107,S1000228.13594,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000228.13595,SP1000228.37.13595,SY1000228.2026.13595,iPad1(1000228),228,01.06.26 13:41,Prod,A1000228.6058,Tisch 1,107,S1000228.13595,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000228.13596,SP1000228.37.13596,SY1000228.2026.13596,iPad1(1000228),228,01.06.26 13:41,Prod,A1000228.6058,Tisch 1,107,S1000228.13596,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000228.13597,SP1000228.37.13597,SY1000228.2026.13597,iPad1(1000228),228,01.06.26 19:31,Prod,A1000228.6059,Tisch 22,112,S1000228.13597,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000228.13598,SP1000228.37.13598,SY1000228.2026.13598,iPad1(1000228),228,01.06.26 19:31,Prod,A1000228.6059,Tisch 22,112,S1000228.13598,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000228.13599,SP1000228.37.13599,SY1000228.2026.13599,iPad1(1000228),228,01.06.26 17:46,Prod,A1000228.6060,Tisch 3,110,S1000228.13599,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000228.13600,SP1000228.37.13600,SY1000228.2026.13600,iPad1(1000228),228,01.06.26 17:46,Prod,A1000228.6060,Tisch 3,110,S1000228.13600,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000228.13601,SP1000228.37.13601,SY1000228.2026.13601,iPad1(1000228),228,01.06.26 17:54,Prod,A1000228.6061,,107,S1000228.13601,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000228.13602,SP1000228.37.13602,SY1000228.2026.13602,iPad1(1000228),228,01.06.26 17:54,Prod,A1000228.6061,,107,S1000228.13602,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000228.13603,SP1000228.37.13603,SY1000228.2026.13603,iPad1(1000228),228,01.06.26 12:38,Prod,A1000228.6062,Tisch 7,103,S1000228.13603,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000228.13604,SP1000228.37.13604,SY1000228.2026.13604,iPad1(1000228),228,01.06.26 12:38,Prod,A1000228.6062,Tisch 7,103,S1000228.13604,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000228.13605,SP1000228.37.13605,SY1000228.2026.13605,iPad1(1000228),228,01.06.26 12:38,Prod,A1000228.6062,Tisch 7,103,S1000228.13605,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000228.13606,SP1000228.37.13606,SY1000228.2026.13606,iPad1(1000228),228,01.06.26 20:16,Prod,A1000228.6063,Tisch 3,103,S1000228.13606,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000228.13607,SP1000228.37.13607,SY1000228.2026.13607,iPad1(1000228),228,01.06.26 10:22,Prod,A1000228.6064,Tisch 24,107,S1000228.13607,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000228.13608,SP1000228.37.13608,SY1000228.2026.13608,iPad1(1000228),228,01.06.26 10:22,Prod,A1000228.6064,Tisch 24,107,S1000228.13608,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000228.13609,SP1000228.37.13609,SY1000228.2026.13609,iPad1(1000228),228,01.06.26 10:22,Prod,A1000228.6064,Tisch 24,107,S1000228.13609,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000228.13610,SP1000228.37.13610,SY1000228.2026.13610,iPad1(1000228),228,01.06.26 11:03,Prod,A1000228.6065,Tisch 16,103,S1000228.13610,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000228.13611,SP1000228.37.13611,SY1000228.2026.13611,iPad1(1000228),228,01.06.26 11:03,Prod,A1000228.6065,Tisch 16,103,S1000228.13611,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000228.13612,SP1000228.37.13612,SY1000228.2026.13612,iPad1(1000228),228,01.06.26 11:03,Prod,A1000228.6065,Tisch 16,103,S1000228.13612,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000228.13613,SP1000228.37.13613,SY1000228.2026.13613,iPad1(1000228),228,01.06.26 19:38,Prod,A1000228.6066,Tisch 17,103,S1000228.13613,VOID,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
