Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000238.14500,SP1000238.43.14500,SY1000238.2026.14500,iPad1(1000238),238,01.06.26 19:49,Prod,A1000238.6433,Tisch 5,105,S1000238.14500,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000238.14501,SP1000238.43.14501,SY1000238.2026.14501,iPad1(1000238),238,01.06.26 18:12,Prod,A1000238.6434,Tisch 4,104,S1000238.14501,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000238.14502,SP1000238.43.14502,SY1000238.2026.14502,iPad1(1000238),238,01.06.26 18:12,Prod,A1000238.6434,Tisch 4,104,S1000238.14502,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000238.14503,SP1000238.43.14503,SY1000238.2026.14503,iPad1(1000238),238,01.06.26 18:12,Prod,A1000238.6434,Tisch 4,104,S1000238.14503,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000238.14504,SP1000238.43.14504,SY1000238.2026.14504,iPad1(1000238),238,01.06.26 17:47,Prod,A1000238.6435,Tisch 14,112,S1000238.14504,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000238.14505,SP1000238.43.14505,SY1000238.2026.14505,iPad1(1000238),238,01.06.26 16:58,Prod,A1000238.6436,,105,S1000238.14505,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000238.14506,SP1000238.43.14506,SY1000238.2026.14506,iPad1(1000238),238,01.06.26 16:58,Prod,A1000238.6436,,105,S1000238.14506,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000238.14507,SP1000238.43.14507,SY1000238.2026.14507,iPad1(1000238),238,01.06.26 19:20,Prod,A1000238.6437,Tisch 20,112,S1000238.14507,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000238.14508,SP1000238.43.14508,SY1000238.2026.14508,iPad1(1000238),238,01.06.26 19:20,Prod,A1000238.6437,Tisch 20,112,S1000238.14508,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000238.14509,SP1000238.43.14509,SY1000238.2026.14509,iPad1(1000238),238,01.06.26 17:12,Prod,A1000238.6438,Tisch 8,104,S1000238.14509,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
