Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000275.79399,SP1000275.51.79399,SY1000275.2026.79399,iPad1(1000275),275,01.06.26 12:43,Prod,A1000275.6828,Tisch 4,120,S1000275.79399,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000275.79400,SP1000275.51.79400,SY1000275.2026.79400,iPad1(1000275),275,01.06.26 13:16,Prod,A1000275.6829,Tisch 3,120,S1000275.79400,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000275.79401,SP1000275.51.79401,SY1000275.2026.79401,iPad1(1000275),275,01.06.26 13:16,Prod,A1000275.6829,Tisch 3,120,S1000275.79401,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000275.79402,SP1000275.51.79402,SY1000275.2026.79402,iPad1(1000275),275,01.06.26 19:13,Prod,A1000275.6830,Tisch 22,104,S1000275.79402,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000275.79403,SP1000275.51.79403,SY1000275.2026.79403,iPad1(1000275),275,01.06.26 14:11,Prod,A1000275.6831,Tisch 17,104,S1000275.79403,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000275.79404,SP1000275.51.79404,SY1000275.2026.79404,iPad1(1000275),275,01.06.26 10:22,Prod,A1000275.6832,Tisch 4,114,S1000275.79404,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000275.79405,SP1000275.51.79405,SY1000275.2026.79405,iPad1(1000275),275,01.06.26 10:22,Prod,A1000275.6832,Tisch 4,114,S1000275.79405,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000275.79406,SP1000275.51.79406,SY1000275.2026.79406,iPad1(1000275),275,01.06.26 10:22,Prod,A1000275.6832,Tisch 4,114,S1000275.79406,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000275.79407,SP1000275.51.79407,SY1000275.2026.79407,iPad1(1000275),275,01.06.26 19:05,Prod,A1000275.6833,Tisch 6,104,S1000275.79407,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000275.79408,SP1000275.51.79408,SY1000275.2026.79408,iPad1(1000275),275,01.06.26 19:05,Prod,A1000275.6833,Tisch 6,104,S1000275.79408,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000275.79409,SP1000275.51.79409,SY1000275.2026.79409,iPad1(1000275),275,01.06.26 19:05,Prod,A1000275.6833,Tisch 6,104,S1000275.79409,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000275.79410,SP1000275.51.79410,SY1000275.2026.79410,iPad1(1000275),275,01.06.26 15:52,Prod,A1000275.6834,Tisch 10,120,S1000275.79410,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000275.79411,SP1000275.51.79411,SY1000275.2026.79411,iPad1(1000275),275,01.06.26 15:52,Prod,A1000275.6834,Tisch 10,120,S1000275.79411,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000275.79412,SP1000275.51.79412,SY1000275.2026.79412,iPad1(1000275),275,01.06.26 18:32,Prod,A1000275.6835,Tisch 9,104,S1000275.79412,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000275.79413,SP1000275.51.79413,SY1000275.2026.79413,iPad1(1000275),275,01.06.26 18:53,Prod,A1000275.6836,Tisch 23,118,S1000275.79413,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000275.79414,SP1000275.51.79414,SY1000275.2026.79414,iPad1(1000275),275,01.06.26 18:53,Prod,A1000275.6836,Tisch 23,118,S1000275.79414,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000275.79415,SP1000275.51.79415,SY1000275.2026.79415,iPad1(1000275),275,01.06.26 14:02,Prod,A1000275.6837,Tisch 11,120,S1000275.79415,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000275.79416,SP1000275.51.79416,SY1000275.2026.79416,iPad1(1000275),275,01.06.26 14:02,Prod,A1000275.6837,Tisch 11,120,S1000275.79416,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000275.79417,SP1000275.51.79417,SY1000275.2026.79417,iPad1(1000275),275,01.06.26 16:02,Prod,A1000275.6838,,104,S1000275.79417,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
