Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000168.41028,SP1000168.29.41028,SY1000168.2026.41028,iPad1(1000168),168,01.06.26 12:06,Prod,A1000168.6148,Tisch 13,119,S1000168.41028,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000168.41029,SP1000168.29.41029,SY1000168.2026.41029,iPad1(1000168),168,01.06.26 12:06,Prod,A1000168.6148,Tisch 13,119,S1000168.41029,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000168.41030,SP1000168.29.41030,SY1000168.2026.41030,iPad1(1000168),168,01.06.26 12:06,Prod,A1000168.6148,Tisch 13,119,S1000168.41030,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000168.41031,SP1000168.29.41031,SY1000168.2026.41031,iPad1(1000168),168,01.06.26 11:04,Prod,A1000168.6149,Tisch 16,119,S1000168.41031,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000168.41032,SP1000168.29.41032,SY1000168.2026.41032,iPad1(1000168),168,01.06.26 11:04,Prod,A1000168.6149,Tisch 16,119,S1000168.41032,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000168.41033,SP1000168.29.41033,SY1000168.2026.41033,iPad1(1000168),168,01.06.26 19:21,Prod,A1000168.6150,Tisch 2,108,S1000168.41033,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000168.41034,SP1000168.29.41034,SY1000168.2026.41034,iPad1(1000168),168,01.06.26 19:21,Prod,A1000168.6150,Tisch 2,108,S1000168.41034,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000168.41035,SP1000168.29.41035,SY1000168.2026.41035,iPad1(1000168),168,01.06.26 19:21,Prod,A1000168.6150,Tisch 2,108,S1000168.41035,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000168.41036,SP1000168.29.41036,SY1000168.2026.41036,iPad1(1000168),168,01.06.26 12:27,Prod,A1000168.6151,Tisch 5,114,S1000168.41036,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000168.41037,SP1000168.29.41037,SY1000168.2026.41037,iPad1(1000168),168,01.06.26 12:07,Prod,A1000168.6152,Tisch 20,119,S1000168.41037,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000168.41038,SP1000168.29.41038,SY1000168.2026.41038,iPad1(1000168),168,01.06.26 14:31,Prod,A1000168.6153,,114,S1000168.41038,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000168.41039,SP1000168.29.41039,SY1000168.2026.41039,iPad1(1000168),168,01.06.26 14:31,Prod,A1000168.6153,,114,S1000168.41039,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000168.41040,SP1000168.29.41040,SY1000168.2026.41040,iPad1(1000168),168,01.06.26 18:29,Prod,A1000168.6154,Tisch 13,114,S1000168.41040,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
