Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000303.58037,SP1000303.3.58037,SY1000303.2026.58037,iPad1(1000303),303,01.06.26 17:22,Prod,A1000303.6828,Tisch 22,108,S1000303.58037,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000303.58038,SP1000303.3.58038,SY1000303.2026.58038,iPad1(1000303),303,01.06.26 11:08,Prod,A1000303.6829,Tisch 5,120,S1000303.58038,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000303.58039,SP1000303.3.58039,SY1000303.2026.58039,iPad1(1000303),303,01.06.26 20:16,Prod,A1000303.6830,Tisch 2,108,S1000303.58039,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000303.58040,SP1000303.3.58040,SY1000303.2026.58040,iPad1(1000303),303,01.06.26 20:16,Prod,A1000303.6830,Tisch 2,108,S1000303.58040,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000303.58041,SP1000303.3.58041,SY1000303.2026.58041,iPad1(1000303),303,01.06.26 20:16,Prod,A1000303.6830,Tisch 2,108,S1000303.58041,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000303.58042,SP1000303.3.58042,SY1000303.2026.58042,iPad1(1000303),303,01.06.26 14:47,Prod,A1000303.6831,Tisch 15,108,S1000303.58042,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000303.58043,SP1000303.3.58043,SY1000303.2026.58043,iPad1(1000303),303,01.06.26 14:47,Prod,A1000303.6831,Tisch 15,108,S1000303.58043,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000303.58044,SP1000303.3.58044,SY1000303.2026.58044,iPad1(1000303),303,01.06.26 19:58,Prod,A1000303.6832,Tisch 1,120,S1000303.58044,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000303.58045,SP1000303.3.58045,SY1000303.2026.58045,iPad1(1000303),303,01.06.26 18:31,Prod,A1000303.6833,Tisch 6,118,S1000303.58045,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000303.58046,SP1000303.3.58046,SY1000303.2026.58046,iPad1(1000303),303,01.06.26 17:07,Prod,A1000303.6834,Tisch 5,110,S1000303.58046,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000303.58047,SP1000303.3.58047,SY1000303.2026.58047,iPad1(1000303),303,01.06.26 17:07,Prod,A1000303.6834,Tisch 5,110,S1000303.58047,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000303.58048,SP1000303.3.58048,SY1000303.2026.58048,iPad1(1000303),303,01.06.26 17:07,Prod,A1000303.6834,Tisch 5,110,S1000303.58048,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000303.58049,SP1000303.3.58049,SY1000303.2026.58049,iPad1(1000303),303,01.06.26 08:17,Prod,A1000303.6835,Tisch 9,108,S1000303.58049,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000303.58050,SP1000303.3.58050,SY1000303.2026.58050,iPad1(1000303),303,01.06.26 13:20,Prod,A1000303.6836,Tisch 10,108,S1000303.58050,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000303.58051,SP1000303.3.58051,SY1000303.2026.58051,iPad1(1000303),303,01.06.26 13:18,Prod,A1000303.6837,Tisch 9,108,S1000303.58051,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000303.58052,SP1000303.3.58052,SY1000303.2026.58052,iPad1(1000303),303,01.06.26 13:18,Prod,A1000303.6837,Tisch 9,108,S1000303.58052,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000303.58053,SP1000303.3.58053,SY1000303.2026.58053,iPad1(1000303),303,01.06.26 13:18,Prod,A1000303.6837,Tisch 9,108,S1000303.58053,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000303.58054,SP1000303.3.58054,SY1000303.2026.58054,iPad1(1000303),303,01.06.26 11:20,Prod,A1000303.6838,Tisch 20,117,S1000303.58054,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000303.58055,SP1000303.3.58055,SY1000303.2026.58055,iPad1(1000303),303,01.06.26 11:20,Prod,A1000303.6838,Tisch 20,117,S1000303.58055,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000303.58056,SP1000303.3.58056,SY1000303.2026.58056,iPad1(1000303),303,01.06.26 11:20,Prod,A1000303.6838,Tisch 20,117,S1000303.58056,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000303.58057,SP1000303.3.58057,SY1000303.2026.58057,iPad1(1000303),303,01.06.26 10:36,Prod,A1000303.6839,Tisch 24,116,S1000303.58057,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000303.58058,SP1000303.3.58058,SY1000303.2026.58058,iPad1(1000303),303,01.06.26 10:36,Prod,A1000303.6839,Tisch 24,116,S1000303.58058,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000303.58059,SP1000303.3.58059,SY1000303.2026.58059,iPad1(1000303),303,01.06.26 10:36,Prod,A1000303.6839,Tisch 24,116,S1000303.58059,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000303.58060,SP1000303.3.58060,SY1000303.2026.58060,iPad1(1000303),303,01.06.26 18:11,Prod,A1000303.6840,Tisch 8,116,S1000303.58060,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000303.58061,SP1000303.3.58061,SY1000303.2026.58061,iPad1(1000303),303,01.06.26 18:11,Prod,A1000303.6840,Tisch 8,116,S1000303.58061,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000303.58062,SP1000303.3.58062,SY1000303.2026.58062,iPad1(1000303),303,01.06.26 19:40,Prod,A1000303.6841,Tisch 15,108,S1000303.58062,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000303.58063,SP1000303.3.58063,SY1000303.2026.58063,iPad1(1000303),303,01.06.26 19:40,Prod,A1000303.6841,Tisch 15,108,S1000303.58063,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000303.58064,SP1000303.3.58064,SY1000303.2026.58064,iPad1(1000303),303,01.06.26 19:40,Prod,A1000303.6841,Tisch 15,108,S1000303.58064,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000303.58065,SP1000303.3.58065,SY1000303.2026.58065,iPad1(1000303),303,01.06.26 12:17,Prod,A1000303.6842,Tisch 7,108,S1000303.58065,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000303.58066,SP1000303.3.58066,SY1000303.2026.58066,iPad1(1000303),303,01.06.26 10:07,Prod,A1000303.6843,Tisch 20,108,S1000303.58066,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000303.58067,SP1000303.3.58067,SY1000303.2026.58067,iPad1(1000303),303,01.06.26 10:07,Prod,A1000303.6843,Tisch 20,108,S1000303.58067,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000303.58068,SP1000303.3.58068,SY1000303.2026.58068,iPad1(1000303),303,01.06.26 10:07,Prod,A1000303.6843,Tisch 20,108,S1000303.58068,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
