Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000397.76619,SP1000397.39.76619,SY1000397.2026.76619,iPad1(1000397),397,01.06.26 14:33,Prod,A1000397.6057,Tisch 21,110,S1000397.76619,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000397.76620,SP1000397.39.76620,SY1000397.2026.76620,iPad1(1000397),397,01.06.26 14:33,Prod,A1000397.6057,Tisch 21,110,S1000397.76620,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000397.76621,SP1000397.39.76621,SY1000397.2026.76621,iPad1(1000397),397,01.06.26 14:33,Prod,A1000397.6057,Tisch 21,110,S1000397.76621,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000397.76622,SP1000397.39.76622,SY1000397.2026.76622,iPad1(1000397),397,01.06.26 13:49,Prod,A1000397.6058,Tisch 7,117,S1000397.76622,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000397.76623,SP1000397.39.76623,SY1000397.2026.76623,iPad1(1000397),397,01.06.26 13:49,Prod,A1000397.6058,Tisch 7,117,S1000397.76623,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000397.76624,SP1000397.39.76624,SY1000397.2026.76624,iPad1(1000397),397,01.06.26 16:50,Prod,A1000397.6059,Tisch 21,110,S1000397.76624,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000397.76625,SP1000397.39.76625,SY1000397.2026.76625,iPad1(1000397),397,01.06.26 16:50,Prod,A1000397.6059,Tisch 21,110,S1000397.76625,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000397.76626,SP1000397.39.76626,SY1000397.2026.76626,iPad1(1000397),397,01.06.26 12:01,Prod,A1000397.6060,Tisch 9,103,S1000397.76626,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000397.76627,SP1000397.39.76627,SY1000397.2026.76627,iPad1(1000397),397,01.06.26 17:02,Prod,A1000397.6061,Tisch 23,110,S1000397.76627,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000397.76628,SP1000397.39.76628,SY1000397.2026.76628,iPad1(1000397),397,01.06.26 17:02,Prod,A1000397.6061,Tisch 23,110,S1000397.76628,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000397.76629,SP1000397.39.76629,SY1000397.2026.76629,iPad1(1000397),397,01.06.26 17:02,Prod,A1000397.6061,Tisch 23,110,S1000397.76629,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000397.76630,SP1000397.39.76630,SY1000397.2026.76630,iPad1(1000397),397,01.06.26 13:15,Prod,A1000397.6062,Tisch 11,110,S1000397.76630,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
