Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000108.20118,SP1000108.15.20118,SY1000108.2026.20118,iPad1(1000108),108,01.06.26 18:51,Prod,A1000108.6322,Tisch 15,108,S1000108.20118,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000108.20119,SP1000108.15.20119,SY1000108.2026.20119,iPad1(1000108),108,01.06.26 18:51,Prod,A1000108.6322,Tisch 15,108,S1000108.20119,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000108.20120,SP1000108.15.20120,SY1000108.2026.20120,iPad1(1000108),108,01.06.26 13:07,Prod,A1000108.6323,Tisch 1,115,S1000108.20120,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000108.20121,SP1000108.15.20121,SY1000108.2026.20121,iPad1(1000108),108,01.06.26 13:07,Prod,A1000108.6323,Tisch 1,115,S1000108.20121,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000108.20122,SP1000108.15.20122,SY1000108.2026.20122,iPad1(1000108),108,01.06.26 13:07,Prod,A1000108.6323,Tisch 1,115,S1000108.20122,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000108.20123,SP1000108.15.20123,SY1000108.2026.20123,iPad1(1000108),108,01.06.26 13:58,Prod,A1000108.6324,Tisch 20,102,S1000108.20123,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000108.20124,SP1000108.15.20124,SY1000108.2026.20124,iPad1(1000108),108,01.06.26 13:58,Prod,A1000108.6324,Tisch 20,102,S1000108.20124,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000108.20125,SP1000108.15.20125,SY1000108.2026.20125,iPad1(1000108),108,01.06.26 18:58,Prod,A1000108.6325,Tisch 20,113,S1000108.20125,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000108.20126,SP1000108.15.20126,SY1000108.2026.20126,iPad1(1000108),108,01.06.26 18:58,Prod,A1000108.6325,Tisch 20,113,S1000108.20126,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000108.20127,SP1000108.15.20127,SY1000108.2026.20127,iPad1(1000108),108,01.06.26 18:36,Prod,A1000108.6326,,108,S1000108.20127,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
