Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000012.67333,SP1000012.45.67333,SY1000012.2026.67333,iPad1(1000012),12,01.06.26 19:12,Prod,A1000012.6954,Tisch 13,103,S1000012.67333,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000012.67334,SP1000012.45.67334,SY1000012.2026.67334,iPad1(1000012),12,01.06.26 19:12,Prod,A1000012.6954,Tisch 13,103,S1000012.67334,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000012.67335,SP1000012.45.67335,SY1000012.2026.67335,iPad1(1000012),12,01.06.26 19:12,Prod,A1000012.6954,Tisch 13,103,S1000012.67335,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000012.67336,SP1000012.45.67336,SY1000012.2026.67336,iPad1(1000012),12,01.06.26 18:24,Prod,A1000012.6955,Tisch 11,106,S1000012.67336,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000012.67337,SP1000012.45.67337,SY1000012.2026.67337,iPad1(1000012),12,01.06.26 11:20,Prod,A1000012.6956,Tisch 22,106,S1000012.67337,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000012.67338,SP1000012.45.67338,SY1000012.2026.67338,iPad1(1000012),12,01.06.26 13:38,Prod,A1000012.6957,Tisch 2,102,S1000012.67338,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000012.67339,SP1000012.45.67339,SY1000012.2026.67339,iPad1(1000012),12,01.06.26 08:58,Prod,A1000012.6958,,115,S1000012.67339,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000012.67340,SP1000012.45.67340,SY1000012.2026.67340,iPad1(1000012),12,01.06.26 17:53,Prod,A1000012.6959,Tisch 21,105,S1000012.67340,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000012.67341,SP1000012.45.67341,SY1000012.2026.67341,iPad1(1000012),12,01.06.26 18:17,Prod,A1000012.6960,Tisch 23,102,S1000012.67341,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000012.67342,SP1000012.45.67342,SY1000012.2026.67342,iPad1(1000012),12,01.06.26 18:17,Prod,A1000012.6960,Tisch 23,102,S1000012.67342,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000012.67343,SP1000012.45.67343,SY1000012.2026.67343,iPad1(1000012),12,01.06.26 18:17,Prod,A1000012.6960,Tisch 23,102,S1000012.67343,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000012.67344,SP1000012.45.67344,SY1000012.2026.67344,iPad1(1000012),12,01.06.26 18:45,Prod,A1000012.6961,Tisch 19,103,S1000012.67344,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000012.67345,SP1000012.45.67345,SY1000012.2026.67345,iPad1(1000012),12,01.06.26 18:45,Prod,A1000012.6961,Tisch 19,103,S1000012.67345,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
