Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000055.42861,SP1000055.26.42861,SY1000055.2026.42861,iPad1(1000055),55,01.06.26 17:28,Prod,A1000055.6996,Tisch 8,111,S1000055.42861,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000055.42862,SP1000055.26.42862,SY1000055.2026.42862,iPad1(1000055),55,01.06.26 17:28,Prod,A1000055.6996,Tisch 8,111,S1000055.42862,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000055.42863,SP1000055.26.42863,SY1000055.2026.42863,iPad1(1000055),55,01.06.26 17:28,Prod,A1000055.6996,Tisch 8,111,S1000055.42863,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000055.42864,SP1000055.26.42864,SY1000055.2026.42864,iPad1(1000055),55,01.06.26 19:10,Prod,A1000055.6997,Tisch 7,118,S1000055.42864,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000055.42865,SP1000055.26.42865,SY1000055.2026.42865,iPad1(1000055),55,01.06.26 19:10,Prod,A1000055.6997,Tisch 7,118,S1000055.42865,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000055.42866,SP1000055.26.42866,SY1000055.2026.42866,iPad1(1000055),55,01.06.26 18:27,Prod,A1000055.6998,Tisch 17,106,S1000055.42866,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000055.42867,SP1000055.26.42867,SY1000055.2026.42867,iPad1(1000055),55,01.06.26 18:27,Prod,A1000055.6998,Tisch 17,106,S1000055.42867,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000055.42868,SP1000055.26.42868,SY1000055.2026.42868,iPad1(1000055),55,01.06.26 12:50,Prod,A1000055.6999,Tisch 23,106,S1000055.42868,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000055.42869,SP1000055.26.42869,SY1000055.2026.42869,iPad1(1000055),55,01.06.26 12:50,Prod,A1000055.6999,Tisch 23,106,S1000055.42869,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000055.42870,SP1000055.26.42870,SY1000055.2026.42870,iPad1(1000055),55,01.06.26 12:50,Prod,A1000055.6999,Tisch 23,106,S1000055.42870,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
