Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000153.24193,SP1000153.37.24193,SY1000153.2026.24193,iPad1(1000153),153,01.06.26 15:45,Prod,A1000153.6256,Tisch 11,101,S1000153.24193,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000153.24194,SP1000153.37.24194,SY1000153.2026.24194,iPad1(1000153),153,01.06.26 17:09,Prod,A1000153.6257,Tisch 21,105,S1000153.24194,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000153.24195,SP1000153.37.24195,SY1000153.2026.24195,iPad1(1000153),153,01.06.26 17:09,Prod,A1000153.6257,Tisch 21,105,S1000153.24195,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000153.24196,SP1000153.37.24196,SY1000153.2026.24196,iPad1(1000153),153,01.06.26 17:09,Prod,A1000153.6257,Tisch 21,105,S1000153.24196,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000153.24197,SP1000153.37.24197,SY1000153.2026.24197,iPad1(1000153),153,01.06.26 13:23,Prod,A1000153.6258,Tisch 21,101,S1000153.24197,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000153.24198,SP1000153.37.24198,SY1000153.2026.24198,iPad1(1000153),153,01.06.26 13:23,Prod,A1000153.6258,Tisch 21,101,S1000153.24198,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000153.24199,SP1000153.37.24199,SY1000153.2026.24199,iPad1(1000153),153,01.06.26 11:12,Prod,A1000153.6259,Tisch 3,113,S1000153.24199,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000153.24200,SP1000153.37.24200,SY1000153.2026.24200,iPad1(1000153),153,01.06.26 11:12,Prod,A1000153.6259,Tisch 3,113,S1000153.24200,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000153.24201,SP1000153.37.24201,SY1000153.2026.24201,iPad1(1000153),153,01.06.26 20:26,Prod,A1000153.6260,Tisch 23,102,S1000153.24201,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000153.24202,SP1000153.37.24202,SY1000153.2026.24202,iPad1(1000153),153,01.06.26 13:12,Prod,A1000153.6261,Tisch 5,105,S1000153.24202,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000153.24203,SP1000153.37.24203,SY1000153.2026.24203,iPad1(1000153),153,01.06.26 13:12,Prod,A1000153.6261,Tisch 5,105,S1000153.24203,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000153.24204,SP1000153.37.24204,SY1000153.2026.24204,iPad1(1000153),153,01.06.26 14:08,Prod,A1000153.6262,Tisch 17,109,S1000153.24204,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000153.24205,SP1000153.37.24205,SY1000153.2026.24205,iPad1(1000153),153,01.06.26 14:08,Prod,A1000153.6262,Tisch 17,109,S1000153.24205,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000153.24206,SP1000153.37.24206,SY1000153.2026.24206,iPad1(1000153),153,01.06.26 14:08,Prod,A1000153.6262,Tisch 17,109,S1000153.24206,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000153.24207,SP1000153.37.24207,SY1000153.2026.24207,iPad1(1000153),153,01.06.26 14:41,Prod,A1000153.6263,Tisch 23,105,S1000153.24207,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000153.24208,SP1000153.37.24208,SY1000153.2026.24208,iPad1(1000153),153,01.06.26 12:24,Prod,A1000153.6264,Tisch 18,102,S1000153.24208,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000153.24209,SP1000153.37.24209,SY1000153.2026.24209,iPad1(1000153),153,01.06.26 12:24,Prod,A1000153.6264,Tisch 18,102,S1000153.24209,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000153.24210,SP1000153.37.24210,SY1000153.2026.24210,iPad1(1000153),153,01.06.26 12:24,Prod,A1000153.6264,Tisch 18,102,S1000153.24210,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000153.24211,SP1000153.37.24211,SY1000153.2026.24211,iPad1(1000153),153,01.06.26 13:17,Prod,A1000153.6265,Tisch 11,102,S1000153.24211,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000153.24212,SP1000153.37.24212,SY1000153.2026.24212,iPad1(1000153),153,01.06.26 13:17,Prod,A1000153.6265,Tisch 11,102,S1000153.24212,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000153.24213,SP1000153.37.24213,SY1000153.2026.24213,iPad1(1000153),153,01.06.26 19:48,Prod,A1000153.6266,Tisch 13,101,S1000153.24213,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000153.24214,SP1000153.37.24214,SY1000153.2026.24214,iPad1(1000153),153,01.06.26 19:48,Prod,A1000153.6266,Tisch 13,101,S1000153.24214,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000153.24215,SP1000153.37.24215,SY1000153.2026.24215,iPad1(1000153),153,01.06.26 11:25,Prod,A1000153.6267,Tisch 24,101,S1000153.24215,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000153.24216,SP1000153.37.24216,SY1000153.2026.24216,iPad1(1000153),153,01.06.26 11:25,Prod,A1000153.6268,Tisch 2,101,S1000153.24216,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
