Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000257.51193,SP1000257.1.51193,SY1000257.2026.51193,iPad1(1000257),257,01.06.26 08:58,Prod,A1000257.6645,Tisch 8,120,S1000257.51193,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000257.51194,SP1000257.1.51194,SY1000257.2026.51194,iPad1(1000257),257,01.06.26 08:58,Prod,A1000257.6645,Tisch 8,120,S1000257.51194,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000257.51195,SP1000257.1.51195,SY1000257.2026.51195,iPad1(1000257),257,01.06.26 08:58,Prod,A1000257.6645,Tisch 8,120,S1000257.51195,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000257.51196,SP1000257.1.51196,SY1000257.2026.51196,iPad1(1000257),257,01.06.26 18:33,Prod,A1000257.6646,Tisch 3,113,S1000257.51196,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000257.51197,SP1000257.1.51197,SY1000257.2026.51197,iPad1(1000257),257,01.06.26 17:37,Prod,A1000257.6647,Tisch 9,114,S1000257.51197,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000257.51198,SP1000257.1.51198,SY1000257.2026.51198,iPad1(1000257),257,01.06.26 17:37,Prod,A1000257.6647,Tisch 9,114,S1000257.51198,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000257.51199,SP1000257.1.51199,SY1000257.2026.51199,iPad1(1000257),257,01.06.26 17:37,Prod,A1000257.6647,Tisch 9,114,S1000257.51199,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000257.51200,SP1000257.1.51200,SY1000257.2026.51200,iPad1(1000257),257,01.06.26 17:36,Prod,A1000257.6648,Tisch 18,113,S1000257.51200,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000257.51201,SP1000257.1.51201,SY1000257.2026.51201,iPad1(1000257),257,01.06.26 17:36,Prod,A1000257.6648,Tisch 18,113,S1000257.51201,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000257.51202,SP1000257.1.51202,SY1000257.2026.51202,iPad1(1000257),257,01.06.26 09:14,Prod,A1000257.6649,Tisch 9,118,S1000257.51202,VOID,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
