Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000400.36167,SP1000400.10.36167,SY1000400.2026.36167,iPad1(1000400),400,01.06.26 19:17,Prod,A1000400.6972,Tisch 3,119,S1000400.36167,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000400.36168,SP1000400.10.36168,SY1000400.2026.36168,iPad1(1000400),400,01.06.26 19:17,Prod,A1000400.6972,Tisch 3,119,S1000400.36168,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000400.36169,SP1000400.10.36169,SY1000400.2026.36169,iPad1(1000400),400,01.06.26 19:17,Prod,A1000400.6972,Tisch 3,119,S1000400.36169,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000400.36170,SP1000400.10.36170,SY1000400.2026.36170,iPad1(1000400),400,01.06.26 14:04,Prod,A1000400.6973,Tisch 24,119,S1000400.36170,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000400.36171,SP1000400.10.36171,SY1000400.2026.36171,iPad1(1000400),400,01.06.26 14:04,Prod,A1000400.6973,Tisch 24,119,S1000400.36171,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000400.36172,SP1000400.10.36172,SY1000400.2026.36172,iPad1(1000400),400,01.06.26 14:04,Prod,A1000400.6973,Tisch 24,119,S1000400.36172,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000400.36173,SP1000400.10.36173,SY1000400.2026.36173,iPad1(1000400),400,01.06.26 17:26,Prod,A1000400.6974,Tisch 15,119,S1000400.36173,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000400.36174,SP1000400.10.36174,SY1000400.2026.36174,iPad1(1000400),400,01.06.26 17:26,Prod,A1000400.6974,Tisch 15,119,S1000400.36174,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000400.36175,SP1000400.10.36175,SY1000400.2026.36175,iPad1(1000400),400,01.06.26 11:34,Prod,A1000400.6975,Tisch 20,119,S1000400.36175,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000400.36176,SP1000400.10.36176,SY1000400.2026.36176,iPad1(1000400),400,01.06.26 11:34,Prod,A1000400.6975,Tisch 20,119,S1000400.36176,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
