Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000114.23375,SP1000114.11.23375,SY1000114.2026.23375,iPad1(1000114),114,01.06.26 18:20,Prod,A1000114.6332,Tisch 9,110,S1000114.23375,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000114.23376,SP1000114.11.23376,SY1000114.2026.23376,iPad1(1000114),114,01.06.26 18:20,Prod,A1000114.6332,Tisch 9,110,S1000114.23376,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000114.23377,SP1000114.11.23377,SY1000114.2026.23377,iPad1(1000114),114,01.06.26 18:20,Prod,A1000114.6332,Tisch 9,110,S1000114.23377,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000114.23378,SP1000114.11.23378,SY1000114.2026.23378,iPad1(1000114),114,01.06.26 19:25,Prod,A1000114.6333,,119,S1000114.23378,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000114.23379,SP1000114.11.23379,SY1000114.2026.23379,iPad1(1000114),114,01.06.26 19:25,Prod,A1000114.6333,,119,S1000114.23379,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000114.23380,SP1000114.11.23380,SY1000114.2026.23380,iPad1(1000114),114,01.06.26 19:32,Prod,A1000114.6334,Tisch 1,107,S1000114.23380,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000114.23381,SP1000114.11.23381,SY1000114.2026.23381,iPad1(1000114),114,01.06.26 19:32,Prod,A1000114.6334,Tisch 1,107,S1000114.23381,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000114.23382,SP1000114.11.23382,SY1000114.2026.23382,iPad1(1000114),114,01.06.26 19:32,Prod,A1000114.6334,Tisch 1,107,S1000114.23382,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000114.23383,SP1000114.11.23383,SY1000114.2026.23383,iPad1(1000114),114,01.06.26 18:22,Prod,A1000114.6335,,110,S1000114.23383,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000114.23384,SP1000114.11.23384,SY1000114.2026.23384,iPad1(1000114),114,01.06.26 20:05,Prod,A1000114.6336,Tisch 3,106,S1000114.23384,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000114.23385,SP1000114.11.23385,SY1000114.2026.23385,iPad1(1000114),114,01.06.26 20:05,Prod,A1000114.6336,Tisch 3,106,S1000114.23385,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000114.23386,SP1000114.11.23386,SY1000114.2026.23386,iPad1(1000114),114,01.06.26 14:34,Prod,A1000114.6337,Tisch 20,119,S1000114.23386,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000114.23387,SP1000114.11.23387,SY1000114.2026.23387,iPad1(1000114),114,01.06.26 11:06,Prod,A1000114.6338,Tisch 15,101,S1000114.23387,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000114.23388,SP1000114.11.23388,SY1000114.2026.23388,iPad1(1000114),114,01.06.26 11:06,Prod,A1000114.6338,Tisch 15,101,S1000114.23388,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000114.23389,SP1000114.11.23389,SY1000114.2026.23389,iPad1(1000114),114,01.06.26 12:43,Prod,A1000114.6339,Tisch 21,115,S1000114.23389,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000114.23390,SP1000114.11.23390,SY1000114.2026.23390,iPad1(1000114),114,01.06.26 20:20,Prod,A1000114.6340,Tisch 17,110,S1000114.23390,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000114.23391,SP1000114.11.23391,SY1000114.2026.23391,iPad1(1000114),114,01.06.26 11:31,Prod,A1000114.6341,Tisch 23,101,S1000114.23391,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000114.23392,SP1000114.11.23392,SY1000114.2026.23392,iPad1(1000114),114,01.06.26 11:31,Prod,A1000114.6341,Tisch 23,101,S1000114.23392,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000114.23393,SP1000114.11.23393,SY1000114.2026.23393,iPad1(1000114),114,01.06.26 11:31,Prod,A1000114.6341,Tisch 23,101,S1000114.23393,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000114.23394,SP1000114.11.23394,SY1000114.2026.23394,iPad1(1000114),114,01.06.26 08:05,Prod,A1000114.6342,Tisch 9,106,S1000114.23394,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000114.23395,SP1000114.11.23395,SY1000114.2026.23395,iPad1(1000114),114,01.06.26 08:05,Prod,A1000114.6342,Tisch 9,106,S1000114.23395,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000114.23396,SP1000114.11.23396,SY1000114.2026.23396,iPad1(1000114),114,01.06.26 08:05,Prod,A1000114.6342,Tisch 9,106,S1000114.23396,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000114.23397,SP1000114.11.23397,SY1000114.2026.23397,iPad1(1000114),114,01.06.26 17:57,Prod,A1000114.6343,,119,S1000114.23397,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000114.23398,SP1000114.11.23398,SY1000114.2026.23398,iPad1(1000114),114,01.06.26 19:06,Prod,A1000114.6344,Tisch 20,107,S1000114.23398,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000114.23399,SP1000114.11.23399,SY1000114.2026.23399,iPad1(1000114),114,01.06.26 15:28,Prod,A1000114.6345,Tisch 22,110,S1000114.23399,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000114.23400,SP1000114.11.23400,SY1000114.2026.23400,iPad1(1000114),114,01.06.26 15:28,Prod,A1000114.6345,Tisch 22,110,S1000114.23400,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000114.23401,SP1000114.11.23401,SY1000114.2026.23401,iPad1(1000114),114,01.06.26 15:28,Prod,A1000114.6345,Tisch 22,110,S1000114.23401,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000114.23402,SP1000114.11.23402,SY1000114.2026.23402,iPad1(1000114),114,01.06.26 10:42,Prod,A1000114.6346,Tisch 16,110,S1000114.23402,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000114.23403,SP1000114.11.23403,SY1000114.2026.23403,iPad1(1000114),114,01.06.26 10:42,Prod,A1000114.6346,Tisch 16,110,S1000114.23403,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000114.23404,SP1000114.11.23404,SY1000114.2026.23404,iPad1(1000114),114,01.06.26 12:36,Prod,A1000114.6347,,119,S1000114.23404,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000114.23405,SP1000114.11.23405,SY1000114.2026.23405,iPad1(1000114),114,01.06.26 12:36,Prod,A1000114.6347,,119,S1000114.23405,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000114.23406,SP1000114.11.23406,SY1000114.2026.23406,iPad1(1000114),114,01.06.26 12:36,Prod,A1000114.6347,,119,S1000114.23406,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000114.23407,SP1000114.11.23407,SY1000114.2026.23407,iPad1(1000114),114,01.06.26 16:10,Prod,A1000114.6348,Tisch 23,106,S1000114.23407,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
