Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000224.37459,SP1000224.34.37459,SY1000224.2026.37459,iPad1(1000224),224,01.06.26 13:25,Prod,A1000224.6772,Tisch 12,102,S1000224.37459,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000224.37460,SP1000224.34.37460,SY1000224.2026.37460,iPad1(1000224),224,01.06.26 13:25,Prod,A1000224.6772,Tisch 12,102,S1000224.37460,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000224.37461,SP1000224.34.37461,SY1000224.2026.37461,iPad1(1000224),224,01.06.26 13:25,Prod,A1000224.6772,Tisch 12,102,S1000224.37461,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000224.37462,SP1000224.34.37462,SY1000224.2026.37462,iPad1(1000224),224,01.06.26 17:57,Prod,A1000224.6773,Tisch 6,102,S1000224.37462,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000224.37463,SP1000224.34.37463,SY1000224.2026.37463,iPad1(1000224),224,01.06.26 17:57,Prod,A1000224.6773,Tisch 6,102,S1000224.37463,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000224.37464,SP1000224.34.37464,SY1000224.2026.37464,iPad1(1000224),224,01.06.26 17:57,Prod,A1000224.6773,Tisch 6,102,S1000224.37464,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000224.37465,SP1000224.34.37465,SY1000224.2026.37465,iPad1(1000224),224,01.06.26 18:34,Prod,A1000224.6774,Tisch 8,108,S1000224.37465,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000224.37466,SP1000224.34.37466,SY1000224.2026.37466,iPad1(1000224),224,01.06.26 18:34,Prod,A1000224.6774,Tisch 8,108,S1000224.37466,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000224.37467,SP1000224.34.37467,SY1000224.2026.37467,iPad1(1000224),224,01.06.26 19:02,Prod,A1000224.6775,Tisch 19,114,S1000224.37467,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000224.37468,SP1000224.34.37468,SY1000224.2026.37468,iPad1(1000224),224,01.06.26 19:14,Prod,A1000224.6776,,110,S1000224.37468,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000224.37469,SP1000224.34.37469,SY1000224.2026.37469,iPad1(1000224),224,01.06.26 19:14,Prod,A1000224.6776,,110,S1000224.37469,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000224.37470,SP1000224.34.37470,SY1000224.2026.37470,iPad1(1000224),224,01.06.26 10:09,Prod,A1000224.6777,,120,S1000224.37470,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000224.37471,SP1000224.34.37471,SY1000224.2026.37471,iPad1(1000224),224,01.06.26 10:09,Prod,A1000224.6777,,120,S1000224.37471,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000224.37472,SP1000224.34.37472,SY1000224.2026.37472,iPad1(1000224),224,01.06.26 10:09,Prod,A1000224.6777,,120,S1000224.37472,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
