Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000215.38527,SP1000215.42.38527,SY1000215.2026.38527,iPad1(1000215),215,01.06.26 17:49,Prod,A1000215.6590,Tisch 24,102,S1000215.38527,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000215.38528,SP1000215.42.38528,SY1000215.2026.38528,iPad1(1000215),215,01.06.26 10:05,Prod,A1000215.6591,Tisch 1,116,S1000215.38528,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000215.38529,SP1000215.42.38529,SY1000215.2026.38529,iPad1(1000215),215,01.06.26 10:05,Prod,A1000215.6591,Tisch 1,116,S1000215.38529,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000215.38530,SP1000215.42.38530,SY1000215.2026.38530,iPad1(1000215),215,01.06.26 10:05,Prod,A1000215.6591,Tisch 1,116,S1000215.38530,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000215.38531,SP1000215.42.38531,SY1000215.2026.38531,iPad1(1000215),215,01.06.26 13:47,Prod,A1000215.6592,Tisch 6,120,S1000215.38531,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000215.38532,SP1000215.42.38532,SY1000215.2026.38532,iPad1(1000215),215,01.06.26 13:47,Prod,A1000215.6592,Tisch 6,120,S1000215.38532,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000215.38533,SP1000215.42.38533,SY1000215.2026.38533,iPad1(1000215),215,01.06.26 13:47,Prod,A1000215.6592,Tisch 6,120,S1000215.38533,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000215.38534,SP1000215.42.38534,SY1000215.2026.38534,iPad1(1000215),215,01.06.26 11:18,Prod,A1000215.6593,Tisch 5,105,S1000215.38534,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000215.38535,SP1000215.42.38535,SY1000215.2026.38535,iPad1(1000215),215,01.06.26 11:01,Prod,A1000215.6594,,120,S1000215.38535,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000215.38536,SP1000215.42.38536,SY1000215.2026.38536,iPad1(1000215),215,01.06.26 19:33,Prod,A1000215.6595,Tisch 11,116,S1000215.38536,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
