Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000319.77936,SP1000319.25.77936,SY1000319.2026.77936,iPad1(1000319),319,01.06.26 19:40,Prod,A1000319.6384,Tisch 2,119,S1000319.77936,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000319.77937,SP1000319.25.77937,SY1000319.2026.77937,iPad1(1000319),319,01.06.26 19:40,Prod,A1000319.6384,Tisch 2,119,S1000319.77937,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000319.77938,SP1000319.25.77938,SY1000319.2026.77938,iPad1(1000319),319,01.06.26 19:40,Prod,A1000319.6384,Tisch 2,119,S1000319.77938,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000319.77939,SP1000319.25.77939,SY1000319.2026.77939,iPad1(1000319),319,01.06.26 09:55,Prod,A1000319.6385,Tisch 12,119,S1000319.77939,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000319.77940,SP1000319.25.77940,SY1000319.2026.77940,iPad1(1000319),319,01.06.26 08:00,Prod,A1000319.6386,Tisch 14,117,S1000319.77940,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000319.77941,SP1000319.25.77941,SY1000319.2026.77941,iPad1(1000319),319,01.06.26 11:49,Prod,A1000319.6387,Tisch 12,104,S1000319.77941,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000319.77942,SP1000319.25.77942,SY1000319.2026.77942,iPad1(1000319),319,01.06.26 11:49,Prod,A1000319.6387,Tisch 12,104,S1000319.77942,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000319.77943,SP1000319.25.77943,SY1000319.2026.77943,iPad1(1000319),319,01.06.26 11:14,Prod,A1000319.6388,Tisch 15,108,S1000319.77943,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000319.77944,SP1000319.25.77944,SY1000319.2026.77944,iPad1(1000319),319,01.06.26 11:24,Prod,A1000319.6389,Tisch 16,102,S1000319.77944,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000319.77945,SP1000319.25.77945,SY1000319.2026.77945,iPad1(1000319),319,01.06.26 11:24,Prod,A1000319.6389,Tisch 16,102,S1000319.77945,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000319.77946,SP1000319.25.77946,SY1000319.2026.77946,iPad1(1000319),319,01.06.26 11:45,Prod,A1000319.6390,Tisch 15,117,S1000319.77946,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
