Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000190.51125,SP1000190.14.51125,SY1000190.2026.51125,iPad1(1000190),190,01.06.26 13:24,Prod,A1000190.6975,Tisch 9,111,S1000190.51125,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000190.51126,SP1000190.14.51126,SY1000190.2026.51126,iPad1(1000190),190,01.06.26 20:54,Prod,A1000190.6976,Tisch 23,105,S1000190.51126,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000190.51127,SP1000190.14.51127,SY1000190.2026.51127,iPad1(1000190),190,01.06.26 10:44,Prod,A1000190.6977,Tisch 7,111,S1000190.51127,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000190.51128,SP1000190.14.51128,SY1000190.2026.51128,iPad1(1000190),190,01.06.26 10:44,Prod,A1000190.6977,Tisch 7,111,S1000190.51128,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000190.51129,SP1000190.14.51129,SY1000190.2026.51129,iPad1(1000190),190,01.06.26 12:18,Prod,A1000190.6978,Tisch 3,107,S1000190.51129,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000190.51130,SP1000190.14.51130,SY1000190.2026.51130,iPad1(1000190),190,01.06.26 11:10,Prod,A1000190.6979,,105,S1000190.51130,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000190.51131,SP1000190.14.51131,SY1000190.2026.51131,iPad1(1000190),190,01.06.26 11:10,Prod,A1000190.6979,,105,S1000190.51131,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000190.51132,SP1000190.14.51132,SY1000190.2026.51132,iPad1(1000190),190,01.06.26 11:10,Prod,A1000190.6979,,105,S1000190.51132,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000190.51133,SP1000190.14.51133,SY1000190.2026.51133,iPad1(1000190),190,01.06.26 13:49,Prod,A1000190.6980,Tisch 2,105,S1000190.51133,VOID,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000190.51134,SP1000190.14.51134,SY1000190.2026.51134,iPad1(1000190),190,01.06.26 20:50,Prod,A1000190.6981,Tisch 9,118,S1000190.51134,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
