Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000391.88685,SP1000391.14.88685,SY1000391.2026.88685,iPad1(1000391),391,01.06.26 09:47,Prod,A1000391.6138,Tisch 14,108,S1000391.88685,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000391.88686,SP1000391.14.88686,SY1000391.2026.88686,iPad1(1000391),391,01.06.26 09:47,Prod,A1000391.6138,Tisch 14,108,S1000391.88686,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000391.88687,SP1000391.14.88687,SY1000391.2026.88687,iPad1(1000391),391,01.06.26 13:30,Prod,A1000391.6139,Tisch 14,108,S1000391.88687,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000391.88688,SP1000391.14.88688,SY1000391.2026.88688,iPad1(1000391),391,01.06.26 13:30,Prod,A1000391.6139,Tisch 14,108,S1000391.88688,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000391.88689,SP1000391.14.88689,SY1000391.2026.88689,iPad1(1000391),391,01.06.26 13:30,Prod,A1000391.6139,Tisch 14,108,S1000391.88689,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000391.88690,SP1000391.14.88690,SY1000391.2026.88690,iPad1(1000391),391,01.06.26 16:01,Prod,A1000391.6140,Tisch 21,107,S1000391.88690,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000391.88691,SP1000391.14.88691,SY1000391.2026.88691,iPad1(1000391),391,01.06.26 16:01,Prod,A1000391.6140,Tisch 21,107,S1000391.88691,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000391.88692,SP1000391.14.88692,SY1000391.2026.88692,iPad1(1000391),391,01.06.26 16:01,Prod,A1000391.6140,Tisch 21,107,S1000391.88692,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000391.88693,SP1000391.14.88693,SY1000391.2026.88693,iPad1(1000391),391,01.06.26 10:00,Prod,A1000391.6141,Tisch 8,113,S1000391.88693,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000391.88694,SP1000391.14.88694,SY1000391.2026.88694,iPad1(1000391),391,01.06.26 10:00,Prod,A1000391.6141,Tisch 8,113,S1000391.88694,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000391.88695,SP1000391.14.88695,SY1000391.2026.88695,iPad1(1000391),391,01.06.26 19:05,Prod,A1000391.6142,,108,S1000391.88695,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000391.88696,SP1000391.14.88696,SY1000391.2026.88696,iPad1(1000391),391,01.06.26 19:28,Prod,A1000391.6143,Tisch 11,108,S1000391.88696,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000391.88697,SP1000391.14.88697,SY1000391.2026.88697,iPad1(1000391),391,01.06.26 19:28,Prod,A1000391.6143,Tisch 11,108,S1000391.88697,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000391.88698,SP1000391.14.88698,SY1000391.2026.88698,iPad1(1000391),391,01.06.26 19:28,Prod,A1000391.6143,Tisch 11,108,S1000391.88698,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000391.88699,SP1000391.14.88699,SY1000391.2026.88699,iPad1(1000391),391,01.06.26 17:30,Prod,A1000391.6144,Tisch 2,113,S1000391.88699,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000391.88700,SP1000391.14.88700,SY1000391.2026.88700,iPad1(1000391),391,01.06.26 17:30,Prod,A1000391.6144,Tisch 2,113,S1000391.88700,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000391.88701,SP1000391.14.88701,SY1000391.2026.88701,iPad1(1000391),391,01.06.26 13:31,Prod,A1000391.6145,,108,S1000391.88701,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000391.88702,SP1000391.14.88702,SY1000391.2026.88702,iPad1(1000391),391,01.06.26 10:11,Prod,A1000391.6146,,114,S1000391.88702,VOID,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000391.88703,SP1000391.14.88703,SY1000391.2026.88703,iPad1(1000391),391,01.06.26 10:11,Prod,A1000391.6146,,114,S1000391.88703,VOID,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000391.88704,SP1000391.14.88704,SY1000391.2026.88704,iPad1(1000391),391,01.06.26 10:11,Prod,A1000391.6146,,114,S1000391.88704,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000391.88705,SP1000391.14.88705,SY1000391.2026.88705,iPad1(1000391),391,01.06.26 19:04,Prod,A1000391.6147,Tisch 10,114,S1000391.88705,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000391.88706,SP1000391.14.88706,SY1000391.2026.88706,iPad1(1000391),391,01.06.26 19:04,Prod,A1000391.6147,Tisch 10,114,S1000391.88706,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000391.88707,SP1000391.14.88707,SY1000391.2026.88707,iPad1(1000391),391,01.06.26 20:21,Prod,A1000391.6148,Tisch 12,113,S1000391.88707,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
