Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000157.23905,SP1000157.34.23905,SY1000157.2026.23905,iPad1(1000157),157,01.06.26 16:28,Prod,A1000157.6061,Tisch 16,115,S1000157.23905,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000157.23906,SP1000157.34.23906,SY1000157.2026.23906,iPad1(1000157),157,01.06.26 16:28,Prod,A1000157.6061,Tisch 16,115,S1000157.23906,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000157.23907,SP1000157.34.23907,SY1000157.2026.23907,iPad1(1000157),157,01.06.26 19:05,Prod,A1000157.6062,Tisch 5,108,S1000157.23907,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000157.23908,SP1000157.34.23908,SY1000157.2026.23908,iPad1(1000157),157,01.06.26 19:05,Prod,A1000157.6062,Tisch 5,108,S1000157.23908,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000157.23909,SP1000157.34.23909,SY1000157.2026.23909,iPad1(1000157),157,01.06.26 19:05,Prod,A1000157.6062,Tisch 5,108,S1000157.23909,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000157.23910,SP1000157.34.23910,SY1000157.2026.23910,iPad1(1000157),157,01.06.26 11:58,Prod,A1000157.6063,Tisch 22,118,S1000157.23910,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000157.23911,SP1000157.34.23911,SY1000157.2026.23911,iPad1(1000157),157,01.06.26 11:58,Prod,A1000157.6063,Tisch 22,118,S1000157.23911,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000157.23912,SP1000157.34.23912,SY1000157.2026.23912,iPad1(1000157),157,01.06.26 11:58,Prod,A1000157.6063,Tisch 22,118,S1000157.23912,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000157.23913,SP1000157.34.23913,SY1000157.2026.23913,iPad1(1000157),157,01.06.26 12:07,Prod,A1000157.6064,Tisch 20,101,S1000157.23913,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000157.23914,SP1000157.34.23914,SY1000157.2026.23914,iPad1(1000157),157,01.06.26 12:07,Prod,A1000157.6064,Tisch 20,101,S1000157.23914,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
