Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000286.35488,SP1000286.6.35488,SY1000286.2026.35488,iPad1(1000286),286,01.06.26 12:46,Prod,A1000286.6584,Tisch 4,113,S1000286.35488,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000286.35489,SP1000286.6.35489,SY1000286.2026.35489,iPad1(1000286),286,01.06.26 13:12,Prod,A1000286.6585,Tisch 2,105,S1000286.35489,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000286.35490,SP1000286.6.35490,SY1000286.2026.35490,iPad1(1000286),286,01.06.26 08:24,Prod,A1000286.6586,Tisch 14,104,S1000286.35490,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000286.35491,SP1000286.6.35491,SY1000286.2026.35491,iPad1(1000286),286,01.06.26 10:33,Prod,A1000286.6587,Tisch 22,113,S1000286.35491,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000286.35492,SP1000286.6.35492,SY1000286.2026.35492,iPad1(1000286),286,01.06.26 10:33,Prod,A1000286.6587,Tisch 22,113,S1000286.35492,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000286.35493,SP1000286.6.35493,SY1000286.2026.35493,iPad1(1000286),286,01.06.26 08:26,Prod,A1000286.6588,Tisch 12,113,S1000286.35493,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000286.35494,SP1000286.6.35494,SY1000286.2026.35494,iPad1(1000286),286,01.06.26 18:48,Prod,A1000286.6589,Tisch 9,104,S1000286.35494,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000286.35495,SP1000286.6.35495,SY1000286.2026.35495,iPad1(1000286),286,01.06.26 18:48,Prod,A1000286.6589,Tisch 9,104,S1000286.35495,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000286.35496,SP1000286.6.35496,SY1000286.2026.35496,iPad1(1000286),286,01.06.26 18:48,Prod,A1000286.6589,Tisch 9,104,S1000286.35496,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000286.35497,SP1000286.6.35497,SY1000286.2026.35497,iPad1(1000286),286,01.06.26 19:38,Prod,A1000286.6590,Tisch 12,105,S1000286.35497,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000286.35498,SP1000286.6.35498,SY1000286.2026.35498,iPad1(1000286),286,01.06.26 19:38,Prod,A1000286.6590,Tisch 12,105,S1000286.35498,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000286.35499,SP1000286.6.35499,SY1000286.2026.35499,iPad1(1000286),286,01.06.26 19:38,Prod,A1000286.6590,Tisch 12,105,S1000286.35499,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000286.35500,SP1000286.6.35500,SY1000286.2026.35500,iPad1(1000286),286,01.06.26 17:52,Prod,A1000286.6591,Tisch 7,104,S1000286.35500,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000286.35501,SP1000286.6.35501,SY1000286.2026.35501,iPad1(1000286),286,01.06.26 17:52,Prod,A1000286.6591,Tisch 7,104,S1000286.35501,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000286.35502,SP1000286.6.35502,SY1000286.2026.35502,iPad1(1000286),286,01.06.26 13:06,Prod,A1000286.6592,Tisch 8,105,S1000286.35502,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000286.35503,SP1000286.6.35503,SY1000286.2026.35503,iPad1(1000286),286,01.06.26 13:06,Prod,A1000286.6592,Tisch 8,105,S1000286.35503,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000286.35504,SP1000286.6.35504,SY1000286.2026.35504,iPad1(1000286),286,01.06.26 17:49,Prod,A1000286.6593,Tisch 17,104,S1000286.35504,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000286.35505,SP1000286.6.35505,SY1000286.2026.35505,iPad1(1000286),286,01.06.26 17:49,Prod,A1000286.6593,Tisch 17,104,S1000286.35505,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000286.35506,SP1000286.6.35506,SY1000286.2026.35506,iPad1(1000286),286,01.06.26 17:49,Prod,A1000286.6593,Tisch 17,104,S1000286.35506,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000286.35507,SP1000286.6.35507,SY1000286.2026.35507,iPad1(1000286),286,01.06.26 17:07,Prod,A1000286.6594,Tisch 2,104,S1000286.35507,VOID,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000286.35508,SP1000286.6.35508,SY1000286.2026.35508,iPad1(1000286),286,01.06.26 17:07,Prod,A1000286.6594,Tisch 2,104,S1000286.35508,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000286.35509,SP1000286.6.35509,SY1000286.2026.35509,iPad1(1000286),286,01.06.26 17:07,Prod,A1000286.6594,Tisch 2,104,S1000286.35509,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000286.35510,SP1000286.6.35510,SY1000286.2026.35510,iPad1(1000286),286,01.06.26 08:20,Prod,A1000286.6595,Tisch 11,105,S1000286.35510,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
