Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000315.64040,SP1000315.1.64040,SY1000315.2026.64040,iPad1(1000315),315,01.06.26 11:13,Prod,A1000315.6549,Tisch 16,105,S1000315.64040,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000315.64041,SP1000315.1.64041,SY1000315.2026.64041,iPad1(1000315),315,01.06.26 14:47,Prod,A1000315.6550,Tisch 23,119,S1000315.64041,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000315.64042,SP1000315.1.64042,SY1000315.2026.64042,iPad1(1000315),315,01.06.26 14:47,Prod,A1000315.6550,Tisch 23,119,S1000315.64042,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000315.64043,SP1000315.1.64043,SY1000315.2026.64043,iPad1(1000315),315,01.06.26 12:58,Prod,A1000315.6551,Tisch 20,108,S1000315.64043,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000315.64044,SP1000315.1.64044,SY1000315.2026.64044,iPad1(1000315),315,01.06.26 12:58,Prod,A1000315.6551,Tisch 20,108,S1000315.64044,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000315.64045,SP1000315.1.64045,SY1000315.2026.64045,iPad1(1000315),315,01.06.26 12:58,Prod,A1000315.6551,Tisch 20,108,S1000315.64045,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000315.64046,SP1000315.1.64046,SY1000315.2026.64046,iPad1(1000315),315,01.06.26 11:26,Prod,A1000315.6552,,108,S1000315.64046,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000315.64047,SP1000315.1.64047,SY1000315.2026.64047,iPad1(1000315),315,01.06.26 16:01,Prod,A1000315.6553,Tisch 15,119,S1000315.64047,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000315.64048,SP1000315.1.64048,SY1000315.2026.64048,iPad1(1000315),315,01.06.26 16:01,Prod,A1000315.6553,Tisch 15,119,S1000315.64048,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000315.64049,SP1000315.1.64049,SY1000315.2026.64049,iPad1(1000315),315,01.06.26 16:01,Prod,A1000315.6553,Tisch 15,119,S1000315.64049,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000315.64050,SP1000315.1.64050,SY1000315.2026.64050,iPad1(1000315),315,01.06.26 19:09,Prod,A1000315.6554,Tisch 5,108,S1000315.64050,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000315.64051,SP1000315.1.64051,SY1000315.2026.64051,iPad1(1000315),315,01.06.26 12:05,Prod,A1000315.6555,Tisch 7,105,S1000315.64051,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000315.64052,SP1000315.1.64052,SY1000315.2026.64052,iPad1(1000315),315,01.06.26 12:05,Prod,A1000315.6555,Tisch 7,105,S1000315.64052,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000315.64053,SP1000315.1.64053,SY1000315.2026.64053,iPad1(1000315),315,01.06.26 19:49,Prod,A1000315.6556,Tisch 9,105,S1000315.64053,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000315.64054,SP1000315.1.64054,SY1000315.2026.64054,iPad1(1000315),315,01.06.26 19:49,Prod,A1000315.6556,Tisch 9,105,S1000315.64054,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000315.64055,SP1000315.1.64055,SY1000315.2026.64055,iPad1(1000315),315,01.06.26 19:49,Prod,A1000315.6556,Tisch 9,105,S1000315.64055,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000315.64056,SP1000315.1.64056,SY1000315.2026.64056,iPad1(1000315),315,01.06.26 19:20,Prod,A1000315.6557,Tisch 8,113,S1000315.64056,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000315.64057,SP1000315.1.64057,SY1000315.2026.64057,iPad1(1000315),315,01.06.26 18:15,Prod,A1000315.6558,Tisch 21,105,S1000315.64057,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000315.64058,SP1000315.1.64058,SY1000315.2026.64058,iPad1(1000315),315,01.06.26 18:15,Prod,A1000315.6558,Tisch 21,105,S1000315.64058,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000315.64059,SP1000315.1.64059,SY1000315.2026.64059,iPad1(1000315),315,01.06.26 08:21,Prod,A1000315.6559,Tisch 7,108,S1000315.64059,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000315.64060,SP1000315.1.64060,SY1000315.2026.64060,iPad1(1000315),315,01.06.26 08:21,Prod,A1000315.6559,Tisch 7,108,S1000315.64060,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000315.64061,SP1000315.1.64061,SY1000315.2026.64061,iPad1(1000315),315,01.06.26 13:55,Prod,A1000315.6560,Tisch 9,119,S1000315.64061,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000315.64062,SP1000315.1.64062,SY1000315.2026.64062,iPad1(1000315),315,01.06.26 16:05,Prod,A1000315.6561,Tisch 3,111,S1000315.64062,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000315.64063,SP1000315.1.64063,SY1000315.2026.64063,iPad1(1000315),315,01.06.26 16:05,Prod,A1000315.6561,Tisch 3,111,S1000315.64063,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000315.64064,SP1000315.1.64064,SY1000315.2026.64064,iPad1(1000315),315,01.06.26 11:54,Prod,A1000315.6562,,105,S1000315.64064,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000315.64065,SP1000315.1.64065,SY1000315.2026.64065,iPad1(1000315),315,01.06.26 12:18,Prod,A1000315.6563,Tisch 12,111,S1000315.64065,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000315.64066,SP1000315.1.64066,SY1000315.2026.64066,iPad1(1000315),315,01.06.26 12:18,Prod,A1000315.6563,Tisch 12,111,S1000315.64066,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000315.64067,SP1000315.1.64067,SY1000315.2026.64067,iPad1(1000315),315,01.06.26 17:00,Prod,A1000315.6564,Tisch 10,119,S1000315.64067,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000315.64068,SP1000315.1.64068,SY1000315.2026.64068,iPad1(1000315),315,01.06.26 17:00,Prod,A1000315.6564,Tisch 10,119,S1000315.64068,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000315.64069,SP1000315.1.64069,SY1000315.2026.64069,iPad1(1000315),315,01.06.26 17:00,Prod,A1000315.6564,Tisch 10,119,S1000315.64069,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000315.64070,SP1000315.1.64070,SY1000315.2026.64070,iPad1(1000315),315,01.06.26 08:27,Prod,A1000315.6565,Tisch 8,108,S1000315.64070,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000315.64071,SP1000315.1.64071,SY1000315.2026.64071,iPad1(1000315),315,01.06.26 13:27,Prod,A1000315.6566,,105,S1000315.64071,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000315.64072,SP1000315.1.64072,SY1000315.2026.64072,iPad1(1000315),315,01.06.26 13:27,Prod,A1000315.6566,,105,S1000315.64072,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000315.64073,SP1000315.1.64073,SY1000315.2026.64073,iPad1(1000315),315,01.06.26 14:11,Prod,A1000315.6567,Tisch 5,111,S1000315.64073,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000315.64074,SP1000315.1.64074,SY1000315.2026.64074,iPad1(1000315),315,01.06.26 14:11,Prod,A1000315.6567,Tisch 5,111,S1000315.64074,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000315.64075,SP1000315.1.64075,SY1000315.2026.64075,iPad1(1000315),315,01.06.26 14:11,Prod,A1000315.6567,Tisch 5,111,S1000315.64075,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000315.64076,SP1000315.1.64076,SY1000315.2026.64076,iPad1(1000315),315,01.06.26 09:04,Prod,A1000315.6568,Tisch 5,108,S1000315.64076,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000315.64077,SP1000315.1.64077,SY1000315.2026.64077,iPad1(1000315),315,01.06.26 09:04,Prod,A1000315.6568,Tisch 5,108,S1000315.64077,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000315.64078,SP1000315.1.64078,SY1000315.2026.64078,iPad1(1000315),315,01.06.26 09:04,Prod,A1000315.6568,Tisch 5,108,S1000315.64078,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000315.64079,SP1000315.1.64079,SY1000315.2026.64079,iPad1(1000315),315,01.06.26 11:09,Prod,A1000315.6569,Tisch 9,108,S1000315.64079,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000315.64080,SP1000315.1.64080,SY1000315.2026.64080,iPad1(1000315),315,01.06.26 13:18,Prod,A1000315.6570,Tisch 15,108,S1000315.64080,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
