Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000036.61798,SP1000036.20.61798,SY1000036.2026.61798,iPad1(1000036),36,01.06.26 20:04,Prod,A1000036.6198,Tisch 9,116,S1000036.61798,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000036.61799,SP1000036.20.61799,SY1000036.2026.61799,iPad1(1000036),36,01.06.26 20:04,Prod,A1000036.6198,Tisch 9,116,S1000036.61799,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000036.61800,SP1000036.20.61800,SY1000036.2026.61800,iPad1(1000036),36,01.06.26 11:18,Prod,A1000036.6199,Tisch 17,116,S1000036.61800,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000036.61801,SP1000036.20.61801,SY1000036.2026.61801,iPad1(1000036),36,01.06.26 11:18,Prod,A1000036.6199,Tisch 17,116,S1000036.61801,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000036.61802,SP1000036.20.61802,SY1000036.2026.61802,iPad1(1000036),36,01.06.26 16:44,Prod,A1000036.6200,Tisch 1,109,S1000036.61802,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000036.61803,SP1000036.20.61803,SY1000036.2026.61803,iPad1(1000036),36,01.06.26 16:44,Prod,A1000036.6200,Tisch 1,109,S1000036.61803,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000036.61804,SP1000036.20.61804,SY1000036.2026.61804,iPad1(1000036),36,01.06.26 16:44,Prod,A1000036.6200,Tisch 1,109,S1000036.61804,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000036.61805,SP1000036.20.61805,SY1000036.2026.61805,iPad1(1000036),36,01.06.26 12:49,Prod,A1000036.6201,,106,S1000036.61805,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000036.61806,SP1000036.20.61806,SY1000036.2026.61806,iPad1(1000036),36,01.06.26 12:49,Prod,A1000036.6201,,106,S1000036.61806,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000036.61807,SP1000036.20.61807,SY1000036.2026.61807,iPad1(1000036),36,01.06.26 18:40,Prod,A1000036.6202,Tisch 18,106,S1000036.61807,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000036.61808,SP1000036.20.61808,SY1000036.2026.61808,iPad1(1000036),36,01.06.26 11:54,Prod,A1000036.6203,Tisch 24,116,S1000036.61808,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000036.61809,SP1000036.20.61809,SY1000036.2026.61809,iPad1(1000036),36,01.06.26 17:50,Prod,A1000036.6204,Tisch 14,106,S1000036.61809,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000036.61810,SP1000036.20.61810,SY1000036.2026.61810,iPad1(1000036),36,01.06.26 17:50,Prod,A1000036.6204,Tisch 14,106,S1000036.61810,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000036.61811,SP1000036.20.61811,SY1000036.2026.61811,iPad1(1000036),36,01.06.26 17:50,Prod,A1000036.6204,Tisch 14,106,S1000036.61811,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000036.61812,SP1000036.20.61812,SY1000036.2026.61812,iPad1(1000036),36,01.06.26 20:16,Prod,A1000036.6205,Tisch 14,103,S1000036.61812,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000036.61813,SP1000036.20.61813,SY1000036.2026.61813,iPad1(1000036),36,01.06.26 20:16,Prod,A1000036.6205,Tisch 14,103,S1000036.61813,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000036.61814,SP1000036.20.61814,SY1000036.2026.61814,iPad1(1000036),36,01.06.26 19:15,Prod,A1000036.6206,Tisch 12,116,S1000036.61814,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000036.61815,SP1000036.20.61815,SY1000036.2026.61815,iPad1(1000036),36,01.06.26 20:56,Prod,A1000036.6207,Tisch 13,103,S1000036.61815,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000036.61816,SP1000036.20.61816,SY1000036.2026.61816,iPad1(1000036),36,01.06.26 20:56,Prod,A1000036.6207,Tisch 13,103,S1000036.61816,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000036.61817,SP1000036.20.61817,SY1000036.2026.61817,iPad1(1000036),36,01.06.26 16:58,Prod,A1000036.6208,Tisch 12,106,S1000036.61817,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000036.61818,SP1000036.20.61818,SY1000036.2026.61818,iPad1(1000036),36,01.06.26 20:08,Prod,A1000036.6209,Tisch 10,116,S1000036.61818,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000036.61819,SP1000036.20.61819,SY1000036.2026.61819,iPad1(1000036),36,01.06.26 20:08,Prod,A1000036.6209,Tisch 10,116,S1000036.61819,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000036.61820,SP1000036.20.61820,SY1000036.2026.61820,iPad1(1000036),36,01.06.26 16:17,Prod,A1000036.6210,Tisch 9,103,S1000036.61820,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000036.61821,SP1000036.20.61821,SY1000036.2026.61821,iPad1(1000036),36,01.06.26 16:17,Prod,A1000036.6210,Tisch 9,103,S1000036.61821,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000036.61822,SP1000036.20.61822,SY1000036.2026.61822,iPad1(1000036),36,01.06.26 16:17,Prod,A1000036.6210,Tisch 9,103,S1000036.61822,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000036.61823,SP1000036.20.61823,SY1000036.2026.61823,iPad1(1000036),36,01.06.26 18:54,Prod,A1000036.6211,Tisch 22,106,S1000036.61823,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000036.61824,SP1000036.20.61824,SY1000036.2026.61824,iPad1(1000036),36,01.06.26 18:54,Prod,A1000036.6211,Tisch 22,106,S1000036.61824,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000036.61825,SP1000036.20.61825,SY1000036.2026.61825,iPad1(1000036),36,01.06.26 18:54,Prod,A1000036.6211,Tisch 22,106,S1000036.61825,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000036.61826,SP1000036.20.61826,SY1000036.2026.61826,iPad1(1000036),36,01.06.26 18:34,Prod,A1000036.6212,Tisch 12,116,S1000036.61826,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000036.61827,SP1000036.20.61827,SY1000036.2026.61827,iPad1(1000036),36,01.06.26 13:32,Prod,A1000036.6213,Tisch 8,106,S1000036.61827,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000036.61828,SP1000036.20.61828,SY1000036.2026.61828,iPad1(1000036),36,01.06.26 13:32,Prod,A1000036.6213,Tisch 8,106,S1000036.61828,VOID,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000036.61829,SP1000036.20.61829,SY1000036.2026.61829,iPad1(1000036),36,01.06.26 16:37,Prod,A1000036.6214,Tisch 24,103,S1000036.61829,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000036.61830,SP1000036.20.61830,SY1000036.2026.61830,iPad1(1000036),36,01.06.26 16:37,Prod,A1000036.6214,Tisch 24,103,S1000036.61830,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000036.61831,SP1000036.20.61831,SY1000036.2026.61831,iPad1(1000036),36,01.06.26 16:37,Prod,A1000036.6214,Tisch 24,103,S1000036.61831,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000036.61832,SP1000036.20.61832,SY1000036.2026.61832,iPad1(1000036),36,01.06.26 12:55,Prod,A1000036.6215,Tisch 20,106,S1000036.61832,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000036.61833,SP1000036.20.61833,SY1000036.2026.61833,iPad1(1000036),36,01.06.26 12:55,Prod,A1000036.6215,Tisch 20,106,S1000036.61833,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000036.61834,SP1000036.20.61834,SY1000036.2026.61834,iPad1(1000036),36,01.06.26 12:55,Prod,A1000036.6215,Tisch 20,106,S1000036.61834,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000036.61835,SP1000036.20.61835,SY1000036.2026.61835,iPad1(1000036),36,01.06.26 12:33,Prod,A1000036.6216,Tisch 20,102,S1000036.61835,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000036.61836,SP1000036.20.61836,SY1000036.2026.61836,iPad1(1000036),36,01.06.26 12:33,Prod,A1000036.6216,Tisch 20,102,S1000036.61836,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000036.61837,SP1000036.20.61837,SY1000036.2026.61837,iPad1(1000036),36,01.06.26 12:33,Prod,A1000036.6216,Tisch 20,102,S1000036.61837,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000036.61838,SP1000036.20.61838,SY1000036.2026.61838,iPad1(1000036),36,01.06.26 12:17,Prod,A1000036.6217,Tisch 15,116,S1000036.61838,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000036.61839,SP1000036.20.61839,SY1000036.2026.61839,iPad1(1000036),36,01.06.26 12:17,Prod,A1000036.6217,Tisch 15,116,S1000036.61839,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000036.61840,SP1000036.20.61840,SY1000036.2026.61840,iPad1(1000036),36,01.06.26 12:17,Prod,A1000036.6217,Tisch 15,116,S1000036.61840,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000036.61841,SP1000036.20.61841,SY1000036.2026.61841,iPad1(1000036),36,01.06.26 11:16,Prod,A1000036.6218,Tisch 19,106,S1000036.61841,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000036.61842,SP1000036.20.61842,SY1000036.2026.61842,iPad1(1000036),36,01.06.26 11:16,Prod,A1000036.6218,Tisch 19,106,S1000036.61842,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000036.61843,SP1000036.20.61843,SY1000036.2026.61843,iPad1(1000036),36,01.06.26 18:42,Prod,A1000036.6219,Tisch 20,103,S1000036.61843,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000036.61844,SP1000036.20.61844,SY1000036.2026.61844,iPad1(1000036),36,01.06.26 10:04,Prod,A1000036.6220,Tisch 5,109,S1000036.61844,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000036.61845,SP1000036.20.61845,SY1000036.2026.61845,iPad1(1000036),36,01.06.26 10:04,Prod,A1000036.6220,Tisch 5,109,S1000036.61845,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000036.61846,SP1000036.20.61846,SY1000036.2026.61846,iPad1(1000036),36,01.06.26 10:04,Prod,A1000036.6220,Tisch 5,109,S1000036.61846,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000036.61847,SP1000036.20.61847,SY1000036.2026.61847,iPad1(1000036),36,01.06.26 19:12,Prod,A1000036.6221,Tisch 1,109,S1000036.61847,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000036.61848,SP1000036.20.61848,SY1000036.2026.61848,iPad1(1000036),36,01.06.26 19:12,Prod,A1000036.6221,Tisch 1,109,S1000036.61848,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000036.61849,SP1000036.20.61849,SY1000036.2026.61849,iPad1(1000036),36,01.06.26 15:40,Prod,A1000036.6222,Tisch 8,116,S1000036.61849,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000036.61850,SP1000036.20.61850,SY1000036.2026.61850,iPad1(1000036),36,01.06.26 17:38,Prod,A1000036.6223,Tisch 17,106,S1000036.61850,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000036.61851,SP1000036.20.61851,SY1000036.2026.61851,iPad1(1000036),36,01.06.26 17:38,Prod,A1000036.6223,Tisch 17,106,S1000036.61851,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
