Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000379.66948,SP1000379.9.66948,SY1000379.2026.66948,iPad1(1000379),379,01.06.26 20:56,Prod,A1000379.6455,Tisch 17,113,S1000379.66948,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000379.66949,SP1000379.9.66949,SY1000379.2026.66949,iPad1(1000379),379,01.06.26 15:15,Prod,A1000379.6456,,118,S1000379.66949,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000379.66950,SP1000379.9.66950,SY1000379.2026.66950,iPad1(1000379),379,01.06.26 08:16,Prod,A1000379.6457,Tisch 15,118,S1000379.66950,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000379.66951,SP1000379.9.66951,SY1000379.2026.66951,iPad1(1000379),379,01.06.26 10:14,Prod,A1000379.6458,Tisch 23,113,S1000379.66951,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000379.66952,SP1000379.9.66952,SY1000379.2026.66952,iPad1(1000379),379,01.06.26 10:14,Prod,A1000379.6458,Tisch 23,113,S1000379.66952,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000379.66953,SP1000379.9.66953,SY1000379.2026.66953,iPad1(1000379),379,01.06.26 10:14,Prod,A1000379.6458,Tisch 23,113,S1000379.66953,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000379.66954,SP1000379.9.66954,SY1000379.2026.66954,iPad1(1000379),379,01.06.26 19:24,Prod,A1000379.6459,Tisch 5,113,S1000379.66954,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000379.66955,SP1000379.9.66955,SY1000379.2026.66955,iPad1(1000379),379,01.06.26 19:24,Prod,A1000379.6459,Tisch 5,113,S1000379.66955,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000379.66956,SP1000379.9.66956,SY1000379.2026.66956,iPad1(1000379),379,01.06.26 12:47,Prod,A1000379.6460,Tisch 16,109,S1000379.66956,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000379.66957,SP1000379.9.66957,SY1000379.2026.66957,iPad1(1000379),379,01.06.26 12:47,Prod,A1000379.6460,Tisch 16,109,S1000379.66957,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000379.66958,SP1000379.9.66958,SY1000379.2026.66958,iPad1(1000379),379,01.06.26 12:47,Prod,A1000379.6460,Tisch 16,109,S1000379.66958,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000379.66959,SP1000379.9.66959,SY1000379.2026.66959,iPad1(1000379),379,01.06.26 13:09,Prod,A1000379.6461,Tisch 20,105,S1000379.66959,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000379.66960,SP1000379.9.66960,SY1000379.2026.66960,iPad1(1000379),379,01.06.26 12:47,Prod,A1000379.6462,,119,S1000379.66960,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000379.66961,SP1000379.9.66961,SY1000379.2026.66961,iPad1(1000379),379,01.06.26 12:47,Prod,A1000379.6462,,119,S1000379.66961,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000379.66962,SP1000379.9.66962,SY1000379.2026.66962,iPad1(1000379),379,01.06.26 15:13,Prod,A1000379.6463,Tisch 22,105,S1000379.66962,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000379.66963,SP1000379.9.66963,SY1000379.2026.66963,iPad1(1000379),379,01.06.26 15:13,Prod,A1000379.6463,Tisch 22,105,S1000379.66963,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000379.66964,SP1000379.9.66964,SY1000379.2026.66964,iPad1(1000379),379,01.06.26 18:26,Prod,A1000379.6464,Tisch 8,113,S1000379.66964,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000379.66965,SP1000379.9.66965,SY1000379.2026.66965,iPad1(1000379),379,01.06.26 10:49,Prod,A1000379.6465,Tisch 24,105,S1000379.66965,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000379.66966,SP1000379.9.66966,SY1000379.2026.66966,iPad1(1000379),379,01.06.26 10:49,Prod,A1000379.6465,Tisch 24,105,S1000379.66966,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000379.66967,SP1000379.9.66967,SY1000379.2026.66967,iPad1(1000379),379,01.06.26 19:01,Prod,A1000379.6466,Tisch 21,118,S1000379.66967,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000379.66968,SP1000379.9.66968,SY1000379.2026.66968,iPad1(1000379),379,01.06.26 19:01,Prod,A1000379.6466,Tisch 21,118,S1000379.66968,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
