Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000016.53530,SP1000016.14.53530,SY1000016.2026.53530,iPad1(1000016),16,01.06.26 12:19,Prod,A1000016.6405,Tisch 24,103,S1000016.53530,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000016.53531,SP1000016.14.53531,SY1000016.2026.53531,iPad1(1000016),16,01.06.26 12:12,Prod,A1000016.6406,Tisch 23,120,S1000016.53531,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000016.53532,SP1000016.14.53532,SY1000016.2026.53532,iPad1(1000016),16,01.06.26 12:12,Prod,A1000016.6406,Tisch 23,120,S1000016.53532,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000016.53533,SP1000016.14.53533,SY1000016.2026.53533,iPad1(1000016),16,01.06.26 17:31,Prod,A1000016.6407,,111,S1000016.53533,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000016.53534,SP1000016.14.53534,SY1000016.2026.53534,iPad1(1000016),16,01.06.26 13:39,Prod,A1000016.6408,Tisch 18,120,S1000016.53534,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000016.53535,SP1000016.14.53535,SY1000016.2026.53535,iPad1(1000016),16,01.06.26 18:18,Prod,A1000016.6409,Tisch 7,110,S1000016.53535,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000016.53536,SP1000016.14.53536,SY1000016.2026.53536,iPad1(1000016),16,01.06.26 18:18,Prod,A1000016.6409,Tisch 7,110,S1000016.53536,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000016.53537,SP1000016.14.53537,SY1000016.2026.53537,iPad1(1000016),16,01.06.26 18:18,Prod,A1000016.6409,Tisch 7,110,S1000016.53537,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000016.53538,SP1000016.14.53538,SY1000016.2026.53538,iPad1(1000016),16,01.06.26 17:29,Prod,A1000016.6410,Tisch 9,111,S1000016.53538,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000016.53539,SP1000016.14.53539,SY1000016.2026.53539,iPad1(1000016),16,01.06.26 11:43,Prod,A1000016.6411,Tisch 17,103,S1000016.53539,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000016.53540,SP1000016.14.53540,SY1000016.2026.53540,iPad1(1000016),16,01.06.26 11:43,Prod,A1000016.6411,Tisch 17,103,S1000016.53540,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000016.53541,SP1000016.14.53541,SY1000016.2026.53541,iPad1(1000016),16,01.06.26 11:43,Prod,A1000016.6411,Tisch 17,103,S1000016.53541,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000016.53542,SP1000016.14.53542,SY1000016.2026.53542,iPad1(1000016),16,01.06.26 14:20,Prod,A1000016.6412,Tisch 9,111,S1000016.53542,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000016.53543,SP1000016.14.53543,SY1000016.2026.53543,iPad1(1000016),16,01.06.26 14:20,Prod,A1000016.6412,Tisch 9,111,S1000016.53543,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000016.53544,SP1000016.14.53544,SY1000016.2026.53544,iPad1(1000016),16,01.06.26 14:20,Prod,A1000016.6412,Tisch 9,111,S1000016.53544,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000016.53545,SP1000016.14.53545,SY1000016.2026.53545,iPad1(1000016),16,01.06.26 13:24,Prod,A1000016.6413,Tisch 7,110,S1000016.53545,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
