Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000254.49291,SP1000254.28.49291,SY1000254.2026.49291,iPad1(1000254),254,01.06.26 10:01,Prod,A1000254.6835,Tisch 19,103,S1000254.49291,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000254.49292,SP1000254.28.49292,SY1000254.2026.49292,iPad1(1000254),254,01.06.26 10:01,Prod,A1000254.6835,Tisch 19,103,S1000254.49292,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000254.49293,SP1000254.28.49293,SY1000254.2026.49293,iPad1(1000254),254,01.06.26 14:57,Prod,A1000254.6836,Tisch 7,106,S1000254.49293,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000254.49294,SP1000254.28.49294,SY1000254.2026.49294,iPad1(1000254),254,01.06.26 10:46,Prod,A1000254.6837,Tisch 4,110,S1000254.49294,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000254.49295,SP1000254.28.49295,SY1000254.2026.49295,iPad1(1000254),254,01.06.26 10:46,Prod,A1000254.6837,Tisch 4,110,S1000254.49295,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000254.49296,SP1000254.28.49296,SY1000254.2026.49296,iPad1(1000254),254,01.06.26 11:54,Prod,A1000254.6838,Tisch 5,103,S1000254.49296,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000254.49297,SP1000254.28.49297,SY1000254.2026.49297,iPad1(1000254),254,01.06.26 20:22,Prod,A1000254.6839,Tisch 16,110,S1000254.49297,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000254.49298,SP1000254.28.49298,SY1000254.2026.49298,iPad1(1000254),254,01.06.26 20:22,Prod,A1000254.6839,Tisch 16,110,S1000254.49298,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000254.49299,SP1000254.28.49299,SY1000254.2026.49299,iPad1(1000254),254,01.06.26 20:22,Prod,A1000254.6839,Tisch 16,110,S1000254.49299,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000254.49300,SP1000254.28.49300,SY1000254.2026.49300,iPad1(1000254),254,01.06.26 17:49,Prod,A1000254.6840,Tisch 10,103,S1000254.49300,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000254.49301,SP1000254.28.49301,SY1000254.2026.49301,iPad1(1000254),254,01.06.26 17:49,Prod,A1000254.6840,Tisch 10,103,S1000254.49301,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000254.49302,SP1000254.28.49302,SY1000254.2026.49302,iPad1(1000254),254,01.06.26 20:41,Prod,A1000254.6841,,112,S1000254.49302,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
