Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000103.71280,SP1000103.9.71280,SY1000103.2026.71280,iPad1(1000103),103,01.06.26 20:47,Prod,A1000103.6899,Tisch 24,112,S1000103.71280,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000103.71281,SP1000103.9.71281,SY1000103.2026.71281,iPad1(1000103),103,01.06.26 13:14,Prod,A1000103.6900,Tisch 23,112,S1000103.71281,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000103.71282,SP1000103.9.71282,SY1000103.2026.71282,iPad1(1000103),103,01.06.26 13:14,Prod,A1000103.6900,Tisch 23,112,S1000103.71282,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000103.71283,SP1000103.9.71283,SY1000103.2026.71283,iPad1(1000103),103,01.06.26 09:45,Prod,A1000103.6901,Tisch 21,106,S1000103.71283,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000103.71284,SP1000103.9.71284,SY1000103.2026.71284,iPad1(1000103),103,01.06.26 09:45,Prod,A1000103.6901,Tisch 21,106,S1000103.71284,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000103.71285,SP1000103.9.71285,SY1000103.2026.71285,iPad1(1000103),103,01.06.26 18:56,Prod,A1000103.6902,Tisch 12,106,S1000103.71285,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000103.71286,SP1000103.9.71286,SY1000103.2026.71286,iPad1(1000103),103,01.06.26 18:56,Prod,A1000103.6902,Tisch 12,106,S1000103.71286,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000103.71287,SP1000103.9.71287,SY1000103.2026.71287,iPad1(1000103),103,01.06.26 18:56,Prod,A1000103.6902,Tisch 12,106,S1000103.71287,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000103.71288,SP1000103.9.71288,SY1000103.2026.71288,iPad1(1000103),103,01.06.26 20:36,Prod,A1000103.6903,Tisch 3,104,S1000103.71288,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000103.71289,SP1000103.9.71289,SY1000103.2026.71289,iPad1(1000103),103,01.06.26 19:02,Prod,A1000103.6904,Tisch 9,112,S1000103.71289,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000103.71290,SP1000103.9.71290,SY1000103.2026.71290,iPad1(1000103),103,01.06.26 19:02,Prod,A1000103.6904,Tisch 9,112,S1000103.71290,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
