Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000056.26974,SP1000056.22.26974,SY1000056.2026.26974,iPad1(1000056),56,01.06.26 12:16,Prod,A1000056.6530,Tisch 21,118,S1000056.26974,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000056.26975,SP1000056.22.26975,SY1000056.2026.26975,iPad1(1000056),56,01.06.26 19:25,Prod,A1000056.6531,Tisch 20,117,S1000056.26975,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000056.26976,SP1000056.22.26976,SY1000056.2026.26976,iPad1(1000056),56,01.06.26 10:16,Prod,A1000056.6532,Tisch 17,107,S1000056.26976,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000056.26977,SP1000056.22.26977,SY1000056.2026.26977,iPad1(1000056),56,01.06.26 20:37,Prod,A1000056.6533,Tisch 1,120,S1000056.26977,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000056.26978,SP1000056.22.26978,SY1000056.2026.26978,iPad1(1000056),56,01.06.26 20:37,Prod,A1000056.6533,Tisch 1,120,S1000056.26978,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000056.26979,SP1000056.22.26979,SY1000056.2026.26979,iPad1(1000056),56,01.06.26 20:31,Prod,A1000056.6534,Tisch 20,115,S1000056.26979,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000056.26980,SP1000056.22.26980,SY1000056.2026.26980,iPad1(1000056),56,01.06.26 20:31,Prod,A1000056.6534,Tisch 20,115,S1000056.26980,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000056.26981,SP1000056.22.26981,SY1000056.2026.26981,iPad1(1000056),56,01.06.26 20:31,Prod,A1000056.6534,Tisch 20,115,S1000056.26981,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000056.26982,SP1000056.22.26982,SY1000056.2026.26982,iPad1(1000056),56,01.06.26 11:54,Prod,A1000056.6535,Tisch 2,114,S1000056.26982,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000056.26983,SP1000056.22.26983,SY1000056.2026.26983,iPad1(1000056),56,01.06.26 12:26,Prod,A1000056.6536,Tisch 20,118,S1000056.26983,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000056.26984,SP1000056.22.26984,SY1000056.2026.26984,iPad1(1000056),56,01.06.26 12:26,Prod,A1000056.6536,Tisch 20,118,S1000056.26984,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000056.26985,SP1000056.22.26985,SY1000056.2026.26985,iPad1(1000056),56,01.06.26 11:04,Prod,A1000056.6537,Tisch 19,107,S1000056.26985,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000056.26986,SP1000056.22.26986,SY1000056.2026.26986,iPad1(1000056),56,01.06.26 19:31,Prod,A1000056.6538,Tisch 10,117,S1000056.26986,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000056.26987,SP1000056.22.26987,SY1000056.2026.26987,iPad1(1000056),56,01.06.26 19:17,Prod,A1000056.6539,Tisch 14,120,S1000056.26987,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000056.26988,SP1000056.22.26988,SY1000056.2026.26988,iPad1(1000056),56,01.06.26 19:17,Prod,A1000056.6539,Tisch 14,120,S1000056.26988,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000056.26989,SP1000056.22.26989,SY1000056.2026.26989,iPad1(1000056),56,01.06.26 19:17,Prod,A1000056.6539,Tisch 14,120,S1000056.26989,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
