Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000330.81724,SP1000330.13.81724,SY1000330.2026.81724,iPad1(1000330),330,01.06.26 16:36,Prod,A1000330.6085,Tisch 20,103,S1000330.81724,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000330.81725,SP1000330.13.81725,SY1000330.2026.81725,iPad1(1000330),330,01.06.26 16:36,Prod,A1000330.6085,Tisch 20,103,S1000330.81725,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000330.81726,SP1000330.13.81726,SY1000330.2026.81726,iPad1(1000330),330,01.06.26 13:29,Prod,A1000330.6086,Tisch 23,102,S1000330.81726,VOID,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000330.81727,SP1000330.13.81727,SY1000330.2026.81727,iPad1(1000330),330,01.06.26 17:10,Prod,A1000330.6087,Tisch 19,106,S1000330.81727,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000330.81728,SP1000330.13.81728,SY1000330.2026.81728,iPad1(1000330),330,01.06.26 17:10,Prod,A1000330.6087,Tisch 19,106,S1000330.81728,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000330.81729,SP1000330.13.81729,SY1000330.2026.81729,iPad1(1000330),330,01.06.26 18:39,Prod,A1000330.6088,Tisch 24,102,S1000330.81729,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000330.81730,SP1000330.13.81730,SY1000330.2026.81730,iPad1(1000330),330,01.06.26 18:39,Prod,A1000330.6088,Tisch 24,102,S1000330.81730,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000330.81731,SP1000330.13.81731,SY1000330.2026.81731,iPad1(1000330),330,01.06.26 18:39,Prod,A1000330.6088,Tisch 24,102,S1000330.81731,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000330.81732,SP1000330.13.81732,SY1000330.2026.81732,iPad1(1000330),330,01.06.26 14:56,Prod,A1000330.6089,Tisch 12,102,S1000330.81732,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000330.81733,SP1000330.13.81733,SY1000330.2026.81733,iPad1(1000330),330,01.06.26 13:23,Prod,A1000330.6090,Tisch 10,101,S1000330.81733,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
