Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000387.27964,SP1000387.3.27964,SY1000387.2026.27964,iPad1(1000387),387,01.06.26 19:53,Prod,A1000387.6238,Tisch 21,109,S1000387.27964,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000387.27965,SP1000387.3.27965,SY1000387.2026.27965,iPad1(1000387),387,01.06.26 19:53,Prod,A1000387.6238,Tisch 21,109,S1000387.27965,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000387.27966,SP1000387.3.27966,SY1000387.2026.27966,iPad1(1000387),387,01.06.26 19:53,Prod,A1000387.6238,Tisch 21,109,S1000387.27966,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000387.27967,SP1000387.3.27967,SY1000387.2026.27967,iPad1(1000387),387,01.06.26 13:14,Prod,A1000387.6239,Tisch 20,116,S1000387.27967,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000387.27968,SP1000387.3.27968,SY1000387.2026.27968,iPad1(1000387),387,01.06.26 13:14,Prod,A1000387.6239,Tisch 20,116,S1000387.27968,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000387.27969,SP1000387.3.27969,SY1000387.2026.27969,iPad1(1000387),387,01.06.26 20:18,Prod,A1000387.6240,Tisch 19,111,S1000387.27969,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000387.27970,SP1000387.3.27970,SY1000387.2026.27970,iPad1(1000387),387,01.06.26 20:18,Prod,A1000387.6240,Tisch 19,111,S1000387.27970,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000387.27971,SP1000387.3.27971,SY1000387.2026.27971,iPad1(1000387),387,01.06.26 18:05,Prod,A1000387.6241,Tisch 18,104,S1000387.27971,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000387.27972,SP1000387.3.27972,SY1000387.2026.27972,iPad1(1000387),387,01.06.26 18:05,Prod,A1000387.6241,Tisch 18,104,S1000387.27972,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000387.27973,SP1000387.3.27973,SY1000387.2026.27973,iPad1(1000387),387,01.06.26 17:27,Prod,A1000387.6242,Tisch 1,111,S1000387.27973,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
