Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000240.55958,SP1000240.51.55958,SY1000240.2026.55958,iPad1(1000240),240,01.06.26 13:11,Prod,A1000240.6630,Tisch 18,120,S1000240.55958,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000240.55959,SP1000240.51.55959,SY1000240.2026.55959,iPad1(1000240),240,01.06.26 13:11,Prod,A1000240.6630,Tisch 18,120,S1000240.55959,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000240.55960,SP1000240.51.55960,SY1000240.2026.55960,iPad1(1000240),240,01.06.26 16:23,Prod,A1000240.6631,Tisch 24,118,S1000240.55960,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000240.55961,SP1000240.51.55961,SY1000240.2026.55961,iPad1(1000240),240,01.06.26 16:23,Prod,A1000240.6631,Tisch 24,118,S1000240.55961,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000240.55962,SP1000240.51.55962,SY1000240.2026.55962,iPad1(1000240),240,01.06.26 16:23,Prod,A1000240.6631,Tisch 24,118,S1000240.55962,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000240.55963,SP1000240.51.55963,SY1000240.2026.55963,iPad1(1000240),240,01.06.26 19:53,Prod,A1000240.6632,Tisch 19,118,S1000240.55963,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000240.55964,SP1000240.51.55964,SY1000240.2026.55964,iPad1(1000240),240,01.06.26 19:53,Prod,A1000240.6632,Tisch 19,118,S1000240.55964,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000240.55965,SP1000240.51.55965,SY1000240.2026.55965,iPad1(1000240),240,01.06.26 14:42,Prod,A1000240.6633,,118,S1000240.55965,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000240.55966,SP1000240.51.55966,SY1000240.2026.55966,iPad1(1000240),240,01.06.26 12:07,Prod,A1000240.6634,Tisch 16,118,S1000240.55966,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000240.55967,SP1000240.51.55967,SY1000240.2026.55967,iPad1(1000240),240,01.06.26 19:02,Prod,A1000240.6635,Tisch 11,111,S1000240.55967,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
