Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000338.22184,SP1000338.24.22184,SY1000338.2026.22184,iPad1(1000338),338,01.06.26 19:19,Prod,A1000338.6519,Tisch 4,106,S1000338.22184,VOID,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000338.22185,SP1000338.24.22185,SY1000338.2026.22185,iPad1(1000338),338,01.06.26 19:19,Prod,A1000338.6519,Tisch 4,106,S1000338.22185,VOID,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000338.22186,SP1000338.24.22186,SY1000338.2026.22186,iPad1(1000338),338,01.06.26 14:39,Prod,A1000338.6520,Tisch 18,106,S1000338.22186,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000338.22187,SP1000338.24.22187,SY1000338.2026.22187,iPad1(1000338),338,01.06.26 14:39,Prod,A1000338.6520,Tisch 18,106,S1000338.22187,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000338.22188,SP1000338.24.22188,SY1000338.2026.22188,iPad1(1000338),338,01.06.26 14:39,Prod,A1000338.6520,Tisch 18,106,S1000338.22188,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000338.22189,SP1000338.24.22189,SY1000338.2026.22189,iPad1(1000338),338,01.06.26 12:47,Prod,A1000338.6521,Tisch 11,116,S1000338.22189,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000338.22190,SP1000338.24.22190,SY1000338.2026.22190,iPad1(1000338),338,01.06.26 11:27,Prod,A1000338.6522,Tisch 2,104,S1000338.22190,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000338.22191,SP1000338.24.22191,SY1000338.2026.22191,iPad1(1000338),338,01.06.26 10:11,Prod,A1000338.6523,Tisch 6,104,S1000338.22191,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000338.22192,SP1000338.24.22192,SY1000338.2026.22192,iPad1(1000338),338,01.06.26 10:11,Prod,A1000338.6523,Tisch 6,104,S1000338.22192,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000338.22193,SP1000338.24.22193,SY1000338.2026.22193,iPad1(1000338),338,01.06.26 18:47,Prod,A1000338.6524,Tisch 9,109,S1000338.22193,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
