Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000080.34101,SP1000080.46.34101,SY1000080.2026.34101,iPad1(1000080),80,01.06.26 18:30,Prod,A1000080.6865,Tisch 6,106,S1000080.34101,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000080.34102,SP1000080.46.34102,SY1000080.2026.34102,iPad1(1000080),80,01.06.26 18:30,Prod,A1000080.6865,Tisch 6,106,S1000080.34102,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000080.34103,SP1000080.46.34103,SY1000080.2026.34103,iPad1(1000080),80,01.06.26 16:08,Prod,A1000080.6866,Tisch 19,116,S1000080.34103,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000080.34104,SP1000080.46.34104,SY1000080.2026.34104,iPad1(1000080),80,01.06.26 16:08,Prod,A1000080.6866,Tisch 19,116,S1000080.34104,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000080.34105,SP1000080.46.34105,SY1000080.2026.34105,iPad1(1000080),80,01.06.26 16:08,Prod,A1000080.6866,Tisch 19,116,S1000080.34105,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000080.34106,SP1000080.46.34106,SY1000080.2026.34106,iPad1(1000080),80,01.06.26 18:04,Prod,A1000080.6867,Tisch 17,118,S1000080.34106,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000080.34107,SP1000080.46.34107,SY1000080.2026.34107,iPad1(1000080),80,01.06.26 08:21,Prod,A1000080.6868,Tisch 23,107,S1000080.34107,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000080.34108,SP1000080.46.34108,SY1000080.2026.34108,iPad1(1000080),80,01.06.26 08:21,Prod,A1000080.6868,Tisch 23,107,S1000080.34108,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000080.34109,SP1000080.46.34109,SY1000080.2026.34109,iPad1(1000080),80,01.06.26 19:06,Prod,A1000080.6869,Tisch 4,106,S1000080.34109,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000080.34110,SP1000080.46.34110,SY1000080.2026.34110,iPad1(1000080),80,01.06.26 13:18,Prod,A1000080.6870,Tisch 4,105,S1000080.34110,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
