Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000283.71128,SP1000283.43.71128,SY1000283.2026.71128,iPad1(1000283),283,01.06.26 10:48,Prod,A1000283.6907,Tisch 4,111,S1000283.71128,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000283.71129,SP1000283.43.71129,SY1000283.2026.71129,iPad1(1000283),283,01.06.26 12:43,Prod,A1000283.6908,Tisch 19,119,S1000283.71129,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000283.71130,SP1000283.43.71130,SY1000283.2026.71130,iPad1(1000283),283,01.06.26 12:43,Prod,A1000283.6908,Tisch 19,119,S1000283.71130,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000283.71131,SP1000283.43.71131,SY1000283.2026.71131,iPad1(1000283),283,01.06.26 08:13,Prod,A1000283.6909,Tisch 10,111,S1000283.71131,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000283.71132,SP1000283.43.71132,SY1000283.2026.71132,iPad1(1000283),283,01.06.26 08:13,Prod,A1000283.6909,Tisch 10,111,S1000283.71132,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000283.71133,SP1000283.43.71133,SY1000283.2026.71133,iPad1(1000283),283,01.06.26 19:20,Prod,A1000283.6910,Tisch 3,111,S1000283.71133,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000283.71134,SP1000283.43.71134,SY1000283.2026.71134,iPad1(1000283),283,01.06.26 12:43,Prod,A1000283.6911,Tisch 1,117,S1000283.71134,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000283.71135,SP1000283.43.71135,SY1000283.2026.71135,iPad1(1000283),283,01.06.26 15:15,Prod,A1000283.6912,Tisch 3,111,S1000283.71135,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000283.71136,SP1000283.43.71136,SY1000283.2026.71136,iPad1(1000283),283,01.06.26 19:53,Prod,A1000283.6913,Tisch 21,119,S1000283.71136,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000283.71137,SP1000283.43.71137,SY1000283.2026.71137,iPad1(1000283),283,01.06.26 19:53,Prod,A1000283.6913,Tisch 21,119,S1000283.71137,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000283.71138,SP1000283.43.71138,SY1000283.2026.71138,iPad1(1000283),283,01.06.26 19:53,Prod,A1000283.6913,Tisch 21,119,S1000283.71138,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000283.71139,SP1000283.43.71139,SY1000283.2026.71139,iPad1(1000283),283,01.06.26 16:00,Prod,A1000283.6914,Tisch 13,111,S1000283.71139,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000283.71140,SP1000283.43.71140,SY1000283.2026.71140,iPad1(1000283),283,01.06.26 16:00,Prod,A1000283.6914,Tisch 13,111,S1000283.71140,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000283.71141,SP1000283.43.71141,SY1000283.2026.71141,iPad1(1000283),283,01.06.26 16:00,Prod,A1000283.6914,Tisch 13,111,S1000283.71141,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
