Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000223.79389,SP1000223.39.79389,SY1000223.2026.79389,iPad1(1000223),223,01.06.26 10:06,Prod,A1000223.6710,Tisch 8,101,S1000223.79389,VOID,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000223.79390,SP1000223.39.79390,SY1000223.2026.79390,iPad1(1000223),223,01.06.26 20:00,Prod,A1000223.6711,Tisch 23,113,S1000223.79390,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000223.79391,SP1000223.39.79391,SY1000223.2026.79391,iPad1(1000223),223,01.06.26 20:00,Prod,A1000223.6711,Tisch 23,113,S1000223.79391,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000223.79392,SP1000223.39.79392,SY1000223.2026.79392,iPad1(1000223),223,01.06.26 19:23,Prod,A1000223.6712,Tisch 7,118,S1000223.79392,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000223.79393,SP1000223.39.79393,SY1000223.2026.79393,iPad1(1000223),223,01.06.26 10:26,Prod,A1000223.6713,Tisch 12,104,S1000223.79393,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000223.79394,SP1000223.39.79394,SY1000223.2026.79394,iPad1(1000223),223,01.06.26 10:26,Prod,A1000223.6713,Tisch 12,104,S1000223.79394,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000223.79395,SP1000223.39.79395,SY1000223.2026.79395,iPad1(1000223),223,01.06.26 10:26,Prod,A1000223.6713,Tisch 12,104,S1000223.79395,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000223.79396,SP1000223.39.79396,SY1000223.2026.79396,iPad1(1000223),223,01.06.26 16:17,Prod,A1000223.6714,Tisch 21,119,S1000223.79396,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000223.79397,SP1000223.39.79397,SY1000223.2026.79397,iPad1(1000223),223,01.06.26 16:17,Prod,A1000223.6714,Tisch 21,119,S1000223.79397,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000223.79398,SP1000223.39.79398,SY1000223.2026.79398,iPad1(1000223),223,01.06.26 08:45,Prod,A1000223.6715,Tisch 14,119,S1000223.79398,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
