Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000332.54873,SP1000332.16.54873,SY1000332.2026.54873,iPad1(1000332),332,01.06.26 18:02,Prod,A1000332.6643,Tisch 17,113,S1000332.54873,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000332.54874,SP1000332.16.54874,SY1000332.2026.54874,iPad1(1000332),332,01.06.26 18:02,Prod,A1000332.6643,Tisch 17,113,S1000332.54874,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000332.54875,SP1000332.16.54875,SY1000332.2026.54875,iPad1(1000332),332,01.06.26 18:28,Prod,A1000332.6644,Tisch 16,105,S1000332.54875,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000332.54876,SP1000332.16.54876,SY1000332.2026.54876,iPad1(1000332),332,01.06.26 18:28,Prod,A1000332.6644,Tisch 16,105,S1000332.54876,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000332.54877,SP1000332.16.54877,SY1000332.2026.54877,iPad1(1000332),332,01.06.26 18:28,Prod,A1000332.6644,Tisch 16,105,S1000332.54877,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000332.54878,SP1000332.16.54878,SY1000332.2026.54878,iPad1(1000332),332,01.06.26 19:32,Prod,A1000332.6645,Tisch 6,111,S1000332.54878,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000332.54879,SP1000332.16.54879,SY1000332.2026.54879,iPad1(1000332),332,01.06.26 11:58,Prod,A1000332.6646,Tisch 10,104,S1000332.54879,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000332.54880,SP1000332.16.54880,SY1000332.2026.54880,iPad1(1000332),332,01.06.26 19:33,Prod,A1000332.6647,Tisch 12,113,S1000332.54880,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000332.54881,SP1000332.16.54881,SY1000332.2026.54881,iPad1(1000332),332,01.06.26 19:33,Prod,A1000332.6647,Tisch 12,113,S1000332.54881,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000332.54882,SP1000332.16.54882,SY1000332.2026.54882,iPad1(1000332),332,01.06.26 19:33,Prod,A1000332.6647,Tisch 12,113,S1000332.54882,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000332.54883,SP1000332.16.54883,SY1000332.2026.54883,iPad1(1000332),332,01.06.26 20:02,Prod,A1000332.6648,Tisch 3,104,S1000332.54883,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000332.54884,SP1000332.16.54884,SY1000332.2026.54884,iPad1(1000332),332,01.06.26 20:02,Prod,A1000332.6648,Tisch 3,104,S1000332.54884,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000332.54885,SP1000332.16.54885,SY1000332.2026.54885,iPad1(1000332),332,01.06.26 12:19,Prod,A1000332.6649,Tisch 20,114,S1000332.54885,VOID,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000332.54886,SP1000332.16.54886,SY1000332.2026.54886,iPad1(1000332),332,01.06.26 12:19,Prod,A1000332.6649,Tisch 20,114,S1000332.54886,VOID,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000332.54887,SP1000332.16.54887,SY1000332.2026.54887,iPad1(1000332),332,01.06.26 12:19,Prod,A1000332.6649,Tisch 20,114,S1000332.54887,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000332.54888,SP1000332.16.54888,SY1000332.2026.54888,iPad1(1000332),332,01.06.26 19:56,Prod,A1000332.6650,Tisch 5,114,S1000332.54888,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
