Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000227.42910,SP1000227.3.42910,SY1000227.2026.42910,iPad1(1000227),227,01.06.26 15:49,Prod,A1000227.6892,Tisch 11,109,S1000227.42910,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000227.42911,SP1000227.3.42911,SY1000227.2026.42911,iPad1(1000227),227,01.06.26 15:49,Prod,A1000227.6892,Tisch 11,109,S1000227.42911,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000227.42912,SP1000227.3.42912,SY1000227.2026.42912,iPad1(1000227),227,01.06.26 15:49,Prod,A1000227.6892,Tisch 11,109,S1000227.42912,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000227.42913,SP1000227.3.42913,SY1000227.2026.42913,iPad1(1000227),227,01.06.26 10:06,Prod,A1000227.6893,Tisch 4,104,S1000227.42913,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000227.42914,SP1000227.3.42914,SY1000227.2026.42914,iPad1(1000227),227,01.06.26 10:06,Prod,A1000227.6893,Tisch 4,104,S1000227.42914,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000227.42915,SP1000227.3.42915,SY1000227.2026.42915,iPad1(1000227),227,01.06.26 20:11,Prod,A1000227.6894,Tisch 6,110,S1000227.42915,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000227.42916,SP1000227.3.42916,SY1000227.2026.42916,iPad1(1000227),227,01.06.26 20:11,Prod,A1000227.6894,Tisch 6,110,S1000227.42916,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000227.42917,SP1000227.3.42917,SY1000227.2026.42917,iPad1(1000227),227,01.06.26 13:16,Prod,A1000227.6895,Tisch 3,111,S1000227.42917,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000227.42918,SP1000227.3.42918,SY1000227.2026.42918,iPad1(1000227),227,01.06.26 13:16,Prod,A1000227.6895,Tisch 3,111,S1000227.42918,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000227.42919,SP1000227.3.42919,SY1000227.2026.42919,iPad1(1000227),227,01.06.26 13:16,Prod,A1000227.6895,Tisch 3,111,S1000227.42919,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
