Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000375.65253,SP1000375.26.65253,SY1000375.2026.65253,iPad1(1000375),375,01.06.26 12:12,Prod,A1000375.6248,Tisch 4,105,S1000375.65253,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000375.65254,SP1000375.26.65254,SY1000375.2026.65254,iPad1(1000375),375,01.06.26 19:58,Prod,A1000375.6249,,118,S1000375.65254,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000375.65255,SP1000375.26.65255,SY1000375.2026.65255,iPad1(1000375),375,01.06.26 19:58,Prod,A1000375.6249,,118,S1000375.65255,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000375.65256,SP1000375.26.65256,SY1000375.2026.65256,iPad1(1000375),375,01.06.26 17:42,Prod,A1000375.6250,Tisch 21,116,S1000375.65256,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000375.65257,SP1000375.26.65257,SY1000375.2026.65257,iPad1(1000375),375,01.06.26 17:42,Prod,A1000375.6250,Tisch 21,116,S1000375.65257,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000375.65258,SP1000375.26.65258,SY1000375.2026.65258,iPad1(1000375),375,01.06.26 17:42,Prod,A1000375.6250,Tisch 21,116,S1000375.65258,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000375.65259,SP1000375.26.65259,SY1000375.2026.65259,iPad1(1000375),375,01.06.26 20:36,Prod,A1000375.6251,Tisch 20,109,S1000375.65259,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000375.65260,SP1000375.26.65260,SY1000375.2026.65260,iPad1(1000375),375,01.06.26 20:36,Prod,A1000375.6251,Tisch 20,109,S1000375.65260,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000375.65261,SP1000375.26.65261,SY1000375.2026.65261,iPad1(1000375),375,01.06.26 12:45,Prod,A1000375.6252,Tisch 24,105,S1000375.65261,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000375.65262,SP1000375.26.65262,SY1000375.2026.65262,iPad1(1000375),375,01.06.26 12:45,Prod,A1000375.6252,Tisch 24,105,S1000375.65262,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000375.65263,SP1000375.26.65263,SY1000375.2026.65263,iPad1(1000375),375,01.06.26 15:44,Prod,A1000375.6253,Tisch 8,109,S1000375.65263,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000375.65264,SP1000375.26.65264,SY1000375.2026.65264,iPad1(1000375),375,01.06.26 15:44,Prod,A1000375.6253,Tisch 8,109,S1000375.65264,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000375.65265,SP1000375.26.65265,SY1000375.2026.65265,iPad1(1000375),375,01.06.26 15:44,Prod,A1000375.6253,Tisch 8,109,S1000375.65265,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000375.65266,SP1000375.26.65266,SY1000375.2026.65266,iPad1(1000375),375,01.06.26 15:01,Prod,A1000375.6254,Tisch 24,116,S1000375.65266,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000375.65267,SP1000375.26.65267,SY1000375.2026.65267,iPad1(1000375),375,01.06.26 15:01,Prod,A1000375.6254,Tisch 24,116,S1000375.65267,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000375.65268,SP1000375.26.65268,SY1000375.2026.65268,iPad1(1000375),375,01.06.26 19:19,Prod,A1000375.6255,Tisch 8,116,S1000375.65268,VOID,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000375.65269,SP1000375.26.65269,SY1000375.2026.65269,iPad1(1000375),375,01.06.26 19:19,Prod,A1000375.6255,Tisch 8,116,S1000375.65269,VOID,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000375.65270,SP1000375.26.65270,SY1000375.2026.65270,iPad1(1000375),375,01.06.26 16:08,Prod,A1000375.6256,Tisch 24,102,S1000375.65270,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000375.65271,SP1000375.26.65271,SY1000375.2026.65271,iPad1(1000375),375,01.06.26 16:08,Prod,A1000375.6256,Tisch 24,102,S1000375.65271,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000375.65272,SP1000375.26.65272,SY1000375.2026.65272,iPad1(1000375),375,01.06.26 12:46,Prod,A1000375.6257,Tisch 18,116,S1000375.65272,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
