Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000207.84144,SP1000207.8.84144,SY1000207.2026.84144,iPad1(1000207),207,01.06.26 18:15,Prod,A1000207.6863,,120,S1000207.84144,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000207.84145,SP1000207.8.84145,SY1000207.2026.84145,iPad1(1000207),207,01.06.26 18:15,Prod,A1000207.6863,,120,S1000207.84145,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000207.84146,SP1000207.8.84146,SY1000207.2026.84146,iPad1(1000207),207,01.06.26 18:15,Prod,A1000207.6863,,120,S1000207.84146,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000207.84147,SP1000207.8.84147,SY1000207.2026.84147,iPad1(1000207),207,01.06.26 18:15,Prod,A1000207.6864,Tisch 23,118,S1000207.84147,VOID,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000207.84148,SP1000207.8.84148,SY1000207.2026.84148,iPad1(1000207),207,01.06.26 11:20,Prod,A1000207.6865,Tisch 13,120,S1000207.84148,VOID,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000207.84149,SP1000207.8.84149,SY1000207.2026.84149,iPad1(1000207),207,01.06.26 11:20,Prod,A1000207.6865,Tisch 13,120,S1000207.84149,VOID,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000207.84150,SP1000207.8.84150,SY1000207.2026.84150,iPad1(1000207),207,01.06.26 18:00,Prod,A1000207.6866,Tisch 10,120,S1000207.84150,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000207.84151,SP1000207.8.84151,SY1000207.2026.84151,iPad1(1000207),207,01.06.26 18:00,Prod,A1000207.6866,Tisch 10,120,S1000207.84151,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000207.84152,SP1000207.8.84152,SY1000207.2026.84152,iPad1(1000207),207,01.06.26 11:57,Prod,A1000207.6867,Tisch 15,110,S1000207.84152,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000207.84153,SP1000207.8.84153,SY1000207.2026.84153,iPad1(1000207),207,01.06.26 11:57,Prod,A1000207.6867,Tisch 15,110,S1000207.84153,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000207.84154,SP1000207.8.84154,SY1000207.2026.84154,iPad1(1000207),207,01.06.26 08:58,Prod,A1000207.6868,,114,S1000207.84154,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000207.84155,SP1000207.8.84155,SY1000207.2026.84155,iPad1(1000207),207,01.06.26 08:58,Prod,A1000207.6868,,114,S1000207.84155,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000207.84156,SP1000207.8.84156,SY1000207.2026.84156,iPad1(1000207),207,01.06.26 08:58,Prod,A1000207.6868,,114,S1000207.84156,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000207.84157,SP1000207.8.84157,SY1000207.2026.84157,iPad1(1000207),207,01.06.26 11:26,Prod,A1000207.6869,Tisch 18,114,S1000207.84157,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000207.84158,SP1000207.8.84158,SY1000207.2026.84158,iPad1(1000207),207,01.06.26 15:39,Prod,A1000207.6870,,114,S1000207.84158,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000207.84159,SP1000207.8.84159,SY1000207.2026.84159,iPad1(1000207),207,01.06.26 12:35,Prod,A1000207.6871,Tisch 23,107,S1000207.84159,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000207.84160,SP1000207.8.84160,SY1000207.2026.84160,iPad1(1000207),207,01.06.26 12:35,Prod,A1000207.6871,Tisch 23,107,S1000207.84160,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000207.84161,SP1000207.8.84161,SY1000207.2026.84161,iPad1(1000207),207,01.06.26 18:00,Prod,A1000207.6872,Tisch 18,114,S1000207.84161,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000207.84162,SP1000207.8.84162,SY1000207.2026.84162,iPad1(1000207),207,01.06.26 18:00,Prod,A1000207.6872,Tisch 18,114,S1000207.84162,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000207.84163,SP1000207.8.84163,SY1000207.2026.84163,iPad1(1000207),207,01.06.26 20:31,Prod,A1000207.6873,Tisch 3,114,S1000207.84163,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000207.84164,SP1000207.8.84164,SY1000207.2026.84164,iPad1(1000207),207,01.06.26 20:31,Prod,A1000207.6873,Tisch 3,114,S1000207.84164,VOID,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000207.84165,SP1000207.8.84165,SY1000207.2026.84165,iPad1(1000207),207,01.06.26 20:31,Prod,A1000207.6873,Tisch 3,114,S1000207.84165,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000207.84166,SP1000207.8.84166,SY1000207.2026.84166,iPad1(1000207),207,01.06.26 08:20,Prod,A1000207.6874,Tisch 3,120,S1000207.84166,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000207.84167,SP1000207.8.84167,SY1000207.2026.84167,iPad1(1000207),207,01.06.26 08:20,Prod,A1000207.6874,Tisch 3,120,S1000207.84167,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000207.84168,SP1000207.8.84168,SY1000207.2026.84168,iPad1(1000207),207,01.06.26 18:34,Prod,A1000207.6875,Tisch 21,119,S1000207.84168,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000207.84169,SP1000207.8.84169,SY1000207.2026.84169,iPad1(1000207),207,01.06.26 18:34,Prod,A1000207.6875,Tisch 21,119,S1000207.84169,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000207.84170,SP1000207.8.84170,SY1000207.2026.84170,iPad1(1000207),207,01.06.26 18:34,Prod,A1000207.6875,Tisch 21,119,S1000207.84170,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000207.84171,SP1000207.8.84171,SY1000207.2026.84171,iPad1(1000207),207,01.06.26 11:00,Prod,A1000207.6876,Tisch 19,120,S1000207.84171,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000207.84172,SP1000207.8.84172,SY1000207.2026.84172,iPad1(1000207),207,01.06.26 11:00,Prod,A1000207.6876,Tisch 19,120,S1000207.84172,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000207.84173,SP1000207.8.84173,SY1000207.2026.84173,iPad1(1000207),207,01.06.26 18:34,Prod,A1000207.6877,,107,S1000207.84173,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000207.84174,SP1000207.8.84174,SY1000207.2026.84174,iPad1(1000207),207,01.06.26 18:34,Prod,A1000207.6877,,107,S1000207.84174,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000207.84175,SP1000207.8.84175,SY1000207.2026.84175,iPad1(1000207),207,01.06.26 20:33,Prod,A1000207.6878,Tisch 16,107,S1000207.84175,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000207.84176,SP1000207.8.84176,SY1000207.2026.84176,iPad1(1000207),207,01.06.26 20:33,Prod,A1000207.6878,Tisch 16,107,S1000207.84176,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000207.84177,SP1000207.8.84177,SY1000207.2026.84177,iPad1(1000207),207,01.06.26 20:33,Prod,A1000207.6878,Tisch 16,107,S1000207.84177,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000207.84178,SP1000207.8.84178,SY1000207.2026.84178,iPad1(1000207),207,01.06.26 13:46,Prod,A1000207.6879,Tisch 13,119,S1000207.84178,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000207.84179,SP1000207.8.84179,SY1000207.2026.84179,iPad1(1000207),207,01.06.26 13:46,Prod,A1000207.6879,Tisch 13,119,S1000207.84179,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000207.84180,SP1000207.8.84180,SY1000207.2026.84180,iPad1(1000207),207,01.06.26 13:46,Prod,A1000207.6879,Tisch 13,119,S1000207.84180,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000207.84181,SP1000207.8.84181,SY1000207.2026.84181,iPad1(1000207),207,01.06.26 13:45,Prod,A1000207.6880,Tisch 8,110,S1000207.84181,VOID,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000207.84182,SP1000207.8.84182,SY1000207.2026.84182,iPad1(1000207),207,01.06.26 15:09,Prod,A1000207.6881,Tisch 11,118,S1000207.84182,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000207.84183,SP1000207.8.84183,SY1000207.2026.84183,iPad1(1000207),207,01.06.26 15:09,Prod,A1000207.6881,Tisch 11,118,S1000207.84183,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
