Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000316.38004,SP1000316.39.38004,SY1000316.2026.38004,iPad1(1000316),316,01.06.26 19:21,Prod,A1000316.6516,Tisch 7,119,S1000316.38004,VOID,1,7.9,7.9,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000316.38005,SP1000316.39.38005,SY1000316.2026.38005,iPad1(1000316),316,01.06.26 19:21,Prod,A1000316.6516,Tisch 7,119,S1000316.38005,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000316.38006,SP1000316.39.38006,SY1000316.2026.38006,iPad1(1000316),316,01.06.26 09:20,Prod,A1000316.6517,Tisch 13,119,S1000316.38006,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000316.38007,SP1000316.39.38007,SY1000316.2026.38007,iPad1(1000316),316,01.06.26 16:31,Prod,A1000316.6518,,119,S1000316.38007,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000316.38008,SP1000316.39.38008,SY1000316.2026.38008,iPad1(1000316),316,01.06.26 16:31,Prod,A1000316.6518,,119,S1000316.38008,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000316.38009,SP1000316.39.38009,SY1000316.2026.38009,iPad1(1000316),316,01.06.26 16:31,Prod,A1000316.6518,,119,S1000316.38009,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000316.38010,SP1000316.39.38010,SY1000316.2026.38010,iPad1(1000316),316,01.06.26 17:21,Prod,A1000316.6519,Tisch 2,109,S1000316.38010,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000316.38011,SP1000316.39.38011,SY1000316.2026.38011,iPad1(1000316),316,01.06.26 13:12,Prod,A1000316.6520,Tisch 16,105,S1000316.38011,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000316.38012,SP1000316.39.38012,SY1000316.2026.38012,iPad1(1000316),316,01.06.26 13:12,Prod,A1000316.6520,Tisch 16,105,S1000316.38012,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000316.38013,SP1000316.39.38013,SY1000316.2026.38013,iPad1(1000316),316,01.06.26 17:21,Prod,A1000316.6521,Tisch 8,107,S1000316.38013,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
