Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000193.22425,SP1000193.37.22425,SY1000193.2026.22425,iPad1(1000193),193,01.06.26 18:21,Prod,A1000193.6265,Tisch 24,105,S1000193.22425,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000193.22426,SP1000193.37.22426,SY1000193.2026.22426,iPad1(1000193),193,01.06.26 10:39,Prod,A1000193.6266,Tisch 11,107,S1000193.22426,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000193.22427,SP1000193.37.22427,SY1000193.2026.22427,iPad1(1000193),193,01.06.26 10:39,Prod,A1000193.6266,Tisch 11,107,S1000193.22427,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000193.22428,SP1000193.37.22428,SY1000193.2026.22428,iPad1(1000193),193,01.06.26 10:39,Prod,A1000193.6266,Tisch 11,107,S1000193.22428,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000193.22429,SP1000193.37.22429,SY1000193.2026.22429,iPad1(1000193),193,01.06.26 12:08,Prod,A1000193.6267,Tisch 5,104,S1000193.22429,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000193.22430,SP1000193.37.22430,SY1000193.2026.22430,iPad1(1000193),193,01.06.26 13:29,Prod,A1000193.6268,Tisch 8,105,S1000193.22430,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000193.22431,SP1000193.37.22431,SY1000193.2026.22431,iPad1(1000193),193,01.06.26 13:29,Prod,A1000193.6268,Tisch 8,105,S1000193.22431,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000193.22432,SP1000193.37.22432,SY1000193.2026.22432,iPad1(1000193),193,01.06.26 11:40,Prod,A1000193.6269,Tisch 5,105,S1000193.22432,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000193.22433,SP1000193.37.22433,SY1000193.2026.22433,iPad1(1000193),193,01.06.26 13:54,Prod,A1000193.6270,,118,S1000193.22433,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000193.22434,SP1000193.37.22434,SY1000193.2026.22434,iPad1(1000193),193,01.06.26 13:54,Prod,A1000193.6270,,118,S1000193.22434,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
