Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000343.41212,SP1000343.16.41212,SY1000343.2026.41212,iPad1(1000343),343,01.06.26 19:16,Prod,A1000343.6083,Tisch 22,108,S1000343.41212,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000343.41213,SP1000343.16.41213,SY1000343.2026.41213,iPad1(1000343),343,01.06.26 17:55,Prod,A1000343.6084,Tisch 17,107,S1000343.41213,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000343.41214,SP1000343.16.41214,SY1000343.2026.41214,iPad1(1000343),343,01.06.26 17:55,Prod,A1000343.6084,Tisch 17,107,S1000343.41214,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000343.41215,SP1000343.16.41215,SY1000343.2026.41215,iPad1(1000343),343,01.06.26 17:55,Prod,A1000343.6084,Tisch 17,107,S1000343.41215,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000343.41216,SP1000343.16.41216,SY1000343.2026.41216,iPad1(1000343),343,01.06.26 19:22,Prod,A1000343.6085,Tisch 13,111,S1000343.41216,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000343.41217,SP1000343.16.41217,SY1000343.2026.41217,iPad1(1000343),343,01.06.26 19:22,Prod,A1000343.6085,Tisch 13,111,S1000343.41217,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000343.41218,SP1000343.16.41218,SY1000343.2026.41218,iPad1(1000343),343,01.06.26 13:19,Prod,A1000343.6086,Tisch 6,107,S1000343.41218,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000343.41219,SP1000343.16.41219,SY1000343.2026.41219,iPad1(1000343),343,01.06.26 18:37,Prod,A1000343.6087,Tisch 9,103,S1000343.41219,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000343.41220,SP1000343.16.41220,SY1000343.2026.41220,iPad1(1000343),343,01.06.26 18:37,Prod,A1000343.6087,Tisch 9,103,S1000343.41220,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000343.41221,SP1000343.16.41221,SY1000343.2026.41221,iPad1(1000343),343,01.06.26 18:37,Prod,A1000343.6087,Tisch 9,103,S1000343.41221,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
