Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000301.20315,SP1000301.44.20315,SY1000301.2026.20315,iPad1(1000301),301,01.06.26 10:03,Prod,A1000301.6266,Tisch 20,103,S1000301.20315,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000301.20316,SP1000301.44.20316,SY1000301.2026.20316,iPad1(1000301),301,01.06.26 10:03,Prod,A1000301.6266,Tisch 20,103,S1000301.20316,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000301.20317,SP1000301.44.20317,SY1000301.2026.20317,iPad1(1000301),301,01.06.26 10:03,Prod,A1000301.6266,Tisch 20,103,S1000301.20317,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000301.20318,SP1000301.44.20318,SY1000301.2026.20318,iPad1(1000301),301,01.06.26 20:51,Prod,A1000301.6267,Tisch 20,109,S1000301.20318,VOID,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000301.20319,SP1000301.44.20319,SY1000301.2026.20319,iPad1(1000301),301,01.06.26 20:51,Prod,A1000301.6267,Tisch 20,109,S1000301.20319,VOID,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000301.20320,SP1000301.44.20320,SY1000301.2026.20320,iPad1(1000301),301,01.06.26 20:16,Prod,A1000301.6268,Tisch 8,112,S1000301.20320,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000301.20321,SP1000301.44.20321,SY1000301.2026.20321,iPad1(1000301),301,01.06.26 20:16,Prod,A1000301.6268,Tisch 8,112,S1000301.20321,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000301.20322,SP1000301.44.20322,SY1000301.2026.20322,iPad1(1000301),301,01.06.26 20:16,Prod,A1000301.6268,Tisch 8,112,S1000301.20322,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000301.20323,SP1000301.44.20323,SY1000301.2026.20323,iPad1(1000301),301,01.06.26 20:08,Prod,A1000301.6269,Tisch 1,103,S1000301.20323,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000301.20324,SP1000301.44.20324,SY1000301.2026.20324,iPad1(1000301),301,01.06.26 20:08,Prod,A1000301.6269,Tisch 1,103,S1000301.20324,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
