Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000060.35807,SP1000060.3.35807,SY1000060.2026.35807,iPad1(1000060),60,01.06.26 18:42,Prod,A1000060.6144,Tisch 2,113,S1000060.35807,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000060.35808,SP1000060.3.35808,SY1000060.2026.35808,iPad1(1000060),60,01.06.26 18:42,Prod,A1000060.6144,Tisch 2,113,S1000060.35808,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000060.35809,SP1000060.3.35809,SY1000060.2026.35809,iPad1(1000060),60,01.06.26 11:49,Prod,A1000060.6145,Tisch 11,120,S1000060.35809,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000060.35810,SP1000060.3.35810,SY1000060.2026.35810,iPad1(1000060),60,01.06.26 11:49,Prod,A1000060.6145,Tisch 11,120,S1000060.35810,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000060.35811,SP1000060.3.35811,SY1000060.2026.35811,iPad1(1000060),60,01.06.26 11:49,Prod,A1000060.6145,Tisch 11,120,S1000060.35811,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000060.35812,SP1000060.3.35812,SY1000060.2026.35812,iPad1(1000060),60,01.06.26 11:20,Prod,A1000060.6146,Tisch 10,117,S1000060.35812,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000060.35813,SP1000060.3.35813,SY1000060.2026.35813,iPad1(1000060),60,01.06.26 11:20,Prod,A1000060.6146,Tisch 10,117,S1000060.35813,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000060.35814,SP1000060.3.35814,SY1000060.2026.35814,iPad1(1000060),60,01.06.26 11:56,Prod,A1000060.6147,Tisch 23,113,S1000060.35814,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000060.35815,SP1000060.3.35815,SY1000060.2026.35815,iPad1(1000060),60,01.06.26 14:06,Prod,A1000060.6148,Tisch 23,103,S1000060.35815,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000060.35816,SP1000060.3.35816,SY1000060.2026.35816,iPad1(1000060),60,01.06.26 14:06,Prod,A1000060.6148,Tisch 23,103,S1000060.35816,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000060.35817,SP1000060.3.35817,SY1000060.2026.35817,iPad1(1000060),60,01.06.26 14:06,Prod,A1000060.6148,Tisch 23,103,S1000060.35817,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000060.35818,SP1000060.3.35818,SY1000060.2026.35818,iPad1(1000060),60,01.06.26 17:44,Prod,A1000060.6149,Tisch 22,113,S1000060.35818,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000060.35819,SP1000060.3.35819,SY1000060.2026.35819,iPad1(1000060),60,01.06.26 17:44,Prod,A1000060.6149,Tisch 22,113,S1000060.35819,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000060.35820,SP1000060.3.35820,SY1000060.2026.35820,iPad1(1000060),60,01.06.26 17:44,Prod,A1000060.6149,Tisch 22,113,S1000060.35820,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000060.35821,SP1000060.3.35821,SY1000060.2026.35821,iPad1(1000060),60,01.06.26 19:45,Prod,A1000060.6150,Tisch 15,113,S1000060.35821,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000060.35822,SP1000060.3.35822,SY1000060.2026.35822,iPad1(1000060),60,01.06.26 19:45,Prod,A1000060.6150,Tisch 15,113,S1000060.35822,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
