Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000156.34613,SP1000156.6.34613,SY1000156.2026.34613,iPad1(1000156),156,01.06.26 14:32,Prod,A1000156.6014,Tisch 13,106,S1000156.34613,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000156.34614,SP1000156.6.34614,SY1000156.2026.34614,iPad1(1000156),156,01.06.26 14:32,Prod,A1000156.6014,Tisch 13,106,S1000156.34614,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000156.34615,SP1000156.6.34615,SY1000156.2026.34615,iPad1(1000156),156,01.06.26 11:37,Prod,A1000156.6015,Tisch 20,107,S1000156.34615,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000156.34616,SP1000156.6.34616,SY1000156.2026.34616,iPad1(1000156),156,01.06.26 11:37,Prod,A1000156.6015,Tisch 20,107,S1000156.34616,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000156.34617,SP1000156.6.34617,SY1000156.2026.34617,iPad1(1000156),156,01.06.26 11:37,Prod,A1000156.6015,Tisch 20,107,S1000156.34617,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000156.34618,SP1000156.6.34618,SY1000156.2026.34618,iPad1(1000156),156,01.06.26 12:11,Prod,A1000156.6016,Tisch 4,101,S1000156.34618,SALE,2,11.9,23.8,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,22.242991,1.557009,Normalverkauf
S1000156.34619,SP1000156.6.34619,SY1000156.2026.34619,iPad1(1000156),156,01.06.26 11:13,Prod,A1000156.6017,Tisch 20,106,S1000156.34619,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000156.34620,SP1000156.6.34620,SY1000156.2026.34620,iPad1(1000156),156,01.06.26 11:13,Prod,A1000156.6017,Tisch 20,106,S1000156.34620,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000156.34621,SP1000156.6.34621,SY1000156.2026.34621,iPad1(1000156),156,01.06.26 10:34,Prod,A1000156.6018,Tisch 15,101,S1000156.34621,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000156.34622,SP1000156.6.34622,SY1000156.2026.34622,iPad1(1000156),156,01.06.26 10:34,Prod,A1000156.6018,Tisch 15,101,S1000156.34622,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000156.34623,SP1000156.6.34623,SY1000156.2026.34623,iPad1(1000156),156,01.06.26 19:13,Prod,A1000156.6019,Tisch 5,112,S1000156.34623,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000156.34624,SP1000156.6.34624,SY1000156.2026.34624,iPad1(1000156),156,01.06.26 19:13,Prod,A1000156.6019,Tisch 5,112,S1000156.34624,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000156.34625,SP1000156.6.34625,SY1000156.2026.34625,iPad1(1000156),156,01.06.26 17:21,Prod,A1000156.6020,Tisch 20,107,S1000156.34625,VOID,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000156.34626,SP1000156.6.34626,SY1000156.2026.34626,iPad1(1000156),156,01.06.26 15:12,Prod,A1000156.6021,Tisch 12,101,S1000156.34626,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000156.34627,SP1000156.6.34627,SY1000156.2026.34627,iPad1(1000156),156,01.06.26 15:12,Prod,A1000156.6021,Tisch 12,101,S1000156.34627,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000156.34628,SP1000156.6.34628,SY1000156.2026.34628,iPad1(1000156),156,01.06.26 15:12,Prod,A1000156.6021,Tisch 12,101,S1000156.34628,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000156.34629,SP1000156.6.34629,SY1000156.2026.34629,iPad1(1000156),156,01.06.26 09:19,Prod,A1000156.6022,Tisch 16,112,S1000156.34629,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000156.34630,SP1000156.6.34630,SY1000156.2026.34630,iPad1(1000156),156,01.06.26 09:19,Prod,A1000156.6022,Tisch 16,112,S1000156.34630,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000156.34631,SP1000156.6.34631,SY1000156.2026.34631,iPad1(1000156),156,01.06.26 09:19,Prod,A1000156.6022,Tisch 16,112,S1000156.34631,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000156.34632,SP1000156.6.34632,SY1000156.2026.34632,iPad1(1000156),156,01.06.26 20:08,Prod,A1000156.6023,Tisch 13,112,S1000156.34632,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000156.34633,SP1000156.6.34633,SY1000156.2026.34633,iPad1(1000156),156,01.06.26 20:08,Prod,A1000156.6023,Tisch 13,112,S1000156.34633,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000156.34634,SP1000156.6.34634,SY1000156.2026.34634,iPad1(1000156),156,01.06.26 20:08,Prod,A1000156.6023,Tisch 13,112,S1000156.34634,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000156.34635,SP1000156.6.34635,SY1000156.2026.34635,iPad1(1000156),156,01.06.26 19:14,Prod,A1000156.6024,,112,S1000156.34635,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000156.34636,SP1000156.6.34636,SY1000156.2026.34636,iPad1(1000156),156,01.06.26 19:14,Prod,A1000156.6024,,112,S1000156.34636,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000156.34637,SP1000156.6.34637,SY1000156.2026.34637,iPad1(1000156),156,01.06.26 19:14,Prod,A1000156.6024,,112,S1000156.34637,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000156.34638,SP1000156.6.34638,SY1000156.2026.34638,iPad1(1000156),156,01.06.26 12:54,Prod,A1000156.6025,Tisch 4,107,S1000156.34638,VOID,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000156.34639,SP1000156.6.34639,SY1000156.2026.34639,iPad1(1000156),156,01.06.26 12:54,Prod,A1000156.6025,Tisch 4,107,S1000156.34639,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000156.34640,SP1000156.6.34640,SY1000156.2026.34640,iPad1(1000156),156,01.06.26 13:56,Prod,A1000156.6026,Tisch 13,106,S1000156.34640,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000156.34641,SP1000156.6.34641,SY1000156.2026.34641,iPad1(1000156),156,01.06.26 13:56,Prod,A1000156.6026,Tisch 13,106,S1000156.34641,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000156.34642,SP1000156.6.34642,SY1000156.2026.34642,iPad1(1000156),156,01.06.26 16:56,Prod,A1000156.6027,Tisch 20,112,S1000156.34642,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000156.34643,SP1000156.6.34643,SY1000156.2026.34643,iPad1(1000156),156,01.06.26 16:56,Prod,A1000156.6027,Tisch 20,112,S1000156.34643,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000156.34644,SP1000156.6.34644,SY1000156.2026.34644,iPad1(1000156),156,01.06.26 16:56,Prod,A1000156.6027,Tisch 20,112,S1000156.34644,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000156.34645,SP1000156.6.34645,SY1000156.2026.34645,iPad1(1000156),156,01.06.26 13:38,Prod,A1000156.6028,Tisch 24,112,S1000156.34645,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
