Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000082.57581,SP1000082.38.57581,SY1000082.2026.57581,iPad1(1000082),82,01.06.26 16:25,Prod,A1000082.6353,Tisch 9,109,S1000082.57581,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000082.57582,SP1000082.38.57582,SY1000082.2026.57582,iPad1(1000082),82,01.06.26 13:28,Prod,A1000082.6354,,109,S1000082.57582,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000082.57583,SP1000082.38.57583,SY1000082.2026.57583,iPad1(1000082),82,01.06.26 15:14,Prod,A1000082.6355,Tisch 19,102,S1000082.57583,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000082.57584,SP1000082.38.57584,SY1000082.2026.57584,iPad1(1000082),82,01.06.26 15:14,Prod,A1000082.6355,Tisch 19,102,S1000082.57584,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000082.57585,SP1000082.38.57585,SY1000082.2026.57585,iPad1(1000082),82,01.06.26 15:14,Prod,A1000082.6355,Tisch 19,102,S1000082.57585,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000082.57586,SP1000082.38.57586,SY1000082.2026.57586,iPad1(1000082),82,01.06.26 18:03,Prod,A1000082.6356,Tisch 19,108,S1000082.57586,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000082.57587,SP1000082.38.57587,SY1000082.2026.57587,iPad1(1000082),82,01.06.26 18:03,Prod,A1000082.6356,Tisch 19,108,S1000082.57587,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000082.57588,SP1000082.38.57588,SY1000082.2026.57588,iPad1(1000082),82,01.06.26 16:11,Prod,A1000082.6357,,101,S1000082.57588,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000082.57589,SP1000082.38.57589,SY1000082.2026.57589,iPad1(1000082),82,01.06.26 16:11,Prod,A1000082.6357,,101,S1000082.57589,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000082.57590,SP1000082.38.57590,SY1000082.2026.57590,iPad1(1000082),82,01.06.26 13:11,Prod,A1000082.6358,Tisch 18,108,S1000082.57590,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000082.57591,SP1000082.38.57591,SY1000082.2026.57591,iPad1(1000082),82,01.06.26 11:56,Prod,A1000082.6359,Tisch 23,101,S1000082.57591,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000082.57592,SP1000082.38.57592,SY1000082.2026.57592,iPad1(1000082),82,01.06.26 11:56,Prod,A1000082.6359,Tisch 23,101,S1000082.57592,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000082.57593,SP1000082.38.57593,SY1000082.2026.57593,iPad1(1000082),82,01.06.26 11:56,Prod,A1000082.6359,Tisch 23,101,S1000082.57593,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000082.57594,SP1000082.38.57594,SY1000082.2026.57594,iPad1(1000082),82,01.06.26 11:32,Prod,A1000082.6360,Tisch 5,102,S1000082.57594,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000082.57595,SP1000082.38.57595,SY1000082.2026.57595,iPad1(1000082),82,01.06.26 11:32,Prod,A1000082.6360,Tisch 5,102,S1000082.57595,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000082.57596,SP1000082.38.57596,SY1000082.2026.57596,iPad1(1000082),82,01.06.26 11:32,Prod,A1000082.6360,Tisch 5,102,S1000082.57596,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
