Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000382.12497,SP1000382.5.12497,SY1000382.2026.12497,iPad1(1000382),382,01.06.26 11:01,Prod,A1000382.6997,Tisch 15,114,S1000382.12497,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000382.12498,SP1000382.5.12498,SY1000382.2026.12498,iPad1(1000382),382,01.06.26 11:01,Prod,A1000382.6997,Tisch 15,114,S1000382.12498,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000382.12499,SP1000382.5.12499,SY1000382.2026.12499,iPad1(1000382),382,01.06.26 11:01,Prod,A1000382.6997,Tisch 15,114,S1000382.12499,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000382.12500,SP1000382.5.12500,SY1000382.2026.12500,iPad1(1000382),382,01.06.26 12:50,Prod,A1000382.6998,Tisch 21,113,S1000382.12500,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000382.12501,SP1000382.5.12501,SY1000382.2026.12501,iPad1(1000382),382,01.06.26 12:50,Prod,A1000382.6998,Tisch 21,113,S1000382.12501,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000382.12502,SP1000382.5.12502,SY1000382.2026.12502,iPad1(1000382),382,01.06.26 16:24,Prod,A1000382.6999,Tisch 11,110,S1000382.12502,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000382.12503,SP1000382.5.12503,SY1000382.2026.12503,iPad1(1000382),382,01.06.26 19:05,Prod,A1000382.7000,Tisch 23,110,S1000382.12503,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000382.12504,SP1000382.5.12504,SY1000382.2026.12504,iPad1(1000382),382,01.06.26 19:05,Prod,A1000382.7000,Tisch 23,110,S1000382.12504,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000382.12505,SP1000382.5.12505,SY1000382.2026.12505,iPad1(1000382),382,01.06.26 16:01,Prod,A1000382.7001,Tisch 20,116,S1000382.12505,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000382.12506,SP1000382.5.12506,SY1000382.2026.12506,iPad1(1000382),382,01.06.26 10:14,Prod,A1000382.7002,Tisch 4,108,S1000382.12506,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000382.12507,SP1000382.5.12507,SY1000382.2026.12507,iPad1(1000382),382,01.06.26 19:32,Prod,A1000382.7003,Tisch 14,111,S1000382.12507,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000382.12508,SP1000382.5.12508,SY1000382.2026.12508,iPad1(1000382),382,01.06.26 19:32,Prod,A1000382.7003,Tisch 14,111,S1000382.12508,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000382.12509,SP1000382.5.12509,SY1000382.2026.12509,iPad1(1000382),382,01.06.26 16:37,Prod,A1000382.7004,Tisch 19,113,S1000382.12509,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000382.12510,SP1000382.5.12510,SY1000382.2026.12510,iPad1(1000382),382,01.06.26 16:37,Prod,A1000382.7004,Tisch 19,113,S1000382.12510,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000382.12511,SP1000382.5.12511,SY1000382.2026.12511,iPad1(1000382),382,01.06.26 09:32,Prod,A1000382.7005,Tisch 8,120,S1000382.12511,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000382.12512,SP1000382.5.12512,SY1000382.2026.12512,iPad1(1000382),382,01.06.26 09:32,Prod,A1000382.7005,Tisch 8,120,S1000382.12512,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000382.12513,SP1000382.5.12513,SY1000382.2026.12513,iPad1(1000382),382,01.06.26 09:32,Prod,A1000382.7005,Tisch 8,120,S1000382.12513,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,7.383178,0.516822,Normalverkauf
S1000382.12514,SP1000382.5.12514,SY1000382.2026.12514,iPad1(1000382),382,01.06.26 16:03,Prod,A1000382.7006,Tisch 24,116,S1000382.12514,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000382.12515,SP1000382.5.12515,SY1000382.2026.12515,iPad1(1000382),382,01.06.26 16:03,Prod,A1000382.7006,Tisch 24,116,S1000382.12515,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,117,Rote Grütze,Desserts,,MwSt. 7%,1.07,11.028037,0.771963,Normalverkauf
S1000382.12516,SP1000382.5.12516,SY1000382.2026.12516,iPad1(1000382),382,01.06.26 19:00,Prod,A1000382.7007,Tisch 8,114,S1000382.12516,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000382.12517,SP1000382.5.12517,SY1000382.2026.12517,iPad1(1000382),382,01.06.26 17:24,Prod,A1000382.7008,Tisch 24,108,S1000382.12517,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000382.12518,SP1000382.5.12518,SY1000382.2026.12518,iPad1(1000382),382,01.06.26 17:24,Prod,A1000382.7008,Tisch 24,108,S1000382.12518,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000382.12519,SP1000382.5.12519,SY1000382.2026.12519,iPad1(1000382),382,01.06.26 18:14,Prod,A1000382.7009,Tisch 24,110,S1000382.12519,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000382.12520,SP1000382.5.12520,SY1000382.2026.12520,iPad1(1000382),382,01.06.26 10:49,Prod,A1000382.7010,Tisch 10,110,S1000382.12520,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000382.12521,SP1000382.5.12521,SY1000382.2026.12521,iPad1(1000382),382,01.06.26 10:49,Prod,A1000382.7010,Tisch 10,110,S1000382.12521,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000382.12522,SP1000382.5.12522,SY1000382.2026.12522,iPad1(1000382),382,01.06.26 11:32,Prod,A1000382.7011,,111,S1000382.12522,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000382.12523,SP1000382.5.12523,SY1000382.2026.12523,iPad1(1000382),382,01.06.26 11:32,Prod,A1000382.7011,,111,S1000382.12523,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000382.12524,SP1000382.5.12524,SY1000382.2026.12524,iPad1(1000382),382,01.06.26 11:32,Prod,A1000382.7011,,111,S1000382.12524,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000382.12525,SP1000382.5.12525,SY1000382.2026.12525,iPad1(1000382),382,01.06.26 15:12,Prod,A1000382.7012,Tisch 16,114,S1000382.12525,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000382.12526,SP1000382.5.12526,SY1000382.2026.12526,iPad1(1000382),382,01.06.26 15:12,Prod,A1000382.7012,Tisch 16,114,S1000382.12526,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000382.12527,SP1000382.5.12527,SY1000382.2026.12527,iPad1(1000382),382,01.06.26 19:41,Prod,A1000382.7013,,113,S1000382.12527,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000382.12528,SP1000382.5.12528,SY1000382.2026.12528,iPad1(1000382),382,01.06.26 19:41,Prod,A1000382.7013,,113,S1000382.12528,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000382.12529,SP1000382.5.12529,SY1000382.2026.12529,iPad1(1000382),382,01.06.26 19:41,Prod,A1000382.7013,,113,S1000382.12529,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
